[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  4.740ms frontier=  8.823ms semisort=1067.830ms (keyed= 0.000ms group_by=333.328ms per_group=360.664ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate=480.082ms frontier=139.864ms semisort=556.786ms (keyed= 0.000ms group_by=118.693ms per_group=102.377ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate=268.648ms frontier= 67.482ms semisort=256.205ms (keyed= 0.000ms group_by= 62.628ms per_group=53.118ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate=116.543ms frontier= 32.973ms semisort=117.443ms (keyed= 0.000ms group_by= 24.202ms per_group=23.452ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate= 62.663ms frontier= 20.036ms semisort= 70.779ms (keyed= 0.000ms group_by= 15.147ms per_group=14.308ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate= 49.855ms frontier= 20.470ms semisort= 57.598ms (keyed= 0.000ms group_by= 11.344ms per_group=13.139ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 35.098ms frontier= 10.357ms semisort= 28.255ms (keyed= 0.000ms group_by=  6.986ms per_group= 6.918ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate= 18.936ms frontier=  4.776ms semisort= 15.191ms (keyed= 0.000ms group_by=  4.064ms per_group= 4.012ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  9.395ms frontier=  2.218ms semisort=  7.723ms (keyed= 0.000ms group_by=  1.817ms per_group= 1.772ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  4.763ms frontier=  1.236ms semisort=  3.327ms (keyed= 0.000ms group_by=  1.166ms per_group= 0.567ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.987ms frontier=  0.300ms semisort=  1.310ms (keyed= 0.000ms group_by=  0.445ms per_group= 0.236ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.520ms frontier=  0.102ms semisort=  0.510ms (keyed= 0.000ms group_by=  0.214ms per_group= 0.119ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.214ms frontier=  0.049ms semisort=  0.243ms (keyed= 0.000ms group_by=  0.106ms per_group= 0.059ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.101ms frontier=  0.023ms semisort=  0.123ms (keyed= 0.000ms group_by=  0.055ms per_group= 0.030ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.044ms frontier=  0.011ms semisort=  0.061ms (keyed= 0.000ms group_by=  0.028ms per_group= 0.015ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.021ms frontier=  0.005ms semisort=  0.029ms (keyed= 0.000ms group_by=  0.014ms per_group= 0.008ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.010ms frontier=  0.004ms semisort=  0.023ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.011ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.006ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.003ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.002ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.001ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
