[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  3.613ms frontier=  9.924ms semisort=308.744ms (keyed= 0.000ms group_by=102.959ms per_group=58.100ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate=162.015ms frontier= 48.964ms semisort=195.590ms (keyed= 0.000ms group_by= 48.828ms per_group=34.848ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 78.444ms frontier= 21.863ms semisort= 71.713ms (keyed= 0.000ms group_by= 21.549ms per_group=10.636ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 34.087ms frontier= 11.121ms semisort= 39.219ms (keyed= 0.000ms group_by=  8.708ms per_group= 7.336ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate= 21.456ms frontier=  7.761ms semisort= 23.329ms (keyed= 0.000ms group_by=  5.318ms per_group= 6.735ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate= 17.682ms frontier=  7.831ms semisort= 18.529ms (keyed= 0.000ms group_by=  3.521ms per_group= 3.138ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 10.400ms frontier=  3.472ms semisort= 10.207ms (keyed= 0.000ms group_by=  2.390ms per_group= 1.903ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  6.546ms frontier=  2.984ms semisort=  8.546ms (keyed= 0.000ms group_by=  3.300ms per_group= 1.385ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  4.151ms frontier=  1.207ms semisort=  4.033ms (keyed= 0.000ms group_by=  1.387ms per_group= 0.561ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.081ms frontier=  0.263ms semisort=  2.051ms (keyed= 0.000ms group_by=  0.850ms per_group= 0.440ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.573ms frontier=  0.247ms semisort=  0.966ms (keyed= 0.000ms group_by=  0.399ms per_group= 0.122ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.471ms frontier=  0.133ms semisort=  0.533ms (keyed= 0.000ms group_by=  0.219ms per_group= 0.087ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.174ms frontier=  0.079ms semisort=  0.254ms (keyed= 0.000ms group_by=  0.103ms per_group= 0.046ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.096ms frontier=  0.041ms semisort=  0.159ms (keyed= 0.000ms group_by=  0.051ms per_group= 0.066ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.086ms frontier=  0.022ms semisort=  0.078ms (keyed= 0.000ms group_by=  0.047ms per_group= 0.013ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.018ms frontier=  0.007ms semisort=  0.045ms (keyed= 0.000ms group_by=  0.015ms per_group= 0.006ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.012ms frontier=  0.004ms semisort=  0.018ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.005ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.006ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.003ms frontier=  0.001ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.012ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.002ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.001ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
