[synthetic_bench] cube n=155 d=2 classes=14895808 merges=155 ...
[pe] round=  0 work=      310 frontier= 22343250 next=  7447750 consolidate= 14.345ms frontier= 15.886ms semisort=2483.964ms (keyed= 0.000ms group_by=940.357ms per_group=559.033ms)
[pe] round=  1 work=  7447750 frontier=  7447750 next=  3253446 consolidate=1353.865ms frontier=281.675ms semisort=1353.261ms (keyed= 0.000ms group_by=297.599ms per_group=262.639ms)
[pe] round=  2 work=  3253446 frontier=  3253446 next=  2097152 consolidate=563.779ms frontier=110.113ms semisort=477.790ms (keyed= 0.000ms group_by= 91.977ms per_group=108.706ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=246.148ms frontier= 70.112ms semisort=241.127ms (keyed= 0.000ms group_by= 55.423ms per_group=54.733ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate=123.584ms frontier= 35.389ms semisort=139.902ms (keyed= 0.000ms group_by= 31.020ms per_group=25.738ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 74.805ms frontier= 17.464ms semisort= 65.432ms (keyed= 0.000ms group_by= 14.649ms per_group=14.291ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 30.535ms frontier=  9.023ms semisort= 35.507ms (keyed= 0.000ms group_by=  9.079ms per_group= 8.489ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 20.814ms frontier=  6.012ms semisort= 14.661ms (keyed= 0.000ms group_by=  3.497ms per_group= 3.458ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  9.304ms frontier=  3.134ms semisort=  8.152ms (keyed= 0.000ms group_by=  2.702ms per_group= 1.827ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  4.831ms frontier=  1.174ms semisort=  4.338ms (keyed= 0.000ms group_by=  1.500ms per_group= 0.887ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.495ms frontier=  0.429ms semisort=  1.886ms (keyed= 0.000ms group_by=  0.684ms per_group= 0.309ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  1.879ms frontier=  0.820ms semisort=  1.456ms (keyed= 0.000ms group_by=  0.399ms per_group= 0.323ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.678ms frontier=  0.094ms semisort=  0.575ms (keyed= 0.000ms group_by=  0.242ms per_group= 0.105ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.330ms frontier=  0.042ms semisort=  0.277ms (keyed= 0.000ms group_by=  0.098ms per_group= 0.096ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.108ms frontier=  0.031ms semisort=  0.115ms (keyed= 0.000ms group_by=  0.046ms per_group= 0.038ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.051ms frontier=  0.012ms semisort=  0.071ms (keyed= 0.000ms group_by=  0.028ms per_group= 0.024ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.021ms frontier=  0.007ms semisort=  0.034ms (keyed= 0.000ms group_by=  0.015ms per_group= 0.011ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.004ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.008ms frontier=  0.003ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.003ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.002ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.001ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
