[synthetic_bench] cube n=155 d=2 classes=14895808 merges=155 ...
[pe] round=  0 work=      310 frontier= 22343250 next=  7447750 consolidate=  5.584ms frontier=  6.628ms semisort=886.507ms (keyed= 0.000ms group_by=343.453ms per_group=211.949ms)
[pe] round=  1 work=  7447750 frontier=  7447750 next=  3253446 consolidate=547.573ms frontier=118.043ms semisort=534.943ms (keyed= 0.000ms group_by=120.298ms per_group=86.701ms)
[pe] round=  2 work=  3253446 frontier=  3253446 next=  2097152 consolidate=261.779ms frontier= 69.670ms semisort=247.364ms (keyed= 0.000ms group_by= 48.667ms per_group=61.468ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=180.424ms frontier= 58.183ms semisort=128.616ms (keyed= 0.000ms group_by= 29.919ms per_group=24.764ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 80.321ms frontier= 22.679ms semisort= 65.499ms (keyed= 0.000ms group_by= 19.902ms per_group=13.035ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 39.332ms frontier= 12.277ms semisort= 35.089ms (keyed= 0.000ms group_by=  8.109ms per_group= 7.832ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 19.025ms frontier=  5.439ms semisort= 15.970ms (keyed= 0.000ms group_by=  3.619ms per_group= 3.467ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  9.923ms frontier=  2.592ms semisort=  7.441ms (keyed= 0.000ms group_by=  1.900ms per_group= 1.728ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  4.564ms frontier=  1.104ms semisort=  4.822ms (keyed= 0.000ms group_by=  2.253ms per_group= 0.819ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.620ms frontier=  0.668ms semisort=  2.959ms (keyed= 0.000ms group_by=  1.208ms per_group= 0.560ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.781ms frontier=  0.189ms semisort=  1.201ms (keyed= 0.000ms group_by=  0.564ms per_group= 0.218ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.440ms frontier=  0.148ms semisort=  0.689ms (keyed= 0.000ms group_by=  0.288ms per_group= 0.130ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.435ms frontier=  0.088ms semisort=  0.312ms (keyed= 0.000ms group_by=  0.156ms per_group= 0.065ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.124ms frontier=  0.067ms semisort=  0.162ms (keyed= 0.000ms group_by=  0.085ms per_group= 0.024ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.057ms frontier=  0.024ms semisort=  0.090ms (keyed= 0.000ms group_by=  0.045ms per_group= 0.018ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.031ms frontier=  0.014ms semisort=  0.060ms (keyed= 0.000ms group_by=  0.034ms per_group= 0.010ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.026ms frontier=  0.008ms semisort=  0.032ms (keyed= 0.000ms group_by=  0.015ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.011ms frontier=  0.004ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.006ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.002ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.001ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
