workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_seq,0,1,dnc,16,3.0891
small,1000,4,10000,2000,1,nelson_seq,1,1,dnc,16,3.0613
small,1000,4,10000,2000,1,nelson_seq,2,1,dnc,16,5.6242
small,1000,4,10000,2000,1,nelson_seq,3,1,dnc,16,5.8662
small,1000,4,10000,2000,1,nelson_seq,4,1,dnc,16,5.6524
small,1000,4,10000,2000,1,par_close,0,1,dnc,16,11.9825
small,1000,4,10000,2000,1,par_close,1,1,dnc,16,12.0130
small,1000,4,10000,2000,1,par_close,2,1,dnc,16,12.0096
small,1000,4,10000,2000,1,par_close,3,1,dnc,16,11.7757
small,1000,4,10000,2000,1,par_close,4,1,dnc,16,11.7626
medium,10000,8,200000,20000,1,nelson_seq,0,1,dnc,16,109.4006
medium,10000,8,200000,20000,1,nelson_seq,1,1,dnc,16,101.6556
medium,10000,8,200000,20000,1,nelson_seq,2,1,dnc,16,82.9371
medium,10000,8,200000,20000,1,nelson_seq,3,1,dnc,16,82.7719
medium,10000,8,200000,20000,1,nelson_seq,4,1,dnc,16,82.0388
medium,10000,8,200000,20000,1,par_close,0,1,dnc,16,132.6110
medium,10000,8,200000,20000,1,par_close,1,1,dnc,16,121.4805
medium,10000,8,200000,20000,1,par_close,2,1,dnc,16,125.4929
medium,10000,8,200000,20000,1,par_close,3,1,dnc,16,122.9286
medium,10000,8,200000,20000,1,par_close,4,1,dnc,16,123.8076
large,50000,16,1000000,100000,1,nelson_seq,0,1,dnc,16,730.0333
large,50000,16,1000000,100000,1,nelson_seq,1,1,dnc,16,728.9825
large,50000,16,1000000,100000,1,nelson_seq,2,1,dnc,16,735.0539
large,50000,16,1000000,100000,1,nelson_seq,3,1,dnc,16,728.4830
large,50000,16,1000000,100000,1,nelson_seq,4,1,dnc,16,724.9965
large,50000,16,1000000,100000,1,par_close,0,1,dnc,16,783.2883
large,50000,16,1000000,100000,1,par_close,1,1,dnc,16,786.1654
large,50000,16,1000000,100000,1,par_close,2,1,dnc,16,789.3330
large,50000,16,1000000,100000,1,par_close,3,1,dnc,16,791.2566
large,50000,16,1000000,100000,1,par_close,4,1,dnc,16,797.5433
deep-s,1000,4,10000,2000,3,nelson_seq,0,1,dnc,16,2.0781
deep-s,1000,4,10000,2000,3,nelson_seq,1,1,dnc,16,2.1026
deep-s,1000,4,10000,2000,3,nelson_seq,2,1,dnc,16,2.0410
deep-s,1000,4,10000,2000,3,nelson_seq,3,1,dnc,16,2.0724
deep-s,1000,4,10000,2000,3,nelson_seq,4,1,dnc,16,2.0446
deep-s,1000,4,10000,2000,3,par_close,0,1,dnc,16,5.4274
deep-s,1000,4,10000,2000,3,par_close,1,1,dnc,16,3.6374
deep-s,1000,4,10000,2000,3,par_close,2,1,dnc,16,3.6178
deep-s,1000,4,10000,2000,3,par_close,3,1,dnc,16,3.6311
deep-s,1000,4,10000,2000,3,par_close,4,1,dnc,16,3.6199
deep-m,10000,8,200000,20000,3,nelson_seq,0,1,dnc,16,71.6035
deep-m,10000,8,200000,20000,3,nelson_seq,1,1,dnc,16,73.6805
deep-m,10000,8,200000,20000,3,nelson_seq,2,1,dnc,16,68.5018
deep-m,10000,8,200000,20000,3,nelson_seq,3,1,dnc,16,68.7616
deep-m,10000,8,200000,20000,3,nelson_seq,4,1,dnc,16,71.3840
deep-m,10000,8,200000,20000,3,par_close,0,1,dnc,16,90.9964
deep-m,10000,8,200000,20000,3,par_close,1,1,dnc,16,93.1743
deep-m,10000,8,200000,20000,3,par_close,2,1,dnc,16,94.6088
deep-m,10000,8,200000,20000,3,par_close,3,1,dnc,16,91.5543
deep-m,10000,8,200000,20000,3,par_close,4,1,dnc,16,91.4433
deep-l,50000,16,1000000,100000,3,nelson_seq,0,1,dnc,16,670.4069
deep-l,50000,16,1000000,100000,3,nelson_seq,1,1,dnc,16,672.6730
deep-l,50000,16,1000000,100000,3,nelson_seq,2,1,dnc,16,661.0967
deep-l,50000,16,1000000,100000,3,nelson_seq,3,1,dnc,16,663.4059
deep-l,50000,16,1000000,100000,3,nelson_seq,4,1,dnc,16,664.6638
deep-l,50000,16,1000000,100000,3,par_close,0,1,dnc,16,615.7927
deep-l,50000,16,1000000,100000,3,par_close,1,1,dnc,16,622.7629
deep-l,50000,16,1000000,100000,3,par_close,2,1,dnc,16,627.9434
deep-l,50000,16,1000000,100000,3,par_close,3,1,dnc,16,629.0147
deep-l,50000,16,1000000,100000,3,par_close,4,1,dnc,16,631.6277
small,1000,4,10000,2000,1,nelson_seq,0,2,dnc,16,3.1870
small,1000,4,10000,2000,1,nelson_seq,1,2,dnc,16,3.1890
small,1000,4,10000,2000,1,nelson_seq,2,2,dnc,16,3.1797
small,1000,4,10000,2000,1,nelson_seq,3,2,dnc,16,3.3045
small,1000,4,10000,2000,1,nelson_seq,4,2,dnc,16,3.3524
small,1000,4,10000,2000,1,par_close,0,2,dnc,16,4.8980
small,1000,4,10000,2000,1,par_close,1,2,dnc,16,4.9585
small,1000,4,10000,2000,1,par_close,2,2,dnc,16,5.0035
small,1000,4,10000,2000,1,par_close,3,2,dnc,16,4.9365
small,1000,4,10000,2000,1,par_close,4,2,dnc,16,4.8862
medium,10000,8,200000,20000,1,nelson_seq,0,2,dnc,16,71.8490
medium,10000,8,200000,20000,1,nelson_seq,1,2,dnc,16,71.8152
medium,10000,8,200000,20000,1,nelson_seq,2,2,dnc,16,67.6846
medium,10000,8,200000,20000,1,nelson_seq,3,2,dnc,16,67.9238
medium,10000,8,200000,20000,1,nelson_seq,4,2,dnc,16,67.8080
medium,10000,8,200000,20000,1,par_close,0,2,dnc,16,78.4689
medium,10000,8,200000,20000,1,par_close,1,2,dnc,16,74.8504
medium,10000,8,200000,20000,1,par_close,2,2,dnc,16,66.3371
medium,10000,8,200000,20000,1,par_close,3,2,dnc,16,65.0548
medium,10000,8,200000,20000,1,par_close,4,2,dnc,16,64.5014
large,50000,16,1000000,100000,1,nelson_seq,0,2,dnc,16,771.3639
large,50000,16,1000000,100000,1,nelson_seq,1,2,dnc,16,749.1985
large,50000,16,1000000,100000,1,nelson_seq,2,2,dnc,16,768.8665
large,50000,16,1000000,100000,1,nelson_seq,3,2,dnc,16,750.9254
large,50000,16,1000000,100000,1,nelson_seq,4,2,dnc,16,739.3931
large,50000,16,1000000,100000,1,par_close,0,2,dnc,16,385.6645
large,50000,16,1000000,100000,1,par_close,1,2,dnc,16,388.0822
