family,n,d,classes,merges,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
cube,5,2,508,5,nelson_seq,0,1,dnc,16,0.2891
cube,5,2,508,5,nelson_seq,1,1,dnc,16,0.2805
cube,5,2,508,5,nelson_seq,2,1,dnc,16,0.2784
cube,5,2,508,5,nelson_seq,3,1,dnc,16,0.2782
cube,5,2,508,5,nelson_seq,4,1,dnc,16,0.2774
cube,5,2,508,5,par_close,0,1,dnc,16,0.7198
cube,5,2,508,5,par_close,1,1,dnc,16,0.7159
cube,5,2,508,5,par_close,2,1,dnc,16,0.7126
cube,5,2,508,5,par_close,3,1,dnc,16,0.7167
cube,5,2,508,5,par_close,4,1,dnc,16,0.7140
cube,5,2,508,5,par_close,0,2,dnc,16,0.6866
cube,5,2,508,5,par_close,1,2,dnc,16,1.0206
cube,5,2,508,5,par_close,2,2,dnc,16,0.6965
cube,5,2,508,5,par_close,3,2,dnc,16,0.6706
cube,5,2,508,5,par_close,4,2,dnc,16,0.6655
cube,5,2,508,5,par_close,0,4,dnc,16,0.6700
cube,5,2,508,5,par_close,1,4,dnc,16,0.6714
cube,5,2,508,5,par_close,2,4,dnc,16,0.6719
cube,5,2,508,5,par_close,3,4,dnc,16,0.6673
cube,5,2,508,5,par_close,4,4,dnc,16,0.6742
cube,5,2,508,5,par_close,0,8,dnc,16,0.8303
cube,5,2,508,5,par_close,1,8,dnc,16,0.8454
cube,5,2,508,5,par_close,2,8,dnc,16,0.5556
cube,5,2,508,5,par_close,3,8,dnc,16,0.8438
cube,5,2,508,5,par_close,4,8,dnc,16,0.5702
cube,5,2,508,5,par_close,0,16,dnc,16,0.7516
cube,5,2,508,5,par_close,1,16,dnc,16,0.7789
cube,5,2,508,5,par_close,2,16,dnc,16,0.5102
cube,5,2,508,5,par_close,3,16,dnc,16,0.7456
cube,5,2,508,5,par_close,4,16,dnc,16,0.7167
cube,5,2,508,5,par_close,0,32,dnc,16,0.7305
cube,5,2,508,5,par_close,1,32,dnc,16,0.7633
cube,5,2,508,5,par_close,2,32,dnc,16,0.7448
cube,5,2,508,5,par_close,3,32,dnc,16,0.7233
cube,5,2,508,5,par_close,4,32,dnc,16,0.7206
cube,5,2,508,5,par_close,0,64,dnc,16,3.4418
cube,5,2,508,5,par_close,1,64,dnc,16,1.4622
cube,5,2,508,5,par_close,2,64,dnc,16,1.2410
cube,5,2,508,5,par_close,3,64,dnc,16,1.3529
cube,5,2,508,5,par_close,4,64,dnc,16,1.3289
cube,5,2,508,5,par_close,0,128,dnc,16,2.3141
cube,5,2,508,5,par_close,1,128,dnc,16,1.7233
cube,5,2,508,5,par_close,2,128,dnc,16,1.7412
cube,5,2,508,5,par_close,3,128,dnc,16,1.7811
cube,5,2,508,5,par_close,4,128,dnc,16,1.7802
cube,5,2,508,5,par_close,0,144,dnc,16,1.7604
cube,5,2,508,5,par_close,1,144,dnc,16,1.8019
cube,5,2,508,5,par_close,2,144,dnc,16,1.4761
cube,5,2,508,5,par_close,3,144,dnc,16,1.7953
cube,5,2,508,5,par_close,4,144,dnc,16,1.8448
cube,55,2,665608,55,nelson_seq,0,1,dnc,16,392.4325
cube,55,2,665608,55,nelson_seq,1,1,dnc,16,405.1337
cube,55,2,665608,55,nelson_seq,2,1,dnc,16,408.4311
cube,55,2,665608,55,nelson_seq,3,1,dnc,16,416.0665
cube,55,2,665608,55,nelson_seq,4,1,dnc,16,416.2811
cube,55,2,665608,55,par_close,0,1,dnc,16,850.4858
cube,55,2,665608,55,par_close,1,1,dnc,16,860.5709
cube,55,2,665608,55,par_close,2,1,dnc,16,861.1403
cube,55,2,665608,55,par_close,3,1,dnc,16,863.9322
cube,55,2,665608,55,par_close,4,1,dnc,16,861.5754
cube,55,2,665608,55,par_close,0,2,dnc,16,498.3178
cube,55,2,665608,55,par_close,1,2,dnc,16,477.3763
cube,55,2,665608,55,par_close,2,2,dnc,16,453.8697
cube,55,2,665608,55,par_close,3,2,dnc,16,459.3397
