workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
cube_d2_k5,1,0,10,750,250,0.394,0.014,0.214,0.000,0.091,0.063
cube_d2_k5,1,1,250,250,122,0.124,0.022,0.072,0.000,0.029,0.020
cube_d2_k5,1,2,122,122,64,0.062,0.012,0.039,0.000,0.016,0.011
cube_d2_k5,1,3,64,64,32,0.033,0.007,0.023,0.000,0.010,0.006
cube_d2_k5,1,4,32,32,16,0.018,0.004,0.015,0.000,0.007,0.003
cube_d2_k5,1,5,16,16,8,0.010,0.003,0.010,0.000,0.005,0.002
cube_d2_k5,1,6,8,8,4,0.006,0.002,0.008,0.000,0.004,0.001
cube_d2_k5,1,7,4,4,2,0.004,0.002,0.006,0.000,0.004,0.001
cube_d2_k5,1,8,2,0,0,0.003,0.001,0.000,,,
cube_d2_k5,1,0,10,750,250,0.008,0.003,0.162,0.000,0.063,0.042
cube_d2_k5,1,1,250,250,122,0.122,0.021,0.070,0.000,0.028,0.020
cube_d2_k5,1,2,122,122,64,0.062,0.011,0.039,0.000,0.016,0.011
cube_d2_k5,1,3,64,64,32,0.034,0.007,0.022,0.000,0.010,0.006
cube_d2_k5,1,4,32,32,16,0.018,0.004,0.014,0.000,0.007,0.003
cube_d2_k5,1,5,16,16,8,0.010,0.003,0.010,0.000,0.005,0.002
cube_d2_k5,1,6,8,8,4,0.006,0.002,0.008,0.000,0.004,0.001
cube_d2_k5,1,7,4,4,2,0.004,0.001,0.006,0.000,0.004,0.001
cube_d2_k5,1,8,2,0,0,0.003,0.001,0.000,,,
cube_d2_k5,1,0,10,750,250,0.008,0.003,0.162,0.000,0.063,0.042
cube_d2_k5,1,1,250,250,122,0.123,0.021,0.069,0.000,0.028,0.020
cube_d2_k5,1,2,122,122,64,0.062,0.011,0.038,0.000,0.016,0.011
cube_d2_k5,1,3,64,64,32,0.033,0.007,0.022,0.000,0.010,0.006
cube_d2_k5,1,4,32,32,16,0.018,0.004,0.014,0.000,0.007,0.003
cube_d2_k5,1,5,16,16,8,0.009,0.003,0.010,0.000,0.005,0.002
cube_d2_k5,1,6,8,8,4,0.006,0.002,0.008,0.000,0.004,0.001
cube_d2_k5,1,7,4,4,2,0.004,0.001,0.006,0.000,0.004,0.001
cube_d2_k5,1,8,2,0,0,0.002,0.001,0.000,,,
cube_d2_k5,1,0,10,750,250,0.008,0.003,0.162,0.000,0.063,0.042
cube_d2_k5,1,1,250,250,122,0.122,0.020,0.069,0.000,0.028,0.020
cube_d2_k5,1,2,122,122,64,0.062,0.011,0.038,0.000,0.016,0.011
cube_d2_k5,1,3,64,64,32,0.033,0.007,0.022,0.000,0.010,0.006
cube_d2_k5,1,4,32,32,16,0.017,0.004,0.014,0.000,0.007,0.003
cube_d2_k5,1,5,16,16,8,0.009,0.003,0.010,0.000,0.005,0.002
