[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  4.858ms frontier=  4.221ms semisort= 88.470ms (keyed= 0.000ms group_by= 41.006ms per_group=15.321ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate= 45.209ms frontier= 12.697ms semisort= 44.640ms (keyed= 0.000ms group_by= 13.725ms per_group= 7.458ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 27.183ms frontier=  8.945ms semisort= 21.523ms (keyed= 0.000ms group_by=  5.980ms per_group= 4.070ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 14.980ms frontier=  4.319ms semisort= 11.903ms (keyed= 0.000ms group_by=  3.404ms per_group= 2.301ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate=  7.431ms frontier=  2.143ms semisort=  7.016ms (keyed= 0.000ms group_by=  1.896ms per_group= 1.550ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate=  6.242ms frontier=  1.830ms semisort=  5.339ms (keyed= 0.000ms group_by=  1.446ms per_group= 1.082ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.706ms frontier=  1.116ms semisort=  3.192ms (keyed= 0.000ms group_by=  1.015ms per_group= 0.613ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.843ms frontier=  0.589ms semisort=  8.548ms (keyed= 0.000ms group_by=  7.469ms per_group= 0.326ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  1.021ms frontier=  0.387ms semisort=  3.947ms (keyed= 0.000ms group_by=  3.339ms per_group= 0.196ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.479ms frontier=  0.248ms semisort=  2.000ms (keyed= 0.000ms group_by=  1.618ms per_group= 0.129ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.186ms frontier=  0.350ms semisort=  0.977ms (keyed= 0.000ms group_by=  0.567ms per_group= 0.077ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.678ms frontier=  0.195ms semisort=  0.622ms (keyed= 0.000ms group_by=  0.341ms per_group= 0.095ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.361ms frontier=  0.102ms semisort=  0.334ms (keyed= 0.000ms group_by=  0.180ms per_group= 0.040ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.196ms frontier=  0.065ms semisort=  0.211ms (keyed= 0.000ms group_by=  0.096ms per_group= 0.039ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.122ms frontier=  0.049ms semisort=  0.151ms (keyed= 0.000ms group_by=  0.058ms per_group= 0.029ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.088ms frontier=  0.034ms semisort=  0.117ms (keyed= 0.000ms group_by=  0.048ms per_group= 0.030ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.052ms frontier=  0.028ms semisort=  0.071ms (keyed= 0.000ms group_by=  0.026ms per_group= 0.018ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.035ms frontier=  0.023ms semisort=  0.052ms (keyed= 0.000ms group_by=  0.021ms per_group= 0.016ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.030ms frontier=  0.009ms semisort=  0.029ms (keyed= 0.000ms group_by=  0.012ms per_group= 0.008ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.023ms frontier=  0.006ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.013ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.006ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.004ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  1.014ms frontier=  1.410ms semisort= 77.903ms (keyed= 0.000ms group_by= 33.940ms per_group=15.709ms)
