[synthetic_bench] cube n=55 d=3 classes=505288 merges=55 ...
[pe] round=  0 work=      110 frontier=   998250 next=   332750 consolidate=  0.921ms frontier=  0.719ms semisort= 46.459ms (keyed= 0.000ms group_by= 15.401ms per_group=12.760ms)
[pe] round=  1 work=   332750 frontier=   332750 next=   113380 consolidate= 28.592ms frontier=  5.055ms semisort= 17.327ms (keyed= 0.000ms group_by=  5.720ms per_group= 3.374ms)
[pe] round=  2 work=   113380 frontier=   113380 next=    39366 consolidate= 10.378ms frontier=  2.026ms semisort= 21.784ms (keyed= 0.000ms group_by= 17.618ms per_group= 1.321ms)
[pe] round=  3 work=    39366 frontier=    39366 next=    13122 consolidate=  4.114ms frontier=  0.795ms semisort=  7.330ms (keyed= 0.000ms group_by=  6.141ms per_group= 0.375ms)
[pe] round=  4 work=    13122 frontier=    13122 next=     4374 consolidate=  2.043ms frontier=  0.275ms semisort=  2.153ms (keyed= 0.000ms group_by=  1.650ms per_group= 0.178ms)
[pe] round=  5 work=     4374 frontier=     4374 next=     1458 consolidate=  0.734ms frontier=  0.333ms semisort=  0.810ms (keyed= 0.000ms group_by=  0.473ms per_group= 0.067ms)
[pe] round=  6 work=     1458 frontier=     1458 next=      486 consolidate=  0.284ms frontier=  0.121ms semisort=  0.313ms (keyed= 0.000ms group_by=  0.181ms per_group= 0.028ms)
[pe] round=  7 work=      486 frontier=      486 next=      162 consolidate=  0.145ms frontier=  0.084ms semisort=  0.147ms (keyed= 0.000ms group_by=  0.086ms per_group= 0.015ms)
[pe] round=  8 work=      162 frontier=      162 next=       54 consolidate=  0.049ms frontier=  0.026ms semisort=  0.057ms (keyed= 0.000ms group_by=  0.028ms per_group= 0.009ms)
[pe] round=  9 work=       54 frontier=       54 next=       18 consolidate=  0.032ms frontier=  0.014ms semisort=  0.033ms (keyed= 0.000ms group_by=  0.016ms per_group= 0.007ms)
[pe] round= 10 work=       18 frontier=       18 next=        6 consolidate=  0.016ms frontier=  0.007ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.010ms per_group= 0.003ms)
[pe] round= 11 work=        6 frontier=        6 next=        2 consolidate=  0.008ms frontier=  0.004ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.001ms)
[pe] round= 12 work=        2 frontier=        0 next=        0 consolidate=  0.005ms frontier=  0.002ms semisort=  0.000ms (break)
[pe] round=  0 work=      110 frontier=   998250 next=   332750 consolidate=  0.259ms frontier=  0.353ms semisort= 37.194ms (keyed= 0.000ms group_by= 13.695ms per_group= 8.955ms)
[pe] round=  1 work=   332750 frontier=   332750 next=   113380 consolidate= 27.424ms frontier=  4.708ms semisort= 15.403ms (keyed= 0.000ms group_by=  4.583ms per_group= 3.086ms)
[pe] round=  2 work=   113380 frontier=   113380 next=    39366 consolidate= 10.507ms frontier=  1.853ms semisort= 21.423ms (keyed= 0.000ms group_by= 17.281ms per_group= 1.374ms)
