family,n,d,classes,merges,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
chain,5600,2,11202,1,nelson_seq,0,1,dnc,16,1.1002
chain,5600,2,11202,1,nelson_seq,1,1,dnc,16,1.1033
chain,5600,2,11202,1,nelson_seq,2,1,dnc,16,1.1088
chain,5600,2,11202,1,nelson_seq,3,1,dnc,16,1.2215
chain,5600,2,11202,1,nelson_seq,4,1,dnc,16,1.0876
chain,5600,2,11202,1,par_close,0,1,dnc,16,51.2860
chain,5600,2,11202,1,par_close,1,1,dnc,16,49.7168
chain,5600,2,11202,1,par_close,2,1,dnc,16,50.0727
chain,5600,2,11202,1,par_close,3,1,dnc,16,49.9868
chain,5600,2,11202,1,par_close,4,1,dnc,16,51.7038
chain,5600,2,11202,1,par_close,0,2,dnc,16,52.0569
chain,5600,2,11202,1,par_close,1,2,dnc,16,52.2328
chain,5600,2,11202,1,par_close,2,2,dnc,16,52.4220
chain,5600,2,11202,1,par_close,3,2,dnc,16,52.8300
chain,5600,2,11202,1,par_close,4,2,dnc,16,52.5017
chain,5600,2,11202,1,par_close,0,4,dnc,16,56.0910
chain,5600,2,11202,1,par_close,1,4,dnc,16,54.9584
chain,5600,2,11202,1,par_close,2,4,dnc,16,54.2404
chain,5600,2,11202,1,par_close,3,4,dnc,16,64.1752
chain,5600,2,11202,1,par_close,4,4,dnc,16,67.3818
chain,5600,2,11202,1,par_close,0,8,dnc,16,55.8303
chain,5600,2,11202,1,par_close,1,8,dnc,16,56.0026
chain,5600,2,11202,1,par_close,2,8,dnc,16,56.4181
chain,5600,2,11202,1,par_close,3,8,dnc,16,69.2247
chain,5600,2,11202,1,par_close,4,8,dnc,16,68.4149
chain,5600,2,11202,1,par_close,0,16,dnc,16,57.2843
chain,5600,2,11202,1,par_close,1,16,dnc,16,56.5752
chain,5600,2,11202,1,par_close,2,16,dnc,16,61.6994
chain,5600,2,11202,1,par_close,3,16,dnc,16,69.2558
chain,5600,2,11202,1,par_close,4,16,dnc,16,68.7637
chain,5600,2,11202,1,par_close,0,32,dnc,16,55.5870
chain,5600,2,11202,1,par_close,1,32,dnc,16,55.4371
chain,5600,2,11202,1,par_close,2,32,dnc,16,65.0033
chain,5600,2,11202,1,par_close,3,32,dnc,16,70.0368
chain,5600,2,11202,1,par_close,4,32,dnc,16,69.7130
chain,5600,2,11202,1,par_close,0,64,dnc,16,135.0795
chain,5600,2,11202,1,par_close,1,64,dnc,16,135.1191
chain,5600,2,11202,1,par_close,2,64,dnc,16,135.4725
chain,5600,2,11202,1,par_close,3,64,dnc,16,113.0067
chain,5600,2,11202,1,par_close,4,64,dnc,16,91.0807
chain,5600,2,11202,1,par_close,0,128,dnc,16,76.7522
chain,5600,2,11202,1,par_close,1,128,dnc,16,121.0626
chain,5600,2,11202,1,par_close,2,128,dnc,16,123.4140
chain,5600,2,11202,1,par_close,3,128,dnc,16,124.0978
chain,5600,2,11202,1,par_close,4,128,dnc,16,119.3635
chain,5600,2,11202,1,par_close,0,144,dnc,16,76.3929
chain,5600,2,11202,1,par_close,1,144,dnc,16,92.0831
chain,5600,2,11202,1,par_close,2,144,dnc,16,75.9304
chain,5600,2,11202,1,par_close,3,144,dnc,16,76.1434
chain,5600,2,11202,1,par_close,4,144,dnc,16,76.2102
chain,6100,2,12202,1,nelson_seq,0,1,dnc,16,1.9320
chain,6100,2,12202,1,nelson_seq,1,1,dnc,16,1.7692
chain,6100,2,12202,1,nelson_seq,2,1,dnc,16,1.7588
chain,6100,2,12202,1,nelson_seq,3,1,dnc,16,1.7929
chain,6100,2,12202,1,nelson_seq,4,1,dnc,16,1.7314
chain,6100,2,12202,1,par_close,0,1,dnc,16,76.8821
chain,6100,2,12202,1,par_close,1,1,dnc,16,73.0634
chain,6100,2,12202,1,par_close,2,1,dnc,16,57.0207
chain,6100,2,12202,1,par_close,3,1,dnc,16,77.9268
chain,6100,2,12202,1,par_close,4,1,dnc,16,76.6388
chain,6100,2,12202,1,par_close,0,2,dnc,16,82.4896
chain,6100,2,12202,1,par_close,1,2,dnc,16,145.2315
chain,6100,2,12202,1,par_close,2,2,dnc,16,145.9546
chain,6100,2,12202,1,par_close,3,2,dnc,16,146.2681
chain,6100,2,12202,1,par_close,4,2,dnc,16,110.7736
chain,6100,2,12202,1,par_close,0,4,dnc,16,69.8740
chain,6100,2,12202,1,par_close,1,4,dnc,16,61.9248
chain,6100,2,12202,1,par_close,2,4,dnc,16,61.5857
chain,6100,2,12202,1,par_close,3,4,dnc,16,60.7361
chain,6100,2,12202,1,par_close,4,4,dnc,16,61.3875
chain,6100,2,12202,1,par_close,0,8,dnc,16,73.6766
chain,6100,2,12202,1,par_close,1,8,dnc,16,73.0067
chain,6100,2,12202,1,par_close,2,8,dnc,16,72.8901
chain,6100,2,12202,1,par_close,3,8,dnc,16,63.2142
chain,6100,2,12202,1,par_close,4,8,dnc,16,60.4474
chain,6100,2,12202,1,par_close,0,16,dnc,16,143.9498
chain,6100,2,12202,1,par_close,1,16,dnc,16,145.3144
chain,6100,2,12202,1,par_close,2,16,dnc,16,139.2310
chain,6100,2,12202,1,par_close,3,16,dnc,16,98.8562
chain,6100,2,12202,1,par_close,4,16,dnc,16,98.7515
chain,6100,2,12202,1,par_close,0,32,dnc,16,144.2673
chain,6100,2,12202,1,par_close,1,32,dnc,16,148.0619
chain,6100,2,12202,1,par_close,2,32,dnc,16,147.8686
chain,6100,2,12202,1,par_close,3,32,dnc,16,120.7322
chain,6100,2,12202,1,par_close,4,32,dnc,16,99.0548
chain,6100,2,12202,1,par_close,0,64,dnc,16,119.8180
chain,6100,2,12202,1,par_close,1,64,dnc,16,148.3994
chain,6100,2,12202,1,par_close,2,64,dnc,16,147.6012
chain,6100,2,12202,1,par_close,3,64,dnc,16,140.8207
chain,6100,2,12202,1,par_close,4,64,dnc,16,101.9941
chain,6100,2,12202,1,par_close,0,128,dnc,16,82.6910
chain,6100,2,12202,1,par_close,1,128,dnc,16,127.0576
