[synthetic_bench] cube n=110 d=2 classes=5324218 merges=110 ...
[pe] round=  0 work=      220 frontier=  7986000 next=  2662000 consolidate=  5.430ms frontier=  4.698ms semisort= 97.937ms (keyed= 0.000ms group_by= 44.170ms per_group=17.326ms)
[pe] round=  1 work=  2662000 frontier=  2662000 next=  1048576 consolidate= 55.751ms frontier= 13.489ms semisort= 49.286ms (keyed= 0.000ms group_by= 15.607ms per_group= 7.965ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   564848 consolidate= 26.873ms frontier=  8.813ms semisort= 23.844ms (keyed= 0.000ms group_by=  7.172ms per_group= 4.143ms)
[pe] round=  3 work=   564848 frontier=   564848 next=   524288 consolidate= 15.975ms frontier=  4.244ms semisort= 13.140ms (keyed= 0.000ms group_by=  2.663ms per_group= 3.364ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 18.039ms frontier=  7.797ms semisort= 12.099ms (keyed= 0.000ms group_by=  2.466ms per_group= 3.847ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.976ms frontier=  2.575ms semisort=  7.006ms (keyed= 0.000ms group_by=  1.431ms per_group= 2.431ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  4.018ms frontier=  1.387ms semisort=  3.703ms (keyed= 0.000ms group_by=  0.865ms per_group= 1.196ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.976ms frontier=  0.621ms semisort=  8.103ms (keyed= 0.000ms group_by=  7.037ms per_group= 0.327ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  1.062ms frontier=  0.368ms semisort=  3.783ms (keyed= 0.000ms group_by=  3.166ms per_group= 0.219ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.236ms frontier=  0.260ms semisort=  2.007ms (keyed= 0.000ms group_by=  1.600ms per_group= 0.149ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.157ms frontier=  0.476ms semisort=  1.084ms (keyed= 0.000ms group_by=  0.569ms per_group= 0.171ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.503ms frontier=  0.202ms semisort=  0.514ms (keyed= 0.000ms group_by=  0.278ms per_group= 0.053ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.207ms frontier=  0.114ms semisort=  0.345ms (keyed= 0.000ms group_by=  0.191ms per_group= 0.039ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.177ms frontier=  0.071ms semisort=  0.230ms (keyed= 0.000ms group_by=  0.102ms per_group= 0.045ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.122ms frontier=  0.053ms semisort=  0.158ms (keyed= 0.000ms group_by=  0.062ms per_group= 0.042ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.075ms frontier=  0.040ms semisort=  0.109ms (keyed= 0.000ms group_by=  0.043ms per_group= 0.028ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.062ms frontier=  0.031ms semisort=  0.075ms (keyed= 0.000ms group_by=  0.024ms per_group= 0.022ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.035ms frontier=  0.015ms semisort=  0.051ms (keyed= 0.000ms group_by=  0.022ms per_group= 0.014ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.022ms frontier=  0.009ms semisort=  0.023ms (keyed= 0.000ms group_by=  0.011ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.019ms frontier=  0.006ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.015ms frontier=  0.004ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.006ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.004ms frontier=  0.002ms semisort=  0.000ms (break)
[pe] round=  0 work=      220 frontier=  7986000 next=  2662000 consolidate=  0.924ms frontier=  1.510ms semisort= 82.379ms (keyed= 0.000ms group_by= 31.957ms per_group=16.776ms)
[pe] round=  1 work=  2662000 frontier=  2662000 next=  1048576 consolidate= 63.818ms frontier= 14.968ms semisort= 46.477ms (keyed= 0.000ms group_by= 14.107ms per_group= 7.592ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   564848 consolidate= 27.577ms frontier=  8.434ms semisort= 25.337ms (keyed= 0.000ms group_by=  7.217ms per_group= 4.236ms)
[pe] round=  3 work=   564848 frontier=   564848 next=   524288 consolidate= 16.133ms frontier=  4.244ms semisort= 12.688ms (keyed= 0.000ms group_by=  2.632ms per_group= 3.035ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 14.968ms frontier=  4.016ms semisort=  9.593ms (keyed= 0.000ms group_by=  2.413ms per_group= 1.814ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  8.231ms frontier=  1.988ms semisort=  5.237ms (keyed= 0.000ms group_by=  1.462ms per_group= 1.061ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.917ms frontier=  1.152ms semisort=  2.901ms (keyed= 0.000ms group_by=  0.840ms per_group= 0.607ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.930ms frontier=  0.579ms semisort=  7.610ms (keyed= 0.000ms group_by=  6.547ms per_group= 0.322ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.991ms frontier=  0.357ms semisort=  3.873ms (keyed= 0.000ms group_by=  3.260ms per_group= 0.199ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.552ms frontier=  0.257ms semisort=  2.068ms (keyed= 0.000ms group_by=  1.613ms per_group= 0.186ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.320ms frontier=  0.387ms semisort=  0.977ms (keyed= 0.000ms group_by=  0.567ms per_group= 0.077ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.693ms frontier=  0.210ms semisort=  0.549ms (keyed= 0.000ms group_by=  0.306ms per_group= 0.061ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.359ms frontier=  0.112ms semisort=  0.354ms (keyed= 0.000ms group_by=  0.187ms per_group= 0.052ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.214ms frontier=  0.068ms semisort=  0.221ms (keyed= 0.000ms group_by=  0.106ms per_group= 0.039ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.139ms frontier=  0.048ms semisort=  0.145ms (keyed= 0.000ms group_by=  0.055ms per_group= 0.035ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.087ms frontier=  0.038ms semisort=  0.107ms (keyed= 0.000ms group_by=  0.040ms per_group= 0.029ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.060ms frontier=  0.031ms semisort=  0.080ms (keyed= 0.000ms group_by=  0.032ms per_group= 0.023ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.043ms frontier=  0.022ms semisort=  0.053ms (keyed= 0.000ms group_by=  0.017ms per_group= 0.016ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.023ms frontier=  0.008ms semisort=  0.024ms (keyed= 0.000ms group_by=  0.012ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.019ms frontier=  0.006ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.010ms frontier=  0.003ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.007ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.004ms frontier=  0.002ms semisort=  0.000ms (break)
[pe] round=  0 work=      220 frontier=  7986000 next=  2662000 consolidate=  0.942ms frontier=  1.517ms semisort= 95.913ms (keyed= 0.000ms group_by= 43.109ms per_group=16.108ms)
[pe] round=  1 work=  2662000 frontier=  2662000 next=  1048576 consolidate= 64.538ms frontier= 19.184ms semisort= 48.133ms (keyed= 0.000ms group_by= 14.992ms per_group= 7.518ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   564848 consolidate= 28.002ms frontier=  9.382ms semisort= 34.969ms (keyed= 0.000ms group_by=  8.035ms per_group= 4.315ms)
[pe] round=  3 work=   564848 frontier=   564848 next=   524288 consolidate= 15.691ms frontier=  4.410ms semisort= 12.713ms (keyed= 0.000ms group_by=  2.633ms per_group= 3.083ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 16.098ms frontier=  4.049ms semisort=  9.501ms (keyed= 0.000ms group_by=  2.417ms per_group= 1.880ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.917ms frontier=  1.977ms semisort=  5.381ms (keyed= 0.000ms group_by=  1.527ms per_group= 1.121ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.891ms frontier=  1.306ms semisort=  3.043ms (keyed= 0.000ms group_by=  0.812ms per_group= 0.585ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.860ms frontier=  0.559ms semisort=  7.563ms (keyed= 0.000ms group_by=  6.512ms per_group= 0.319ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  1.090ms frontier=  0.374ms semisort=  3.734ms (keyed= 0.000ms group_by=  3.120ms per_group= 0.201ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.529ms frontier=  0.259ms semisort=  2.231ms (keyed= 0.000ms group_by=  1.620ms per_group= 0.356ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.268ms frontier=  0.525ms semisort=  1.023ms (keyed= 0.000ms group_by=  0.610ms per_group= 0.087ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.638ms frontier=  0.201ms semisort=  0.531ms (keyed= 0.000ms group_by=  0.286ms per_group= 0.064ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.348ms frontier=  0.110ms semisort=  0.363ms (keyed= 0.000ms group_by=  0.198ms per_group= 0.046ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.193ms frontier=  0.070ms semisort=  0.222ms (keyed= 0.000ms group_by=  0.109ms per_group= 0.032ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.121ms frontier=  0.046ms semisort=  0.146ms (keyed= 0.000ms group_by=  0.058ms per_group= 0.037ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.074ms frontier=  0.041ms semisort=  0.107ms (keyed= 0.000ms group_by=  0.036ms per_group= 0.033ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.060ms frontier=  0.027ms semisort=  0.075ms (keyed= 0.000ms group_by=  0.027ms per_group= 0.021ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.041ms frontier=  0.015ms semisort=  0.055ms (keyed= 0.000ms group_by=  0.020ms per_group= 0.018ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.030ms frontier=  0.008ms semisort=  0.025ms (keyed= 0.000ms group_by=  0.012ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.019ms frontier=  0.005ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.004ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.014ms frontier=  0.004ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.002ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.007ms frontier=  0.002ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.004ms frontier=  0.002ms semisort=  0.000ms (break)
[pe] round=  0 work=      220 frontier=  7986000 next=  2662000 consolidate=  7.749ms frontier=  5.371ms semisort= 97.047ms (keyed= 0.000ms group_by= 36.143ms per_group=18.276ms)
[pe] round=  1 work=  2662000 frontier=  2662000 next=  1048576 consolidate= 66.942ms frontier= 16.704ms semisort= 65.962ms (keyed= 0.000ms group_by= 28.884ms per_group= 9.515ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   564848 consolidate= 29.213ms frontier=  8.811ms semisort= 23.750ms (keyed= 0.000ms group_by=  7.768ms per_group= 4.266ms)
[pe] round=  3 work=   564848 frontier=   564848 next=   524288 consolidate= 15.654ms frontier=  4.444ms semisort= 12.760ms (keyed= 0.000ms group_by=  2.731ms per_group= 3.112ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 14.843ms frontier=  4.117ms semisort=  9.557ms (keyed= 0.000ms group_by=  2.526ms per_group= 1.874ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.924ms frontier=  2.020ms semisort=  5.251ms (keyed= 0.000ms group_by=  1.489ms per_group= 1.085ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.993ms frontier=  1.091ms semisort=  2.845ms (keyed= 0.000ms group_by=  0.852ms per_group= 0.597ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.894ms frontier=  0.573ms semisort=  7.829ms (keyed= 0.000ms group_by=  6.737ms per_group= 0.328ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.989ms frontier=  0.353ms semisort=  3.860ms (keyed= 0.000ms group_by=  3.244ms per_group= 0.199ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.560ms frontier=  0.296ms semisort=  2.037ms (keyed= 0.000ms group_by=  1.642ms per_group= 0.128ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.302ms frontier=  0.376ms semisort=  0.984ms (keyed= 0.000ms group_by=  0.561ms per_group= 0.077ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.666ms frontier=  0.196ms semisort=  0.541ms (keyed= 0.000ms group_by=  0.287ms per_group= 0.062ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.341ms frontier=  0.111ms semisort=  0.348ms (keyed= 0.000ms group_by=  0.191ms per_group= 0.045ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.195ms frontier=  0.069ms semisort=  0.217ms (keyed= 0.000ms group_by=  0.098ms per_group= 0.042ms)
