[synthetic_bench] cube n=135 d=2 classes=9841768 merges=135 ...
[pe] round=  0 work=      270 frontier= 14762250 next=  4920750 consolidate=  9.408ms frontier=  7.440ms semisort=161.106ms (keyed= 0.000ms group_by= 97.289ms per_group=21.769ms)
[pe] round=  1 work=  4920750 frontier=  4920750 next=  2097152 consolidate= 67.461ms frontier= 17.754ms semisort= 66.593ms (keyed= 0.000ms group_by= 23.788ms per_group=10.325ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate= 32.626ms frontier= 10.504ms semisort= 35.161ms (keyed= 0.000ms group_by=  8.912ms per_group= 5.088ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   726446 consolidate= 23.339ms frontier=  7.317ms semisort= 19.023ms (keyed= 0.000ms group_by=  4.647ms per_group= 3.497ms)
[pe] round=  4 work=   726446 frontier=   726446 next=   524288 consolidate= 15.288ms frontier=  4.832ms semisort= 13.344ms (keyed= 0.000ms group_by=  2.894ms per_group= 3.477ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 11.662ms frontier=  3.281ms semisort=  8.135ms (keyed= 0.000ms group_by=  2.048ms per_group= 1.515ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  6.239ms frontier=  1.799ms semisort=  4.651ms (keyed= 0.000ms group_by=  1.363ms per_group= 0.848ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  2.919ms frontier=  0.935ms semisort=  2.474ms (keyed= 0.000ms group_by=  0.789ms per_group= 0.493ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  1.569ms frontier=  0.652ms semisort=  7.895ms (keyed= 0.000ms group_by=  6.928ms per_group= 0.278ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.952ms frontier=  0.352ms semisort=  4.161ms (keyed= 0.000ms group_by=  3.599ms per_group= 0.181ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.714ms frontier=  0.266ms semisort=  2.346ms (keyed= 0.000ms group_by=  1.764ms per_group= 0.314ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  1.333ms frontier=  0.384ms semisort=  1.086ms (keyed= 0.000ms group_by=  0.665ms per_group= 0.083ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.679ms frontier=  0.199ms semisort=  0.605ms (keyed= 0.000ms group_by=  0.348ms per_group= 0.062ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.374ms frontier=  0.121ms semisort=  0.391ms (keyed= 0.000ms group_by=  0.215ms per_group= 0.054ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.214ms frontier=  0.070ms semisort=  0.243ms (keyed= 0.000ms group_by=  0.098ms per_group= 0.046ms)
