family,n,d,classes,merges,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
cube,5,2,508,5,nelson_seq,0,1,dnc,16,0.1038
cube,5,2,508,5,nelson_seq,1,1,dnc,16,0.1017
cube,5,2,508,5,nelson_seq,2,1,dnc,16,0.1008
cube,5,2,508,5,nelson_seq,3,1,dnc,16,0.1089
cube,5,2,508,5,nelson_seq,4,1,dnc,16,0.1034
cube,5,2,508,5,par_close,0,1,dnc,16,0.5242
cube,5,2,508,5,par_close,1,1,dnc,16,0.5514
cube,5,2,508,5,par_close,2,1,dnc,16,0.5570
cube,5,2,508,5,par_close,3,1,dnc,16,0.5074
cube,5,2,508,5,par_close,4,1,dnc,16,0.5096
cube,5,2,508,5,par_close,0,2,dnc,16,0.6119
cube,5,2,508,5,par_close,1,2,dnc,16,0.6322
cube,5,2,508,5,par_close,2,2,dnc,16,0.6430
cube,5,2,508,5,par_close,3,2,dnc,16,0.6224
cube,5,2,508,5,par_close,4,2,dnc,16,0.6581
cube,5,2,508,5,par_close,0,4,dnc,16,0.6545
cube,5,2,508,5,par_close,1,4,dnc,16,0.6678
cube,5,2,508,5,par_close,2,4,dnc,16,0.6460
cube,5,2,508,5,par_close,3,4,dnc,16,0.6776
cube,5,2,508,5,par_close,4,4,dnc,16,0.6705
cube,5,2,508,5,par_close,0,8,dnc,16,0.7172
cube,5,2,508,5,par_close,1,8,dnc,16,0.6868
cube,5,2,508,5,par_close,2,8,dnc,16,0.6824
cube,5,2,508,5,par_close,3,8,dnc,16,0.6801
cube,5,2,508,5,par_close,4,8,dnc,16,0.6922
cube,5,2,508,5,par_close,0,16,dnc,16,0.6436
cube,5,2,508,5,par_close,1,16,dnc,16,0.7919
cube,5,2,508,5,par_close,2,16,dnc,16,0.6664
cube,5,2,508,5,par_close,3,16,dnc,16,0.6201
cube,5,2,508,5,par_close,4,16,dnc,16,0.6553
cube,5,2,508,5,par_close,0,32,dnc,16,0.6593
cube,5,2,508,5,par_close,1,32,dnc,16,0.8104
cube,5,2,508,5,par_close,2,32,dnc,16,0.6480
cube,5,2,508,5,par_close,3,32,dnc,16,0.6476
