workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
cube_d2_k5,1,0,10,750,250,0.175,0.005,0.159,0.000,0.069,0.043
cube_d2_k5,1,1,250,250,122,0.091,0.015,0.053,0.000,0.021,0.015
cube_d2_k5,1,2,122,122,64,0.045,0.008,0.029,0.000,0.012,0.008
cube_d2_k5,1,3,64,64,32,0.025,0.005,0.017,0.000,0.007,0.005
cube_d2_k5,1,4,32,32,16,0.013,0.003,0.011,0.000,0.005,0.003
cube_d2_k5,1,5,16,16,8,0.007,0.002,0.007,0.000,0.004,0.002
cube_d2_k5,1,6,8,8,4,0.004,0.001,0.005,0.000,0.003,0.001
cube_d2_k5,1,7,4,4,2,0.003,0.001,0.006,0.000,0.003,0.001
cube_d2_k5,1,8,2,0,0,0.002,0.001,0.000,,,
cube_d2_k5,1,0,10,750,250,0.005,0.002,0.121,0.000,0.046,0.031
cube_d2_k5,1,1,250,250,122,0.090,0.014,0.052,0.000,0.021,0.015
cube_d2_k5,1,2,122,122,64,0.045,0.007,0.029,0.000,0.011,0.008
cube_d2_k5,1,3,64,64,32,0.025,0.005,0.017,0.000,0.007,0.005
cube_d2_k5,1,4,32,32,16,0.013,0.003,0.011,0.000,0.005,0.003
cube_d2_k5,1,5,16,16,8,0.007,0.002,0.007,0.000,0.004,0.002
cube_d2_k5,1,6,8,8,4,0.004,0.001,0.006,0.000,0.003,0.001
cube_d2_k5,1,7,4,4,2,0.003,0.001,0.005,0.000,0.003,0.001
cube_d2_k5,1,8,2,0,0,0.002,0.001,0.000,,,
cube_d2_k5,1,0,10,750,250,0.007,0.002,0.148,0.000,0.057,0.039
cube_d2_k5,1,1,250,250,122,0.088,0.013,0.061,0.000,0.030,0.015
cube_d2_k5,1,2,122,122,64,0.045,0.007,0.029,0.000,0.012,0.008
cube_d2_k5,1,3,64,64,32,0.024,0.004,0.017,0.000,0.007,0.005
cube_d2_k5,1,4,32,32,16,0.013,0.003,0.010,0.000,0.005,0.003
cube_d2_k5,1,5,16,16,8,0.007,0.002,0.007,0.000,0.004,0.002
cube_d2_k5,1,6,8,8,4,0.004,0.001,0.005,0.000,0.003,0.001
cube_d2_k5,1,7,4,4,2,0.003,0.001,0.004,0.000,0.002,0.000
cube_d2_k5,1,8,2,0,0,0.002,0.000,0.000,,,
cube_d2_k5,1,0,10,750,250,0.005,0.002,0.120,0.000,0.045,0.031
cube_d2_k5,1,1,250,250,122,0.095,0.016,0.064,0.000,0.026,0.019
cube_d2_k5,1,2,122,122,64,0.056,0.009,0.035,0.000,0.014,0.010
cube_d2_k5,1,3,64,64,32,0.027,0.004,0.017,0.000,0.007,0.005
cube_d2_k5,1,4,32,32,16,0.013,0.003,0.011,0.000,0.005,0.003
cube_d2_k5,1,5,16,16,8,0.007,0.002,0.007,0.000,0.004,0.002
cube_d2_k5,1,6,8,8,4,0.004,0.001,0.005,0.000,0.003,0.001
cube_d2_k5,1,7,4,4,2,0.003,0.001,0.004,0.000,0.002,0.000
cube_d2_k5,1,8,2,0,0,0.002,0.000,0.000,,,
cube_d2_k5,1,0,10,750,250,0.005,0.002,0.120,0.000,0.045,0.031
cube_d2_k5,1,1,250,250,122,0.088,0.013,0.051,0.000,0.021,0.015
cube_d2_k5,1,2,122,122,64,0.045,0.007,0.028,0.000,0.012,0.008
cube_d2_k5,1,3,64,64,32,0.024,0.004,0.016,0.000,0.007,0.005
cube_d2_k5,1,4,32,32,16,0.013,0.003,0.010,0.000,0.005,0.003
cube_d2_k5,1,5,16,16,8,0.007,0.002,0.007,0.000,0.004,0.002
cube_d2_k5,1,6,8,8,4,0.004,0.001,0.005,0.000,0.003,0.001
cube_d2_k5,1,7,4,4,2,0.003,0.001,0.004,0.000,0.002,0.000
cube_d2_k5,1,8,2,0,0,0.002,0.000,0.000,,,
cube_d2_k5,1,0,10,750,250,0.005,0.002,0.120,0.000,0.046,0.031
cube_d2_k5,1,1,250,250,122,0.089,0.013,0.051,0.000,0.020,0.015
cube_d2_k5,1,2,122,122,64,0.045,0.007,0.028,0.000,0.011,0.008
cube_d2_k5,1,3,64,64,32,0.027,0.004,0.016,0.000,0.007,0.005
cube_d2_k5,1,4,32,32,16,0.013,0.003,0.011,0.000,0.005,0.003
cube_d2_k5,1,5,16,16,8,0.007,0.002,0.007,0.000,0.004,0.002
cube_d2_k5,1,6,8,8,4,0.004,0.001,0.005,0.000,0.003,0.001
cube_d2_k5,1,7,4,4,2,0.003,0.001,0.004,0.000,0.002,0.000
cube_d2_k5,1,8,2,0,0,0.002,0.000,0.000,,,
cube_d2_k5,2,0,10,750,250,0.178,0.005,0.308,0.000,0.193,0.056
cube_d2_k5,2,1,250,250,122,0.124,0.021,0.079,0.000,0.024,0.024
cube_d2_k5,2,2,122,122,64,0.055,0.009,0.034,0.000,0.012,0.009
cube_d2_k5,2,3,64,64,32,0.029,0.007,0.018,0.000,0.008,0.005
cube_d2_k5,2,4,32,32,16,0.017,0.003,0.011,0.000,0.005,0.003
cube_d2_k5,2,5,16,16,8,0.008,0.002,0.007,0.000,0.004,0.002
cube_d2_k5,2,6,8,8,4,0.004,0.001,0.005,0.000,0.003,0.001
cube_d2_k5,2,7,4,4,2,0.003,0.001,0.008,0.000,0.003,0.001
cube_d2_k5,2,8,2,0,0,0.002,0.001,0.000,,,
cube_d2_k5,2,0,10,750,250,0.005,0.002,0.144,0.000,0.049,0.040
cube_d2_k5,2,1,250,250,122,0.102,0.020,0.071,0.000,0.022,0.021
