[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate= 16.377ms frontier= 13.088ms semisort=131.216ms (keyed= 0.000ms group_by= 68.803ms per_group=20.086ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate= 44.365ms frontier= 16.572ms semisort= 62.831ms (keyed= 0.000ms group_by= 25.628ms per_group=14.434ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 21.360ms frontier= 18.641ms semisort= 29.314ms (keyed= 0.000ms group_by=  6.984ms per_group= 8.855ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 10.433ms frontier=  2.898ms semisort= 11.595ms (keyed= 0.000ms group_by=  2.260ms per_group= 4.142ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate=  5.246ms frontier=  1.834ms semisort=  5.288ms (keyed= 0.000ms group_by=  1.561ms per_group= 1.032ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate=  4.176ms frontier=  1.439ms semisort=  3.537ms (keyed= 0.000ms group_by=  0.988ms per_group= 0.711ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  2.765ms frontier=  0.888ms semisort=  2.207ms (keyed= 0.000ms group_by=  0.686ms per_group= 0.434ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.478ms frontier=  0.563ms semisort=  4.383ms (keyed= 0.000ms group_by=  3.357ms per_group= 0.268ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.853ms frontier=  0.370ms semisort=  2.254ms (keyed= 0.000ms group_by=  1.688ms per_group= 0.199ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.197ms frontier=  0.293ms semisort=  1.286ms (keyed= 0.000ms group_by=  0.870ms per_group= 0.133ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.424ms frontier=  0.307ms semisort=  0.809ms (keyed= 0.000ms group_by=  0.418ms per_group= 0.094ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.267ms frontier=  0.173ms semisort=  0.528ms (keyed= 0.000ms group_by=  0.249ms per_group= 0.088ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.237ms frontier=  0.130ms semisort=  0.336ms (keyed= 0.000ms group_by=  0.149ms per_group= 0.053ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.147ms frontier=  0.092ms semisort=  0.198ms (keyed= 0.000ms group_by=  0.069ms per_group= 0.044ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.100ms frontier=  0.084ms semisort=  0.172ms (keyed= 0.000ms group_by=  0.045ms per_group= 0.044ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.079ms frontier=  0.055ms semisort=  0.125ms (keyed= 0.000ms group_by=  0.032ms per_group= 0.033ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.050ms frontier=  0.032ms semisort=  0.071ms (keyed= 0.000ms group_by=  0.016ms per_group= 0.018ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.040ms frontier=  0.024ms semisort=  0.044ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.010ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.031ms frontier=  0.007ms semisort=  0.022ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.004ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.016ms frontier=  0.004ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.011ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  1.014ms frontier=  2.314ms semisort= 61.584ms (keyed= 0.000ms group_by= 18.766ms per_group=12.012ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate= 27.300ms frontier=  9.330ms semisort= 26.314ms (keyed= 0.000ms group_by=  6.189ms per_group= 4.224ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 18.541ms frontier=  5.511ms semisort= 14.436ms (keyed= 0.000ms group_by=  3.759ms per_group= 2.333ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 12.626ms frontier=  2.732ms semisort=  8.095ms (keyed= 0.000ms group_by=  2.103ms per_group= 1.450ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate=  5.186ms frontier=  1.467ms semisort=  4.804ms (keyed= 0.000ms group_by=  1.281ms per_group= 1.046ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate=  4.400ms frontier=  1.332ms semisort=  3.473ms (keyed= 0.000ms group_by=  0.988ms per_group= 0.719ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  2.748ms frontier=  0.854ms semisort=  2.296ms (keyed= 0.000ms group_by=  0.681ms per_group= 0.441ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.369ms frontier=  0.527ms semisort=  4.311ms (keyed= 0.000ms group_by=  3.413ms per_group= 0.285ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.848ms frontier=  0.365ms semisort=  2.199ms (keyed= 0.000ms group_by=  1.609ms per_group= 0.188ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.581ms frontier=  0.281ms semisort=  1.237ms (keyed= 0.000ms group_by=  0.849ms per_group= 0.123ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.407ms frontier=  0.305ms semisort=  0.816ms (keyed= 0.000ms group_by=  0.416ms per_group= 0.090ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.661ms frontier=  0.163ms semisort=  0.538ms (keyed= 0.000ms group_by=  0.263ms per_group= 0.066ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.414ms frontier=  0.121ms semisort=  0.321ms (keyed= 0.000ms group_by=  0.139ms per_group= 0.054ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.251ms frontier=  0.077ms semisort=  0.210ms (keyed= 0.000ms group_by=  0.071ms per_group= 0.056ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.129ms frontier=  0.068ms semisort=  0.160ms (keyed= 0.000ms group_by=  0.046ms per_group= 0.044ms)
