[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  9.721ms frontier=  8.474ms semisort= 99.908ms (keyed= 0.000ms group_by= 45.988ms per_group=17.092ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate= 51.339ms frontier= 13.247ms semisort= 48.317ms (keyed= 0.000ms group_by= 19.038ms per_group= 8.429ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 26.787ms frontier= 11.480ms semisort= 21.706ms (keyed= 0.000ms group_by=  4.645ms per_group= 4.441ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 15.347ms frontier=  3.449ms semisort= 10.813ms (keyed= 0.000ms group_by=  2.922ms per_group= 2.993ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate=  6.820ms frontier=  2.263ms semisort=  5.864ms (keyed= 0.000ms group_by=  1.611ms per_group= 1.366ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate=  5.786ms frontier=  1.596ms semisort=  4.063ms (keyed= 0.000ms group_by=  1.086ms per_group= 0.948ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.424ms frontier=  0.953ms semisort=  2.542ms (keyed= 0.000ms group_by=  0.689ms per_group= 0.543ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.678ms frontier=  0.531ms semisort=  4.314ms (keyed= 0.000ms group_by=  3.346ms per_group= 0.310ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.945ms frontier=  0.360ms semisort=  2.231ms (keyed= 0.000ms group_by=  1.627ms per_group= 0.194ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.101ms frontier=  0.242ms semisort=  1.225ms (keyed= 0.000ms group_by=  0.780ms per_group= 0.176ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.175ms frontier=  0.303ms semisort=  0.990ms (keyed= 0.000ms group_by=  0.606ms per_group= 0.089ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.707ms frontier=  0.169ms semisort=  0.485ms (keyed= 0.000ms group_by=  0.242ms per_group= 0.064ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.370ms frontier=  0.104ms semisort=  0.301ms (keyed= 0.000ms group_by=  0.131ms per_group= 0.050ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.225ms frontier=  0.074ms semisort=  0.191ms (keyed= 0.000ms group_by=  0.067ms per_group= 0.041ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.127ms frontier=  0.054ms semisort=  0.143ms (keyed= 0.000ms group_by=  0.047ms per_group= 0.032ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.076ms frontier=  0.044ms semisort=  0.100ms (keyed= 0.000ms group_by=  0.030ms per_group= 0.028ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.049ms frontier=  0.029ms semisort=  0.059ms (keyed= 0.000ms group_by=  0.019ms per_group= 0.016ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.039ms frontier=  0.016ms semisort=  0.035ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.008ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.025ms frontier=  0.012ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.003ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.013ms frontier=  0.005ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.010ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  0.890ms frontier=  2.087ms semisort= 64.321ms (keyed= 0.000ms group_by= 19.343ms per_group=12.663ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate= 45.006ms frontier= 11.478ms semisort= 31.178ms (keyed= 0.000ms group_by=  7.573ms per_group= 5.709ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 26.458ms frontier=  6.797ms semisort= 16.743ms (keyed= 0.000ms group_by=  4.481ms per_group= 3.463ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 17.450ms frontier=  3.554ms semisort= 11.342ms (keyed= 0.000ms group_by=  2.631ms per_group= 2.193ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate=  6.937ms frontier=  1.833ms semisort=  6.068ms (keyed= 0.000ms group_by=  1.364ms per_group= 1.534ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate=  5.822ms frontier=  1.487ms semisort=  4.226ms (keyed= 0.000ms group_by=  1.244ms per_group= 0.965ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.469ms frontier=  0.937ms semisort=  2.710ms (keyed= 0.000ms group_by=  0.877ms per_group= 0.539ms)
