[synthetic_bench] cube n=55 d=2 classes=665608 merges=55 ...
[pe] round=  0 work=      110 frontier=   998250 next=   332750 consolidate= 13.962ms frontier=  3.095ms semisort= 45.623ms (keyed= 0.000ms group_by= 23.018ms per_group=10.340ms)
[pe] round=  1 work=   332750 frontier=   332750 next=   131072 consolidate=  6.563ms frontier=  4.523ms semisort= 13.906ms (keyed= 0.000ms group_by=  9.924ms per_group= 1.127ms)
[pe] round=  2 work=   131072 frontier=   131072 next=    70606 consolidate=  2.992ms frontier=  1.445ms semisort=  2.804ms (keyed= 0.000ms group_by=  0.956ms per_group= 0.464ms)
[pe] round=  3 work=    70606 frontier=    70606 next=    65536 consolidate=  1.667ms frontier=  1.041ms semisort=  4.892ms (keyed= 0.000ms group_by=  3.725ms per_group= 0.368ms)
[pe] round=  4 work=    65536 frontier=    65536 next=    32768 consolidate=  1.571ms frontier=  0.590ms semisort=  4.317ms (keyed= 0.000ms group_by=  3.465ms per_group= 0.273ms)
[pe] round=  5 work=    32768 frontier=    32768 next=    16384 consolidate=  1.342ms frontier=  0.372ms semisort=  2.262ms (keyed= 0.000ms group_by=  1.710ms per_group= 0.191ms)
[pe] round=  6 work=    16384 frontier=    16384 next=     8192 consolidate=  1.202ms frontier=  0.562ms semisort=  1.524ms (keyed= 0.000ms group_by=  0.934ms per_group= 0.325ms)
[pe] round=  7 work=     8192 frontier=     8192 next=     4096 consolidate=  0.669ms frontier=  0.297ms semisort=  0.854ms (keyed= 0.000ms group_by=  0.440ms per_group= 0.114ms)
[pe] round=  8 work=     4096 frontier=     4096 next=     2048 consolidate=  0.407ms frontier=  0.170ms semisort=  0.627ms (keyed= 0.000ms group_by=  0.365ms per_group= 0.071ms)
[pe] round=  9 work=     2048 frontier=     2048 next=     1024 consolidate=  0.225ms frontier=  0.118ms semisort=  0.341ms (keyed= 0.000ms group_by=  0.139ms per_group= 0.071ms)
[pe] round= 10 work=     1024 frontier=     1024 next=      512 consolidate=  0.144ms frontier=  0.080ms semisort=  0.215ms (keyed= 0.000ms group_by=  0.079ms per_group= 0.048ms)
[pe] round= 11 work=      512 frontier=      512 next=      256 consolidate=  0.090ms frontier=  0.067ms semisort=  0.169ms (keyed= 0.000ms group_by=  0.045ms per_group= 0.043ms)
[pe] round= 12 work=      256 frontier=      256 next=      128 consolidate=  0.091ms frontier=  0.045ms semisort=  0.105ms (keyed= 0.000ms group_by=  0.029ms per_group= 0.025ms)
[pe] round= 13 work=      128 frontier=      128 next=       64 consolidate=  0.056ms frontier=  0.030ms semisort=  0.063ms (keyed= 0.000ms group_by=  0.013ms per_group= 0.019ms)
[pe] round= 14 work=       64 frontier=       64 next=       32 consolidate=  0.035ms frontier=  0.019ms semisort=  0.053ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.018ms)
[pe] round= 15 work=       32 frontier=       32 next=       16 consolidate=  0.030ms frontier=  0.007ms semisort=  0.024ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.004ms)
[pe] round= 16 work=       16 frontier=       16 next=        8 consolidate=  0.016ms frontier=  0.004ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 17 work=        8 frontier=        8 next=        4 consolidate=  0.006ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 18 work=        4 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 19 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      110 frontier=   998250 next=   332750 consolidate=  0.257ms frontier=  0.348ms semisort= 15.523ms (keyed= 0.000ms group_by=  9.238ms per_group= 1.139ms)
[pe] round=  1 work=   332750 frontier=   332750 next=   131072 consolidate=  5.914ms frontier=  2.905ms semisort=  4.794ms (keyed= 0.000ms group_by=  1.353ms per_group= 0.752ms)
[pe] round=  2 work=   131072 frontier=   131072 next=    70606 consolidate=  3.575ms frontier=  0.844ms semisort=  2.320ms (keyed= 0.000ms group_by=  0.767ms per_group= 0.448ms)
[pe] round=  3 work=    70606 frontier=    70606 next=    65536 consolidate=  1.626ms frontier=  0.546ms semisort=  4.767ms (keyed= 0.000ms group_by=  3.714ms per_group= 0.342ms)
[pe] round=  4 work=    65536 frontier=    65536 next=    32768 consolidate=  1.610ms frontier=  0.531ms semisort=  4.096ms (keyed= 0.000ms group_by=  3.330ms per_group= 0.252ms)
[pe] round=  5 work=    32768 frontier=    32768 next=    16384 consolidate=  1.261ms frontier=  0.358ms semisort=  2.131ms (keyed= 0.000ms group_by=  1.604ms per_group= 0.174ms)
[pe] round=  6 work=    16384 frontier=    16384 next=     8192 consolidate=  1.342ms frontier=  0.267ms semisort=  1.453ms (keyed= 0.000ms group_by=  0.948ms per_group= 0.243ms)
[pe] round=  7 work=     8192 frontier=     8192 next=     4096 consolidate=  0.896ms frontier=  0.308ms semisort=  0.911ms (keyed= 0.000ms group_by=  0.511ms per_group= 0.092ms)
[pe] round=  8 work=     4096 frontier=     4096 next=     2048 consolidate=  0.383ms frontier=  0.175ms semisort=  0.626ms (keyed= 0.000ms group_by=  0.368ms per_group= 0.070ms)
[pe] round=  9 work=     2048 frontier=     2048 next=     1024 consolidate=  0.248ms frontier=  0.122ms semisort=  0.437ms (keyed= 0.000ms group_by=  0.249ms per_group= 0.059ms)
[pe] round= 10 work=     1024 frontier=     1024 next=      512 consolidate=  0.146ms frontier=  0.076ms semisort=  0.223ms (keyed= 0.000ms group_by=  0.072ms per_group= 0.055ms)
[pe] round= 11 work=      512 frontier=      512 next=      256 consolidate=  0.098ms frontier=  0.057ms semisort=  0.172ms (keyed= 0.000ms group_by=  0.055ms per_group= 0.042ms)
