[synthetic_bench] cube n=55 d=2 classes=665608 merges=55 ...
[pe] round=  0 work=      110 frontier=   998250 next=   332750 consolidate=  1.206ms frontier=  1.526ms semisort= 66.915ms (keyed= 0.000ms group_by= 20.273ms per_group=20.458ms)
[pe] round=  1 work=   332750 frontier=   332750 next=   131072 consolidate= 76.690ms frontier= 13.070ms semisort= 40.971ms (keyed= 0.000ms group_by=  9.866ms per_group= 8.580ms)
[pe] round=  2 work=   131072 frontier=   131072 next=    70606 consolidate= 29.525ms frontier=  5.704ms semisort= 20.629ms (keyed= 0.000ms group_by=  4.780ms per_group= 5.120ms)
[pe] round=  3 work=    70606 frontier=    70606 next=    65536 consolidate= 17.570ms frontier=  3.717ms semisort= 14.660ms (keyed= 0.000ms group_by=  4.204ms per_group= 4.327ms)
[pe] round=  4 work=    65536 frontier=    65536 next=    32768 consolidate= 17.634ms frontier=  3.840ms semisort= 10.430ms (keyed= 0.000ms group_by=  3.960ms per_group= 2.091ms)
[pe] round=  5 work=    32768 frontier=    32768 next=    16384 consolidate=  9.148ms frontier=  1.767ms semisort=  5.026ms (keyed= 0.000ms group_by=  2.100ms per_group= 1.120ms)
[pe] round=  6 work=    16384 frontier=    16384 next=     8192 consolidate=  4.994ms frontier=  1.054ms semisort=  3.068ms (keyed= 0.000ms group_by=  1.077ms per_group= 0.608ms)
[pe] round=  7 work=     8192 frontier=     8192 next=     4096 consolidate=  2.426ms frontier=  0.505ms semisort=  1.599ms (keyed= 0.000ms group_by=  0.608ms per_group= 0.325ms)
[pe] round=  8 work=     4096 frontier=     4096 next=     2048 consolidate=  1.195ms frontier=  0.329ms semisort=  0.827ms (keyed= 0.000ms group_by=  0.262ms per_group= 0.172ms)
[pe] round=  9 work=     2048 frontier=     2048 next=     1024 consolidate=  0.613ms frontier=  0.194ms semisort=  0.486ms (keyed= 0.000ms group_by=  0.159ms per_group= 0.095ms)
[pe] round= 10 work=     1024 frontier=     1024 next=      512 consolidate=  0.330ms frontier=  0.102ms semisort=  0.262ms (keyed= 0.000ms group_by=  0.078ms per_group= 0.056ms)
[pe] round= 11 work=      512 frontier=      512 next=      256 consolidate=  0.196ms frontier=  0.061ms semisort=  0.148ms (keyed= 0.000ms group_by=  0.048ms per_group= 0.041ms)
[pe] round= 12 work=      256 frontier=      256 next=      128 consolidate=  0.091ms frontier=  0.034ms semisort=  0.100ms (keyed= 0.000ms group_by=  0.024ms per_group= 0.030ms)
[pe] round= 13 work=      128 frontier=      128 next=       64 consolidate=  0.071ms frontier=  0.011ms semisort=  0.038ms (keyed= 0.000ms group_by=  0.013ms per_group= 0.009ms)
