[synthetic_bench] cube n=105 d=3 classes=3654956 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate= 13.142ms frontier=  7.438ms semisort=132.590ms (keyed= 0.000ms group_by= 73.448ms per_group=18.736ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=   808056 consolidate= 42.265ms frontier= 16.253ms semisort= 75.533ms (keyed= 0.000ms group_by= 31.626ms per_group=15.509ms)
[pe] round=  2 work=   808056 frontier=   808056 next=   354294 consolidate= 24.506ms frontier=  7.992ms semisort= 27.901ms (keyed= 0.000ms group_by= 13.297ms per_group= 8.319ms)
[pe] round=  3 work=   354294 frontier=   354294 next=   118098 consolidate=  7.278ms frontier=  2.021ms semisort=  4.430ms (keyed= 0.000ms group_by=  1.181ms per_group= 0.611ms)
[pe] round=  4 work=   118098 frontier=   118098 next=    39366 consolidate=  2.353ms frontier=  0.791ms semisort=  9.473ms (keyed= 0.000ms group_by=  7.846ms per_group= 0.749ms)
[pe] round=  5 work=    39366 frontier=    39366 next=    13122 consolidate=  1.061ms frontier=  0.398ms semisort=  2.527ms (keyed= 0.000ms group_by=  1.946ms per_group= 0.176ms)
[pe] round=  6 work=    13122 frontier=    13122 next=     4374 consolidate=  1.939ms frontier=  0.391ms semisort=  1.031ms (keyed= 0.000ms group_by=  0.595ms per_group= 0.178ms)
[pe] round=  7 work=     4374 frontier=     4374 next=     1458 consolidate=  0.619ms frontier=  0.207ms semisort=  0.551ms (keyed= 0.000ms group_by=  0.273ms per_group= 0.081ms)
[pe] round=  8 work=     1458 frontier=     1458 next=      486 consolidate=  0.195ms frontier=  0.106ms semisort=  0.250ms (keyed= 0.000ms group_by=  0.090ms per_group= 0.056ms)
[pe] round=  9 work=      486 frontier=      486 next=      162 consolidate=  0.095ms frontier=  0.080ms semisort=  0.145ms (keyed= 0.000ms group_by=  0.043ms per_group= 0.035ms)
[pe] round= 10 work=      162 frontier=      162 next=       54 consolidate=  0.065ms frontier=  0.037ms semisort=  0.065ms (keyed= 0.000ms group_by=  0.017ms per_group= 0.017ms)
[pe] round= 11 work=       54 frontier=       54 next=       18 consolidate=  0.033ms frontier=  0.015ms semisort=  0.043ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.010ms)
[pe] round= 12 work=       18 frontier=       18 next=        6 consolidate=  0.016ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 13 work=        6 frontier=        6 next=        2 consolidate=  0.005ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 14 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  1.113ms frontier=  2.069ms semisort= 58.897ms (keyed= 0.000ms group_by= 19.443ms per_group=10.166ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=   808056 consolidate= 27.614ms frontier=  9.346ms semisort= 22.981ms (keyed= 0.000ms group_by=  6.267ms per_group= 3.102ms)
[pe] round=  2 work=   808056 frontier=   808056 next=   354294 consolidate= 14.357ms frontier=  3.799ms semisort=  9.999ms (keyed= 0.000ms group_by=  2.580ms per_group= 1.349ms)
[pe] round=  3 work=   354294 frontier=   354294 next=   118098 consolidate=  6.929ms frontier=  1.990ms semisort=  4.309ms (keyed= 0.000ms group_by=  1.226ms per_group= 0.658ms)
[pe] round=  4 work=   118098 frontier=   118098 next=    39366 consolidate=  2.357ms frontier=  0.803ms semisort=  7.378ms (keyed= 0.000ms group_by=  6.093ms per_group= 0.351ms)
[pe] round=  5 work=    39366 frontier=    39366 next=    13122 consolidate=  0.972ms frontier=  0.416ms semisort=  2.438ms (keyed= 0.000ms group_by=  1.840ms per_group= 0.167ms)
[pe] round=  6 work=    13122 frontier=    13122 next=     4374 consolidate=  1.768ms frontier=  0.248ms semisort=  1.002ms (keyed= 0.000ms group_by=  0.608ms per_group= 0.123ms)
