[synthetic_bench] cube n=105 d=4 classes=3742826 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  5.946ms frontier=  7.252ms semisort=132.382ms (keyed= 0.000ms group_by= 72.176ms per_group=19.175ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=   888446 consolidate= 42.182ms frontier= 16.982ms semisort= 69.390ms (keyed= 0.000ms group_by= 34.661ms per_group=13.967ms)
[pe] round=  2 work=   888446 frontier=   888446 next=   373844 consolidate= 23.875ms frontier=  7.013ms semisort= 27.731ms (keyed= 0.000ms group_by= 13.350ms per_group= 7.195ms)
[pe] round=  3 work=   373844 frontier=   373844 next=   121386 consolidate=  7.407ms frontier=  2.142ms semisort=  5.401ms (keyed= 0.000ms group_by=  1.302ms per_group= 0.855ms)
[pe] round=  4 work=   121386 frontier=   121386 next=    32768 consolidate=  2.457ms frontier=  0.782ms semisort=  8.470ms (keyed= 0.000ms group_by=  6.787ms per_group= 0.380ms)
[pe] round=  5 work=    32768 frontier=    32768 next=     8192 consolidate=  0.949ms frontier=  0.369ms semisort=  2.259ms (keyed= 0.000ms group_by=  1.703ms per_group= 0.139ms)
[pe] round=  6 work=     8192 frontier=     8192 next=     2048 consolidate=  0.848ms frontier=  0.362ms semisort=  0.806ms (keyed= 0.000ms group_by=  0.428ms per_group= 0.081ms)
[pe] round=  7 work=     2048 frontier=     2048 next=      512 consolidate=  0.254ms frontier=  0.123ms semisort=  0.317ms (keyed= 0.000ms group_by=  0.149ms per_group= 0.056ms)
[pe] round=  8 work=      512 frontier=      512 next=      128 consolidate=  0.112ms frontier=  0.072ms semisort=  0.142ms (keyed= 0.000ms group_by=  0.049ms per_group= 0.043ms)
[pe] round=  9 work=      128 frontier=      128 next=       32 consolidate=  0.061ms frontier=  0.030ms semisort=  0.067ms (keyed= 0.000ms group_by=  0.017ms per_group= 0.020ms)
[pe] round= 10 work=       32 frontier=       32 next=        8 consolidate=  0.034ms frontier=  0.007ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.002ms)
[pe] round= 11 work=        8 frontier=        8 next=        2 consolidate=  0.011ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 12 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  1.110ms frontier=  2.182ms semisort= 59.642ms (keyed= 0.000ms group_by= 19.411ms per_group= 9.446ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=   888446 consolidate= 27.306ms frontier=  9.195ms semisort= 25.183ms (keyed= 0.000ms group_by=  6.367ms per_group= 3.523ms)
[pe] round=  2 work=   888446 frontier=   888446 next=   373844 consolidate= 15.756ms frontier=  4.330ms semisort= 14.144ms (keyed= 0.000ms group_by=  5.733ms per_group= 1.661ms)
[pe] round=  3 work=   373844 frontier=   373844 next=   121386 consolidate=  7.272ms frontier=  2.019ms semisort=  4.719ms (keyed= 0.000ms group_by=  1.248ms per_group= 0.640ms)
[pe] round=  4 work=   121386 frontier=   121386 next=    32768 consolidate=  2.326ms frontier=  0.734ms semisort=  8.194ms (keyed= 0.000ms group_by=  6.751ms per_group= 0.309ms)
[pe] round=  5 work=    32768 frontier=    32768 next=     8192 consolidate=  0.816ms frontier=  0.360ms semisort=  2.279ms (keyed= 0.000ms group_by=  1.685ms per_group= 0.179ms)
[pe] round=  6 work=     8192 frontier=     8192 next=     2048 consolidate=  1.238ms frontier=  0.320ms semisort=  0.781ms (keyed= 0.000ms group_by=  0.418ms per_group= 0.073ms)
[pe] round=  7 work=     2048 frontier=     2048 next=      512 consolidate=  0.346ms frontier=  0.133ms semisort=  0.301ms (keyed= 0.000ms group_by=  0.133ms per_group= 0.047ms)
[pe] round=  8 work=      512 frontier=      512 next=      128 consolidate=  0.121ms frontier=  0.070ms semisort=  0.130ms (keyed= 0.000ms group_by=  0.047ms per_group= 0.036ms)
[pe] round=  9 work=      128 frontier=      128 next=       32 consolidate=  0.066ms frontier=  0.030ms semisort=  0.072ms (keyed= 0.000ms group_by=  0.018ms per_group= 0.018ms)
[pe] round= 10 work=       32 frontier=       32 next=        8 consolidate=  0.023ms frontier=  0.006ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.003ms)
[pe] round= 11 work=        8 frontier=        8 next=        2 consolidate=  0.007ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 12 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
