workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_seq,0,1,dnc,16,1.9285
small,1000,4,10000,2000,1,nelson_seq,1,1,dnc,16,1.9275
small,1000,4,10000,2000,1,nelson_seq,2,1,dnc,16,1.9270
small,1000,4,10000,2000,1,nelson_seq,3,1,dnc,16,1.9322
small,1000,4,10000,2000,1,nelson_seq,4,1,dnc,16,1.9814
small,1000,4,10000,2000,1,par_close,0,1,dnc,16,3.9570
small,1000,4,10000,2000,1,par_close,1,1,dnc,16,3.9991
small,1000,4,10000,2000,1,par_close,2,1,dnc,16,3.9521
small,1000,4,10000,2000,1,par_close,3,1,dnc,16,3.8859
small,1000,4,10000,2000,1,par_close,4,1,dnc,16,3.8961
medium,10000,8,200000,20000,1,nelson_seq,0,1,dnc,16,113.1168
medium,10000,8,200000,20000,1,nelson_seq,1,1,dnc,16,111.7999
medium,10000,8,200000,20000,1,nelson_seq,2,1,dnc,16,111.8277
medium,10000,8,200000,20000,1,nelson_seq,3,1,dnc,16,111.3019
medium,10000,8,200000,20000,1,nelson_seq,4,1,dnc,16,111.6272
medium,10000,8,200000,20000,1,par_close,0,1,dnc,16,115.3179
medium,10000,8,200000,20000,1,par_close,1,1,dnc,16,115.2489
medium,10000,8,200000,20000,1,par_close,2,1,dnc,16,116.5675
medium,10000,8,200000,20000,1,par_close,3,1,dnc,16,116.2749
medium,10000,8,200000,20000,1,par_close,4,1,dnc,16,116.6537
large,50000,16,1000000,100000,1,nelson_seq,0,1,dnc,16,890.3503
large,50000,16,1000000,100000,1,nelson_seq,1,1,dnc,16,893.1327
large,50000,16,1000000,100000,1,nelson_seq,2,1,dnc,16,888.5962
large,50000,16,1000000,100000,1,nelson_seq,3,1,dnc,16,903.6742
large,50000,16,1000000,100000,1,nelson_seq,4,1,dnc,16,885.2234
large,50000,16,1000000,100000,1,par_close,0,1,dnc,16,742.2542
large,50000,16,1000000,100000,1,par_close,1,1,dnc,16,745.7285
large,50000,16,1000000,100000,1,par_close,2,1,dnc,16,741.7442
large,50000,16,1000000,100000,1,par_close,3,1,dnc,16,742.6080
large,50000,16,1000000,100000,1,par_close,4,1,dnc,16,745.3921
deep-s,1000,4,10000,2000,3,nelson_seq,0,1,dnc,16,1.8118
deep-s,1000,4,10000,2000,3,nelson_seq,1,1,dnc,16,1.8575
deep-s,1000,4,10000,2000,3,nelson_seq,2,1,dnc,16,1.8098
deep-s,1000,4,10000,2000,3,nelson_seq,3,1,dnc,16,1.8302
deep-s,1000,4,10000,2000,3,nelson_seq,4,1,dnc,16,1.8377
deep-s,1000,4,10000,2000,3,par_close,0,1,dnc,16,3.0853
deep-s,1000,4,10000,2000,3,par_close,1,1,dnc,16,3.1601
deep-s,1000,4,10000,2000,3,par_close,2,1,dnc,16,3.1034
deep-s,1000,4,10000,2000,3,par_close,3,1,dnc,16,3.1211
deep-s,1000,4,10000,2000,3,par_close,4,1,dnc,16,3.1090
deep-m,10000,8,200000,20000,3,nelson_seq,0,1,dnc,16,103.0965
deep-m,10000,8,200000,20000,3,nelson_seq,1,1,dnc,16,102.7638
deep-m,10000,8,200000,20000,3,nelson_seq,2,1,dnc,16,102.6510
deep-m,10000,8,200000,20000,3,nelson_seq,3,1,dnc,16,103.1387
deep-m,10000,8,200000,20000,3,nelson_seq,4,1,dnc,16,103.3799
deep-m,10000,8,200000,20000,3,par_close,0,1,dnc,16,89.0992
deep-m,10000,8,200000,20000,3,par_close,1,1,dnc,16,89.3888
deep-m,10000,8,200000,20000,3,par_close,2,1,dnc,16,89.0161
deep-m,10000,8,200000,20000,3,par_close,3,1,dnc,16,88.6316
deep-m,10000,8,200000,20000,3,par_close,4,1,dnc,16,89.2955
deep-l,50000,16,1000000,100000,3,nelson_seq,0,1,dnc,16,794.6780
deep-l,50000,16,1000000,100000,3,nelson_seq,1,1,dnc,16,798.5343
deep-l,50000,16,1000000,100000,3,nelson_seq,2,1,dnc,16,794.8331
deep-l,50000,16,1000000,100000,3,nelson_seq,3,1,dnc,16,793.9026
deep-l,50000,16,1000000,100000,3,nelson_seq,4,1,dnc,16,788.9497
deep-l,50000,16,1000000,100000,3,par_close,0,1,dnc,16,606.4547
deep-l,50000,16,1000000,100000,3,par_close,1,1,dnc,16,617.8260
deep-l,50000,16,1000000,100000,3,par_close,2,1,dnc,16,622.6945
deep-l,50000,16,1000000,100000,3,par_close,3,1,dnc,16,626.1513
deep-l,50000,16,1000000,100000,3,par_close,4,1,dnc,16,630.5272
small,1000,4,10000,2000,1,nelson_seq,0,2,dnc,16,2.3622
small,1000,4,10000,2000,1,nelson_seq,1,2,dnc,16,2.2953
small,1000,4,10000,2000,1,nelson_seq,2,2,dnc,16,2.3065
small,1000,4,10000,2000,1,nelson_seq,3,2,dnc,16,2.3099
small,1000,4,10000,2000,1,nelson_seq,4,2,dnc,16,2.2955
small,1000,4,10000,2000,1,par_close,0,2,dnc,16,4.3632
small,1000,4,10000,2000,1,par_close,1,2,dnc,16,4.3932
small,1000,4,10000,2000,1,par_close,2,2,dnc,16,4.4363
small,1000,4,10000,2000,1,par_close,3,2,dnc,16,4.4643
small,1000,4,10000,2000,1,par_close,4,2,dnc,16,4.8745
medium,10000,8,200000,20000,1,nelson_seq,0,2,dnc,16,117.1883
medium,10000,8,200000,20000,1,nelson_seq,1,2,dnc,16,115.0487
medium,10000,8,200000,20000,1,nelson_seq,2,2,dnc,16,114.9931
medium,10000,8,200000,20000,1,nelson_seq,3,2,dnc,16,114.9618
medium,10000,8,200000,20000,1,nelson_seq,4,2,dnc,16,115.3102
medium,10000,8,200000,20000,1,par_close,0,2,dnc,16,82.9946
medium,10000,8,200000,20000,1,par_close,1,2,dnc,16,85.6786
medium,10000,8,200000,20000,1,par_close,2,2,dnc,16,86.1031
medium,10000,8,200000,20000,1,par_close,3,2,dnc,16,86.0845
medium,10000,8,200000,20000,1,par_close,4,2,dnc,16,86.9112
large,50000,16,1000000,100000,1,nelson_seq,0,2,dnc,16,912.3653
large,50000,16,1000000,100000,1,nelson_seq,1,2,dnc,16,913.4716
large,50000,16,1000000,100000,1,nelson_seq,2,2,dnc,16,914.4469
large,50000,16,1000000,100000,1,nelson_seq,3,2,dnc,16,910.9468
large,50000,16,1000000,100000,1,nelson_seq,4,2,dnc,16,911.9055
large,50000,16,1000000,100000,1,par_close,0,2,dnc,16,454.6923
large,50000,16,1000000,100000,1,par_close,1,2,dnc,16,462.5659
large,50000,16,1000000,100000,1,par_close,2,2,dnc,16,466.8204
large,50000,16,1000000,100000,1,par_close,3,2,dnc,16,468.6643
large,50000,16,1000000,100000,1,par_close,4,2,dnc,16,468.9032
deep-s,1000,4,10000,2000,3,nelson_seq,0,2,dnc,16,2.3749
deep-s,1000,4,10000,2000,3,nelson_seq,1,2,dnc,16,2.3899
deep-s,1000,4,10000,2000,3,nelson_seq,2,2,dnc,16,2.4229
deep-s,1000,4,10000,2000,3,nelson_seq,3,2,dnc,16,2.4434
deep-s,1000,4,10000,2000,3,nelson_seq,4,2,dnc,16,2.3662
deep-s,1000,4,10000,2000,3,par_close,0,2,dnc,16,3.8383
deep-s,1000,4,10000,2000,3,par_close,1,2,dnc,16,3.7955
deep-s,1000,4,10000,2000,3,par_close,2,2,dnc,16,3.8858
deep-s,1000,4,10000,2000,3,par_close,3,2,dnc,16,3.8968
deep-s,1000,4,10000,2000,3,par_close,4,2,dnc,16,3.8052
deep-m,10000,8,200000,20000,3,nelson_seq,0,2,dnc,16,112.1430
deep-m,10000,8,200000,20000,3,nelson_seq,1,2,dnc,16,111.2846
