workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
small,1,0,1720,17118,7959,0.349,0.066,2.827,0.000,1.210,0.441
small,1,1,7959,0,0,0.954,0.146,0.000,,,
small,1,0,1720,17118,7959,0.167,0.033,2.284,0.000,0.880,0.370
small,1,1,7959,0,0,0.928,0.146,0.000,,,
small,1,0,1720,17118,7959,0.168,0.033,2.343,0.000,0.899,0.364
small,1,1,7959,0,0,0.934,0.154,0.000,,,
small,1,0,1720,17118,7959,0.164,0.033,2.320,0.000,0.880,0.362
small,1,1,7959,0,0,0.928,0.145,0.000,,,
small,1,0,1720,17118,7959,0.163,0.033,2.282,0.000,0.876,0.365
small,1,1,7959,0,0,0.902,0.148,0.000,,,
small,1,0,1720,17118,7959,0.162,0.036,2.283,0.000,0.844,0.363
small,1,1,7959,0,0,0.903,0.149,0.000,,,
medium,1,0,17367,347448,160295,2.571,0.690,85.575,0.000,21.179,8.870
medium,1,1,160295,0,0,20.934,3.708,0.000,,,
medium,1,0,17367,347448,160295,2.099,0.705,80.657,0.000,20.959,8.215
medium,1,1,160295,0,0,20.920,3.716,0.000,,,
medium,1,0,17367,347448,160295,2.086,0.676,80.808,0.000,21.208,8.158
medium,1,1,160295,0,0,20.881,3.722,0.000,,,
medium,1,0,17367,347448,160295,2.066,0.705,81.805,0.000,21.079,8.229
medium,1,1,160295,0,0,21.100,3.705,0.000,,,
medium,1,0,17367,347448,160295,2.501,0.682,81.126,0.000,21.018,8.148
medium,1,1,160295,0,0,20.803,3.740,0.000,,,
medium,1,0,17367,347448,160295,2.213,0.695,81.687,0.000,21.356,8.335
medium,1,1,160295,0,0,21.117,3.677,0.000,,,
large,1,0,86518,1730227,737662,21.813,3.298,569.851,0.000,111.029,40.989
large,1,1,737662,0,0,92.774,19.866,0.000,,,
large,1,0,86518,1730227,737662,21.954,3.370,571.577,0.000,108.259,41.892
large,1,1,737662,0,0,93.160,19.856,0.000,,,
large,1,0,86518,1730227,737662,22.161,3.259,570.997,0.000,110.968,40.921
large,1,1,737662,0,0,96.042,19.943,0.000,,,
large,1,0,86518,1730227,737662,22.342,3.473,564.561,0.000,110.595,41.467
large,1,1,737662,0,0,98.313,20.023,0.000,,,
large,1,0,86518,1730227,737662,22.428,3.202,564.721,0.000,110.109,41.512
large,1,1,737662,0,0,98.644,20.228,0.000,,,
large,1,0,86518,1730227,737662,22.336,3.274,566.800,0.000,110.227,41.468
large,1,1,737662,0,0,99.563,20.156,0.000,,,
deep-s,1,0,1720,5755,2393,0.186,0.034,0.742,0.000,0.318,0.122
deep-s,1,1,2393,4828,1048,0.311,0.049,0.876,0.000,0.437,0.169
deep-s,1,2,1048,2096,0,0.371,0.065,0.312,0.000,0.150,0.035
deep-s,1,0,1720,5755,2393,0.171,0.030,0.704,0.000,0.290,0.116
deep-s,1,1,2393,4828,1048,0.303,0.047,0.818,0.000,0.388,0.161
deep-s,1,2,1048,2096,0,0.353,0.054,0.286,0.000,0.142,0.035
deep-s,1,0,1720,5755,2393,0.191,0.038,0.730,0.000,0.290,0.119
deep-s,1,1,2393,4828,1048,0.302,0.047,0.838,0.000,0.406,0.163
deep-s,1,2,1048,2096,0,0.352,0.052,0.296,0.000,0.145,0.038
deep-s,1,0,1720,5755,2393,0.173,0.031,0.711,0.000,0.297,0.116
deep-s,1,1,2393,4828,1048,0.306,0.050,0.823,0.000,0.391,0.164
deep-s,1,2,1048,2096,0,0.361,0.052,0.288,0.000,0.143,0.035
deep-s,1,0,1720,5755,2393,0.171,0.030,0.703,0.000,0.287,0.115
deep-s,1,1,2393,4828,1048,0.301,0.047,0.869,0.000,0.432,0.168
deep-s,1,2,1048,2096,0,0.356,0.052,0.286,0.000,0.142,0.035
deep-s,1,0,1720,5755,2393,0.169,0.030,0.696,0.000,0.286,0.114
deep-s,1,1,2393,4828,1048,0.300,0.046,0.859,0.000,0.382,0.189
deep-s,1,2,1048,2096,0,0.354,0.052,0.290,0.000,0.144,0.035
deep-m,1,0,17367,115794,47572,2.360,0.499,22.060,0.000,7.624,2.208
deep-m,1,1,47572,95336,26271,8.304,1.244,25.716,0.000,10.402,3.867
deep-m,1,2,26271,52514,0,10.028,1.146,13.658,0.000,5.060,0.810
deep-m,1,0,17367,115794,47572,2.276,0.492,21.769,0.000,7.251,2.260
deep-m,1,1,47572,95336,26271,8.129,1.058,25.696,0.000,10.328,3.790
deep-m,1,2,26271,52514,0,10.101,1.139,13.736,0.000,5.019,0.868
deep-m,1,0,17367,115794,47572,2.271,0.494,21.801,0.000,7.276,2.266
deep-m,1,1,47572,95336,26271,8.273,1.056,25.700,0.000,10.181,3.845
deep-m,1,2,26271,52514,0,10.109,1.160,13.807,0.000,5.062,0.868
deep-m,1,0,17367,115794,47572,2.311,0.508,21.714,0.000,7.237,2.240
deep-m,1,1,47572,95336,26271,8.056,1.050,25.644,0.000,10.172,3.800
deep-m,1,2,26271,52514,0,10.090,1.147,13.695,0.000,4.957,0.818
deep-m,1,0,17367,115794,47572,2.325,0.492,21.815,0.000,7.373,2.222
deep-m,1,1,47572,95336,26271,7.541,1.051,25.714,0.000,10.279,3.801
deep-m,1,2,26271,52514,0,9.950,1.198,13.861,0.000,5.085,0.881
deep-m,1,0,17367,115794,47572,2.284,0.496,21.786,0.000,7.165,2.269
deep-m,1,1,47572,95336,26271,8.096,1.057,25.896,0.000,10.166,3.847
deep-m,1,2,26271,52514,0,10.149,1.175,13.705,0.000,5.078,0.813
deep-l,1,0,86518,576676,225233,17.664,1.639,167.638,0.000,39.658,13.469
deep-l,1,1,225233,450223,116944,41.776,5.474,190.676,0.000,53.815,30.125
deep-l,1,2,116944,233969,0,57.132,9.718,94.007,0.000,33.443,6.272
deep-l,1,0,86518,576676,225233,17.553,1.640,166.822,0.000,39.680,13.509
deep-l,1,1,225233,450223,116944,41.658,5.305,189.088,0.000,53.727,29.975
deep-l,1,2,116944,233969,0,57.407,9.659,94.211,0.000,33.512,6.283
deep-l,1,0,86518,576676,225233,17.882,1.638,172.399,0.000,42.216,14.033
deep-l,1,1,225233,450223,116944,42.185,5.462,190.646,0.000,53.995,30.121
deep-l,1,2,116944,233969,0,57.887,9.775,95.430,0.000,34.084,6.300
deep-l,1,0,86518,576676,225233,17.813,1.681,174.330,0.000,43.961,14.042
deep-l,1,1,225233,450223,116944,42.268,5.566,191.281,0.000,54.952,29.978
deep-l,1,2,116944,233969,0,58.084,9.867,95.684,0.000,34.227,6.302
deep-l,1,0,86518,576676,225233,17.704,1.698,175.233,0.000,44.204,13.998
deep-l,1,1,225233,450223,116944,42.755,5.428,192.580,0.000,55.407,30.067
deep-l,1,2,116944,233969,0,57.811,9.933,96.451,0.000,34.503,6.373
deep-l,1,0,86518,576676,225233,17.810,1.634,176.871,0.000,44.961,14.230
deep-l,1,1,225233,450223,116944,43.021,5.530,193.145,0.000,55.604,30.157
deep-l,1,2,116944,233969,0,58.312,9.965,97.013,0.000,34.796,6.376
small,2,0,1720,17118,7959,0.376,0.061,2.917,0.000,1.092,0.575
small,2,1,7959,0,0,0.907,0.215,0.000,,,
small,2,0,1720,17118,7959,0.217,0.043,2.509,0.000,0.851,0.535
small,2,1,7959,0,0,0.935,0.200,0.000,,,
small,2,0,1720,17118,7959,0.218,0.044,2.524,0.000,0.913,0.524
small,2,1,7959,0,0,0.981,0.202,0.000,,,
small,2,0,1720,17118,7959,0.211,0.044,2.546,0.000,0.891,0.537
small,2,1,7959,0,0,0.969,0.196,0.000,,,
small,2,0,1720,17118,7959,0.216,0.045,2.595,0.000,0.908,0.538
small,2,1,7959,0,0,0.997,0.180,0.000,,,
small,2,0,1720,17118,7959,0.237,0.044,2.892,0.000,1.125,0.598
small,2,1,7959,0,0,1.039,0.187,0.000,,,
medium,2,0,17367,347448,160295,2.759,0.781,57.346,0.000,11.786,11.866
medium,2,1,160295,0,0,16.417,3.065,0.000,,,
medium,2,0,17367,347448,160295,2.626,0.780,54.989,0.000,10.690,11.534
medium,2,1,160295,0,0,16.589,3.134,0.000,,,
medium,2,0,17367,347448,160295,2.763,0.636,55.900,0.000,10.996,11.653
medium,2,1,160295,0,0,17.210,3.568,0.000,,,
medium,2,0,17367,347448,160295,2.636,0.633,56.506,0.000,11.287,11.753
medium,2,1,160295,0,0,17.202,3.203,0.000,,,
medium,2,0,17367,347448,160295,2.514,0.619,56.396,0.000,11.523,11.538
