family,n,d,classes,merges,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
chain,5600,2,11202,1,nelson_seq,0,1,dnc,16,1.0846
chain,5600,2,11202,1,nelson_seq,1,1,dnc,16,1.0932
chain,5600,2,11202,1,nelson_seq,2,1,dnc,16,1.0887
chain,5600,2,11202,1,nelson_seq,3,1,dnc,16,1.0850
chain,5600,2,11202,1,nelson_seq,4,1,dnc,16,1.0779
chain,5600,2,11202,1,par_close,0,1,dnc,16,47.6608
chain,5600,2,11202,1,par_close,1,1,dnc,16,47.7523
chain,5600,2,11202,1,par_close,2,1,dnc,16,47.4213
chain,5600,2,11202,1,par_close,3,1,dnc,16,47.7125
chain,5600,2,11202,1,par_close,4,1,dnc,16,47.5114
chain,5600,2,11202,1,par_close,0,2,dnc,16,47.8596
chain,5600,2,11202,1,par_close,1,2,dnc,16,47.8071
chain,5600,2,11202,1,par_close,2,2,dnc,16,47.9912
chain,5600,2,11202,1,par_close,3,2,dnc,16,47.8422
chain,5600,2,11202,1,par_close,4,2,dnc,16,48.2181
chain,5600,2,11202,1,par_close,0,4,dnc,16,48.1118
chain,5600,2,11202,1,par_close,1,4,dnc,16,47.8596
chain,5600,2,11202,1,par_close,2,4,dnc,16,48.4650
chain,5600,2,11202,1,par_close,3,4,dnc,16,47.6842
chain,5600,2,11202,1,par_close,4,4,dnc,16,47.6688
chain,5600,2,11202,1,par_close,0,8,dnc,16,49.4888
chain,5600,2,11202,1,par_close,1,8,dnc,16,49.5300
chain,5600,2,11202,1,par_close,2,8,dnc,16,49.3548
chain,5600,2,11202,1,par_close,3,8,dnc,16,49.4369
chain,5600,2,11202,1,par_close,4,8,dnc,16,49.5473
chain,5600,2,11202,1,par_close,0,16,dnc,16,49.0327
chain,5600,2,11202,1,par_close,1,16,dnc,16,49.6316
chain,5600,2,11202,1,par_close,2,16,dnc,16,49.3784
chain,5600,2,11202,1,par_close,3,16,dnc,16,49.4708
chain,5600,2,11202,1,par_close,4,16,dnc,16,54.1912
chain,5600,2,11202,1,par_close,0,32,dnc,16,48.8540
chain,5600,2,11202,1,par_close,1,32,dnc,16,49.3330
chain,5600,2,11202,1,par_close,2,32,dnc,16,49.4888
chain,5600,2,11202,1,par_close,3,32,dnc,16,49.4387
chain,5600,2,11202,1,par_close,4,32,dnc,16,49.7195
chain,5600,2,11202,1,par_close,0,64,dnc,16,56.5828
chain,5600,2,11202,1,par_close,1,64,dnc,16,57.0680
chain,5600,2,11202,1,par_close,2,64,dnc,16,57.1932
chain,5600,2,11202,1,par_close,3,64,dnc,16,57.3797
chain,5600,2,11202,1,par_close,4,64,dnc,16,57.3083
chain,5600,2,11202,1,par_close,0,128,dnc,16,53.7389
chain,5600,2,11202,1,par_close,1,128,dnc,16,55.7972
chain,5600,2,11202,1,par_close,2,128,dnc,16,59.9912
chain,5600,2,11202,1,par_close,3,128,dnc,16,56.3533
chain,5600,2,11202,1,par_close,4,128,dnc,16,58.5064
chain,6100,2,12202,1,nelson_seq,0,1,dnc,16,1.2015
chain,6100,2,12202,1,nelson_seq,1,1,dnc,16,1.1732
chain,6100,2,12202,1,nelson_seq,2,1,dnc,16,1.1898
chain,6100,2,12202,1,nelson_seq,3,1,dnc,16,1.1836
chain,6100,2,12202,1,nelson_seq,4,1,dnc,16,1.1376
chain,6100,2,12202,1,par_close,0,1,dnc,16,51.9579
chain,6100,2,12202,1,par_close,1,1,dnc,16,51.9228
chain,6100,2,12202,1,par_close,2,1,dnc,16,52.4481
chain,6100,2,12202,1,par_close,3,1,dnc,16,51.6739
chain,6100,2,12202,1,par_close,4,1,dnc,16,51.7317
chain,6100,2,12202,1,par_close,0,2,dnc,16,51.7035
chain,6100,2,12202,1,par_close,1,2,dnc,16,51.6843
chain,6100,2,12202,1,par_close,2,2,dnc,16,54.5049
chain,6100,2,12202,1,par_close,3,2,dnc,16,51.8400
chain,6100,2,12202,1,par_close,4,2,dnc,16,52.3963
chain,6100,2,12202,1,par_close,0,4,dnc,16,52.1020
chain,6100,2,12202,1,par_close,1,4,dnc,16,51.8039
chain,6100,2,12202,1,par_close,2,4,dnc,16,52.1268
chain,6100,2,12202,1,par_close,3,4,dnc,16,51.9496
chain,6100,2,12202,1,par_close,4,4,dnc,16,52.1685
chain,6100,2,12202,1,par_close,0,8,dnc,16,52.2704
chain,6100,2,12202,1,par_close,1,8,dnc,16,52.3374
chain,6100,2,12202,1,par_close,2,8,dnc,16,52.4166
chain,6100,2,12202,1,par_close,3,8,dnc,16,51.9126
chain,6100,2,12202,1,par_close,4,8,dnc,16,52.0622
chain,6100,2,12202,1,par_close,0,16,dnc,16,52.5988
chain,6100,2,12202,1,par_close,1,16,dnc,16,52.4541
chain,6100,2,12202,1,par_close,2,16,dnc,16,52.3375
chain,6100,2,12202,1,par_close,3,16,dnc,16,52.3078
chain,6100,2,12202,1,par_close,4,16,dnc,16,52.2742
chain,6100,2,12202,1,par_close,0,32,dnc,16,52.3987
chain,6100,2,12202,1,par_close,1,32,dnc,16,53.1606
chain,6100,2,12202,1,par_close,2,32,dnc,16,57.5143
chain,6100,2,12202,1,par_close,3,32,dnc,16,61.9659
chain,6100,2,12202,1,par_close,4,32,dnc,16,62.0714
chain,6100,2,12202,1,par_close,0,64,dnc,16,63.7405
chain,6100,2,12202,1,par_close,1,64,dnc,16,64.4485
chain,6100,2,12202,1,par_close,2,64,dnc,16,64.6918
chain,6100,2,12202,1,par_close,3,64,dnc,16,64.6227
chain,6100,2,12202,1,par_close,4,64,dnc,16,64.6804
chain,6100,2,12202,1,par_close,0,128,dnc,16,58.1489
chain,6100,2,12202,1,par_close,1,128,dnc,16,58.6589
chain,6100,2,12202,1,par_close,2,128,dnc,16,58.3962
chain,6100,2,12202,1,par_close,3,128,dnc,16,58.9410
chain,6100,2,12202,1,par_close,4,128,dnc,16,58.7082
chain,6600,2,13202,1,nelson_seq,0,1,dnc,16,1.3197
chain,6600,2,13202,1,nelson_seq,1,1,dnc,16,1.2919
chain,6600,2,13202,1,nelson_seq,2,1,dnc,16,1.2867
chain,6600,2,13202,1,nelson_seq,3,1,dnc,16,1.2943
chain,6600,2,13202,1,nelson_seq,4,1,dnc,16,1.3123
chain,6600,2,13202,1,par_close,0,1,dnc,16,56.7572
chain,6600,2,13202,1,par_close,1,1,dnc,16,56.6380
chain,6600,2,13202,1,par_close,2,1,dnc,16,58.4652
chain,6600,2,13202,1,par_close,3,1,dnc,16,56.8726
chain,6600,2,13202,1,par_close,4,1,dnc,16,56.7304
chain,6600,2,13202,1,par_close,0,2,dnc,16,57.0024
chain,6600,2,13202,1,par_close,1,2,dnc,16,56.8993
chain,6600,2,13202,1,par_close,2,2,dnc,16,57.1783
chain,6600,2,13202,1,par_close,3,2,dnc,16,60.6599
chain,6600,2,13202,1,par_close,4,2,dnc,16,60.2844
chain,6600,2,13202,1,par_close,0,4,dnc,16,57.6617
chain,6600,2,13202,1,par_close,1,4,dnc,16,57.3845
chain,6600,2,13202,1,par_close,2,4,dnc,16,59.1091
chain,6600,2,13202,1,par_close,3,4,dnc,16,58.6016
chain,6600,2,13202,1,par_close,4,4,dnc,16,58.0048
chain,6600,2,13202,1,par_close,0,8,dnc,16,58.2210
chain,6600,2,13202,1,par_close,1,8,dnc,16,57.5740
chain,6600,2,13202,1,par_close,2,8,dnc,16,58.2424
chain,6600,2,13202,1,par_close,3,8,dnc,16,57.4878
chain,6600,2,13202,1,par_close,4,8,dnc,16,57.3780
chain,6600,2,13202,1,par_close,0,16,dnc,16,56.7207
chain,6600,2,13202,1,par_close,1,16,dnc,16,56.6667
chain,6600,2,13202,1,par_close,2,16,dnc,16,57.0511
chain,6600,2,13202,1,par_close,3,16,dnc,16,57.1232
chain,6600,2,13202,1,par_close,4,16,dnc,16,57.5346
chain,6600,2,13202,1,par_close,0,32,dnc,16,57.0897
chain,6600,2,13202,1,par_close,1,32,dnc,16,56.8606
chain,6600,2,13202,1,par_close,2,32,dnc,16,56.9775
chain,6600,2,13202,1,par_close,3,32,dnc,16,57.0021
chain,6600,2,13202,1,par_close,4,32,dnc,16,57.1244
chain,6600,2,13202,1,par_close,0,64,dnc,16,64.0570
chain,6600,2,13202,1,par_close,1,64,dnc,16,64.3102
chain,6600,2,13202,1,par_close,2,64,dnc,16,68.6940
chain,6600,2,13202,1,par_close,3,64,dnc,16,68.8921
chain,6600,2,13202,1,par_close,4,64,dnc,16,68.7878
chain,6600,2,13202,1,par_close,0,128,dnc,16,57.0445
chain,6600,2,13202,1,par_close,1,128,dnc,16,56.7097
chain,6600,2,13202,1,par_close,2,128,dnc,16,56.7570
chain,6600,2,13202,1,par_close,3,128,dnc,16,56.5600
chain,6600,2,13202,1,par_close,4,128,dnc,16,56.6040
chain,7100,2,14202,1,nelson_seq,0,1,dnc,16,1.4578
chain,7100,2,14202,1,nelson_seq,1,1,dnc,16,1.3999
chain,7100,2,14202,1,nelson_seq,2,1,dnc,16,1.3979
chain,7100,2,14202,1,nelson_seq,3,1,dnc,16,1.3910
chain,7100,2,14202,1,nelson_seq,4,1,dnc,16,1.3669
chain,7100,2,14202,1,par_close,0,1,dnc,16,60.3142
chain,7100,2,14202,1,par_close,1,1,dnc,16,60.0788
chain,7100,2,14202,1,par_close,2,1,dnc,16,60.1652
chain,7100,2,14202,1,par_close,3,1,dnc,16,60.3297
chain,7100,2,14202,1,par_close,4,1,dnc,16,61.9089
chain,7100,2,14202,1,par_close,0,2,dnc,16,60.6885
chain,7100,2,14202,1,par_close,1,2,dnc,16,60.9583
chain,7100,2,14202,1,par_close,2,2,dnc,16,61.6048
chain,7100,2,14202,1,par_close,3,2,dnc,16,60.5911
chain,7100,2,14202,1,par_close,4,2,dnc,16,61.8550
chain,7100,2,14202,1,par_close,0,4,dnc,16,60.4721
chain,7100,2,14202,1,par_close,1,4,dnc,16,60.2209
chain,7100,2,14202,1,par_close,2,4,dnc,16,60.3799
chain,7100,2,14202,1,par_close,3,4,dnc,16,60.2087
chain,7100,2,14202,1,par_close,4,4,dnc,16,60.4278
chain,7100,2,14202,1,par_close,0,8,dnc,16,60.9061
chain,7100,2,14202,1,par_close,1,8,dnc,16,61.1720
chain,7100,2,14202,1,par_close,2,8,dnc,16,61.0298
chain,7100,2,14202,1,par_close,3,8,dnc,16,61.0994
chain,7100,2,14202,1,par_close,4,8,dnc,16,60.7098
chain,7100,2,14202,1,par_close,0,16,dnc,16,60.9893
chain,7100,2,14202,1,par_close,1,16,dnc,16,61.6513
chain,7100,2,14202,1,par_close,2,16,dnc,16,61.0246
chain,7100,2,14202,1,par_close,3,16,dnc,16,60.8954
chain,7100,2,14202,1,par_close,4,16,dnc,16,61.0827
chain,7100,2,14202,1,par_close,0,32,dnc,16,61.2346
chain,7100,2,14202,1,par_close,1,32,dnc,16,61.1300
chain,7100,2,14202,1,par_close,2,32,dnc,16,61.1050
chain,7100,2,14202,1,par_close,3,32,dnc,16,61.0299
chain,7100,2,14202,1,par_close,4,32,dnc,16,61.0792
chain,7100,2,14202,1,par_close,0,64,dnc,16,71.0887
chain,7100,2,14202,1,par_close,1,64,dnc,16,70.8177
chain,7100,2,14202,1,par_close,2,64,dnc,16,73.2929
