[synthetic_bench] cube n=110 d=2 classes=5324218 merges=110 ...
[pe] round=  0 work=      220 frontier=  7986000 next=  2662000 consolidate= 15.146ms frontier= 12.978ms semisort=149.655ms (keyed= 0.000ms group_by= 80.657ms per_group=21.332ms)
[pe] round=  1 work=  2662000 frontier=  2662000 next=  1048576 consolidate= 48.100ms frontier= 15.419ms semisort= 65.431ms (keyed= 0.000ms group_by= 19.703ms per_group=11.220ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   564848 consolidate= 25.887ms frontier= 20.505ms semisort= 26.557ms (keyed= 0.000ms group_by=  7.194ms per_group= 3.031ms)
[pe] round=  3 work=   564848 frontier=   564848 next=   524288 consolidate= 17.242ms frontier=  3.354ms semisort= 21.395ms (keyed= 0.000ms group_by=  2.354ms per_group= 6.204ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 10.376ms frontier=  2.983ms semisort=  7.848ms (keyed= 0.000ms group_by=  2.139ms per_group= 1.326ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  5.189ms frontier=  1.576ms semisort=  3.923ms (keyed= 0.000ms group_by=  1.164ms per_group= 0.729ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  2.564ms frontier=  0.856ms semisort=  2.304ms (keyed= 0.000ms group_by=  0.749ms per_group= 0.428ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.342ms frontier=  0.649ms semisort=  4.254ms (keyed= 0.000ms group_by=  3.393ms per_group= 0.266ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.860ms frontier=  0.359ms semisort=  2.174ms (keyed= 0.000ms group_by=  1.606ms per_group= 0.203ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.433ms frontier=  0.275ms semisort=  1.334ms (keyed= 0.000ms group_by=  0.906ms per_group= 0.144ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.163ms frontier=  0.387ms semisort=  1.006ms (keyed= 0.000ms group_by=  0.456ms per_group= 0.244ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.666ms frontier=  0.181ms semisort=  0.506ms (keyed= 0.000ms group_by=  0.241ms per_group= 0.073ms)
