[synthetic_bench] cube n=120 d=2 classes=6912238 merges=120 ...
[pe] round=  0 work=      240 frontier= 10368000 next=  3456000 consolidate= 17.593ms frontier=  9.844ms semisort=156.581ms (keyed= 0.000ms group_by= 84.994ms per_group=16.796ms)
[pe] round=  1 work=  3456000 frontier=  3456000 next=  1358848 consolidate= 57.204ms frontier= 17.692ms semisort= 76.443ms (keyed= 0.000ms group_by= 21.738ms per_group=11.238ms)
[pe] round=  2 work=  1358848 frontier=  1358848 next=  1048576 consolidate= 33.663ms frontier=  7.208ms semisort= 42.653ms (keyed= 0.000ms group_by= 14.127ms per_group= 8.503ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 18.441ms frontier= 11.556ms semisort= 19.549ms (keyed= 0.000ms group_by=  4.741ms per_group= 2.069ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 14.281ms frontier=  7.688ms semisort= 23.787ms (keyed= 0.000ms group_by=  1.991ms per_group=17.538ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  5.627ms frontier=  1.955ms semisort=  4.679ms (keyed= 0.000ms group_by=  1.476ms per_group= 0.791ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  2.750ms frontier=  0.882ms semisort=  2.390ms (keyed= 0.000ms group_by=  0.687ms per_group= 0.409ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.452ms frontier=  0.681ms semisort=  4.397ms (keyed= 0.000ms group_by=  3.487ms per_group= 0.285ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.891ms frontier=  0.387ms semisort=  2.285ms (keyed= 0.000ms group_by=  1.695ms per_group= 0.195ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.679ms frontier=  0.280ms semisort=  1.227ms (keyed= 0.000ms group_by=  0.837ms per_group= 0.137ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.753ms frontier=  0.303ms semisort=  0.889ms (keyed= 0.000ms group_by=  0.433ms per_group= 0.161ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.614ms frontier=  0.189ms semisort=  0.556ms (keyed= 0.000ms group_by=  0.261ms per_group= 0.110ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.354ms frontier=  0.122ms semisort=  0.339ms (keyed= 0.000ms group_by=  0.147ms per_group= 0.056ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.222ms frontier=  0.086ms semisort=  0.227ms (keyed= 0.000ms group_by=  0.078ms per_group= 0.054ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.133ms frontier=  0.079ms semisort=  0.161ms (keyed= 0.000ms group_by=  0.042ms per_group= 0.047ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.085ms frontier=  0.052ms semisort=  0.123ms (keyed= 0.000ms group_by=  0.024ms per_group= 0.035ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.055ms frontier=  0.035ms semisort=  0.073ms (keyed= 0.000ms group_by=  0.014ms per_group= 0.024ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.038ms frontier=  0.023ms semisort=  0.054ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.018ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.027ms frontier=  0.012ms semisort=  0.031ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.020ms frontier=  0.005ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.003ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.013ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.001ms)
