[synthetic_bench] cube n=125 d=2 classes=7812748 merges=125 ...
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate= 12.408ms frontier= 11.700ms semisort=148.445ms (keyed= 0.000ms group_by= 66.971ms per_group=24.284ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 76.192ms frontier= 20.298ms semisort= 64.272ms (keyed= 0.000ms group_by= 19.275ms per_group=13.612ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 43.345ms frontier=  8.988ms semisort= 35.482ms (keyed= 0.000ms group_by= 11.429ms per_group= 7.167ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 26.580ms frontier=  8.480ms semisort= 15.498ms (keyed= 0.000ms group_by=  3.387ms per_group= 2.910ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 15.177ms frontier=  4.830ms semisort= 13.960ms (keyed= 0.000ms group_by=  2.560ms per_group= 7.206ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.328ms frontier=  1.910ms semisort=  4.562ms (keyed= 0.000ms group_by=  1.358ms per_group= 0.927ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.403ms frontier=  0.971ms semisort=  2.427ms (keyed= 0.000ms group_by=  0.761ms per_group= 0.503ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.761ms frontier=  0.538ms semisort=  4.207ms (keyed= 0.000ms group_by=  3.189ms per_group= 0.303ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.953ms frontier=  0.368ms semisort=  2.152ms (keyed= 0.000ms group_by=  1.552ms per_group= 0.192ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.158ms frontier=  0.249ms semisort=  1.140ms (keyed= 0.000ms group_by=  0.760ms per_group= 0.118ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.159ms frontier=  0.313ms semisort=  0.776ms (keyed= 0.000ms group_by=  0.408ms per_group= 0.081ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.672ms frontier=  0.165ms semisort=  0.492ms (keyed= 0.000ms group_by=  0.238ms per_group= 0.086ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.333ms frontier=  0.302ms semisort=  0.277ms (keyed= 0.000ms group_by=  0.120ms per_group= 0.051ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.212ms frontier=  0.083ms semisort=  0.188ms (keyed= 0.000ms group_by=  0.065ms per_group= 0.044ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.100ms frontier=  0.055ms semisort=  0.129ms (keyed= 0.000ms group_by=  0.041ms per_group= 0.035ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.072ms frontier=  0.037ms semisort=  0.089ms (keyed= 0.000ms group_by=  0.029ms per_group= 0.020ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.051ms frontier=  0.031ms semisort=  0.057ms (keyed= 0.000ms group_by=  0.013ms per_group= 0.015ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.029ms frontier=  0.012ms semisort=  0.036ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.007ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.017ms frontier=  0.005ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.005ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.009ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.005ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  1.184ms frontier=  2.627ms semisort=110.339ms (keyed= 0.000ms group_by= 34.588ms per_group=19.286ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 72.016ms frontier= 19.931ms semisort= 57.230ms (keyed= 0.000ms group_by= 15.806ms per_group= 8.768ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 42.071ms frontier= 10.059ms semisort= 25.244ms (keyed= 0.000ms group_by=  6.868ms per_group= 5.335ms)
