[synthetic_bench] quartic n=41 d=2 classes=11303124 merges=41 ...
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate= 21.709ms frontier= 33.607ms semisort=380.530ms (keyed= 0.000ms group_by=217.269ms per_group=27.336ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate= 72.227ms frontier= 24.184ms semisort= 95.735ms (keyed= 0.000ms group_by= 18.766ms per_group=21.797ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate= 36.064ms frontier= 26.105ms semisort= 45.925ms (keyed= 0.000ms group_by= 10.894ms per_group= 6.287ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate= 27.986ms frontier= 11.855ms semisort= 32.488ms (keyed= 0.000ms group_by=  5.380ms per_group= 8.590ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 22.618ms frontier=  6.956ms semisort= 18.762ms (keyed= 0.000ms group_by=  7.492ms per_group= 3.904ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 15.455ms frontier=  2.921ms semisort=  7.762ms (keyed= 0.000ms group_by=  2.116ms per_group= 1.308ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  5.365ms frontier=  1.911ms semisort=  4.194ms (keyed= 0.000ms group_by=  1.177ms per_group= 0.731ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  2.655ms frontier=  1.004ms semisort=  2.358ms (keyed= 0.000ms group_by=  0.800ms per_group= 0.425ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  1.406ms frontier=  0.618ms semisort=  4.236ms (keyed= 0.000ms group_by=  3.313ms per_group= 0.263ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.849ms frontier=  0.376ms semisort=  2.306ms (keyed= 0.000ms group_by=  1.733ms per_group= 0.196ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.426ms frontier=  0.261ms semisort=  1.281ms (keyed= 0.000ms group_by=  0.881ms per_group= 0.127ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  1.250ms frontier=  0.289ms semisort=  0.878ms (keyed= 0.000ms group_by=  0.465ms per_group= 0.101ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.633ms frontier=  0.170ms semisort=  0.704ms (keyed= 0.000ms group_by=  0.262ms per_group= 0.241ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.386ms frontier=  0.110ms semisort=  0.364ms (keyed= 0.000ms group_by=  0.159ms per_group= 0.068ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.232ms frontier=  0.087ms semisort=  0.211ms (keyed= 0.000ms group_by=  0.073ms per_group= 0.050ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.136ms frontier=  0.067ms semisort=  0.155ms (keyed= 0.000ms group_by=  0.043ms per_group= 0.045ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.091ms frontier=  0.041ms semisort=  0.128ms (keyed= 0.000ms group_by=  0.037ms per_group= 0.030ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.060ms frontier=  0.039ms semisort=  0.070ms (keyed= 0.000ms group_by=  0.013ms per_group= 0.021ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.045ms frontier=  0.023ms semisort=  0.036ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.007ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.030ms frontier=  0.011ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.003ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.013ms frontier=  0.003ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.005ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate=  2.935ms frontier=  6.167ms semisort=186.491ms (keyed= 0.000ms group_by= 59.447ms per_group=19.892ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate= 70.831ms frontier= 22.305ms semisort= 72.599ms (keyed= 0.000ms group_by= 17.928ms per_group= 9.127ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate= 31.148ms frontier=  9.566ms semisort= 33.796ms (keyed= 0.000ms group_by=  8.586ms per_group= 6.285ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate= 27.004ms frontier=  7.478ms semisort= 23.599ms (keyed= 0.000ms group_by=  7.684ms per_group= 3.767ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 19.939ms frontier=  5.563ms semisort= 15.059ms (keyed= 0.000ms group_by=  4.981ms per_group= 2.333ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 10.953ms frontier=  2.792ms semisort=  7.738ms (keyed= 0.000ms group_by=  1.981ms per_group= 1.399ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  5.314ms frontier=  1.897ms semisort=  4.369ms (keyed= 0.000ms group_by=  1.028ms per_group= 0.755ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  2.676ms frontier=  0.842ms semisort=  2.363ms (keyed= 0.000ms group_by=  0.807ms per_group= 0.450ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  1.416ms frontier=  0.622ms semisort=  4.293ms (keyed= 0.000ms group_by=  3.296ms per_group= 0.301ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.813ms frontier=  0.366ms semisort=  2.289ms (keyed= 0.000ms group_by=  1.694ms per_group= 0.194ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.521ms frontier=  0.287ms semisort=  1.339ms (keyed= 0.000ms group_by=  0.932ms per_group= 0.132ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  1.349ms frontier=  0.289ms semisort=  0.825ms (keyed= 0.000ms group_by=  0.429ms per_group= 0.094ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.678ms frontier=  0.187ms semisort=  0.524ms (keyed= 0.000ms group_by=  0.245ms per_group= 0.085ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.389ms frontier=  0.123ms semisort=  0.355ms (keyed= 0.000ms group_by=  0.144ms per_group= 0.067ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.223ms frontier=  0.067ms semisort=  0.217ms (keyed= 0.000ms group_by=  0.076ms per_group= 0.047ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.142ms frontier=  0.080ms semisort=  0.178ms (keyed= 0.000ms group_by=  0.046ms per_group= 0.051ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.082ms frontier=  0.057ms semisort=  0.105ms (keyed= 0.000ms group_by=  0.030ms per_group= 0.026ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.061ms frontier=  0.035ms semisort=  0.073ms (keyed= 0.000ms group_by=  0.013ms per_group= 0.021ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.045ms frontier=  0.023ms semisort=  0.054ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.020ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.026ms frontier=  0.007ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.003ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.016ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.017ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate=  2.366ms frontier=  5.185ms semisort=178.951ms (keyed= 0.000ms group_by= 65.873ms per_group=20.061ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate= 71.304ms frontier= 23.469ms semisort= 69.118ms (keyed= 0.000ms group_by= 17.885ms per_group= 9.170ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate= 29.948ms frontier=  9.624ms semisort= 33.955ms (keyed= 0.000ms group_by=  8.374ms per_group= 6.287ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate= 27.290ms frontier=  7.377ms semisort= 20.687ms (keyed= 0.000ms group_by=  4.679ms per_group= 3.982ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 20.323ms frontier=  5.507ms semisort= 15.345ms (keyed= 0.000ms group_by=  4.640ms per_group= 2.432ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 10.965ms frontier=  2.723ms semisort=  7.855ms (keyed= 0.000ms group_by=  1.982ms per_group= 1.467ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  5.353ms frontier=  1.583ms semisort=  4.538ms (keyed= 0.000ms group_by=  1.191ms per_group= 0.749ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  2.639ms frontier=  0.845ms semisort=  2.342ms (keyed= 0.000ms group_by=  0.770ms per_group= 0.442ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  1.371ms frontier=  0.644ms semisort=  4.328ms (keyed= 0.000ms group_by=  3.408ms per_group= 0.313ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.855ms frontier=  0.379ms semisort=  2.373ms (keyed= 0.000ms group_by=  1.746ms per_group= 0.213ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.499ms frontier=  0.280ms semisort=  1.285ms (keyed= 0.000ms group_by=  0.862ms per_group= 0.139ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  1.313ms frontier=  0.296ms semisort=  0.878ms (keyed= 0.000ms group_by=  0.441ms per_group= 0.113ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.694ms frontier=  0.189ms semisort=  0.520ms (keyed= 0.000ms group_by=  0.247ms per_group= 0.076ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.386ms frontier=  0.114ms semisort=  0.346ms (keyed= 0.000ms group_by=  0.146ms per_group= 0.071ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.206ms frontier=  0.082ms semisort=  0.232ms (keyed= 0.000ms group_by=  0.085ms per_group= 0.062ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.131ms frontier=  0.072ms semisort=  0.138ms (keyed= 0.000ms group_by=  0.050ms per_group= 0.031ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.083ms frontier=  0.040ms semisort=  0.123ms (keyed= 0.000ms group_by=  0.025ms per_group= 0.034ms)
