[synthetic_bench] quintic n=18 d=2 classes=7558306 merges=18 ...
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=151.958ms frontier= 36.454ms semisort=293.458ms (keyed= 0.000ms group_by=162.025ms per_group=23.220ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate= 69.635ms frontier= 13.369ms semisort= 91.789ms (keyed= 0.000ms group_by= 32.305ms per_group=21.963ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate= 35.917ms frontier=  7.607ms semisort= 38.585ms (keyed= 0.000ms group_by= 16.192ms per_group= 9.513ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 19.742ms frontier=  5.724ms semisort= 13.248ms (keyed= 0.000ms group_by=  3.723ms per_group= 2.181ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 14.261ms frontier=  3.462ms semisort=  7.624ms (keyed= 0.000ms group_by=  2.344ms per_group= 1.307ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  5.454ms frontier=  1.781ms semisort=  4.447ms (keyed= 0.000ms group_by=  1.230ms per_group= 0.730ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  2.795ms frontier=  0.860ms semisort=  2.337ms (keyed= 0.000ms group_by=  0.806ms per_group= 0.413ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.412ms frontier=  0.631ms semisort=  4.151ms (keyed= 0.000ms group_by=  3.297ms per_group= 0.277ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.900ms frontier=  0.388ms semisort=  2.175ms (keyed= 0.000ms group_by=  1.599ms per_group= 0.189ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.353ms frontier=  0.310ms semisort=  1.217ms (keyed= 0.000ms group_by=  0.836ms per_group= 0.126ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.150ms frontier=  0.306ms semisort=  0.808ms (keyed= 0.000ms group_by=  0.427ms per_group= 0.091ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.668ms frontier=  0.171ms semisort=  0.668ms (keyed= 0.000ms group_by=  0.277ms per_group= 0.208ms)
