[synthetic_bench] quintic n=18 d=2 classes=7558306 merges=18 ...
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate= 55.658ms frontier= 16.011ms semisort=211.842ms (keyed= 0.000ms group_by=114.523ms per_group=26.187ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate= 79.209ms frontier= 17.886ms semisort= 70.160ms (keyed= 0.000ms group_by= 25.643ms per_group=13.458ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate= 35.414ms frontier=  9.087ms semisort= 28.842ms (keyed= 0.000ms group_by= 10.663ms per_group= 5.756ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 26.103ms frontier=  6.488ms semisort= 13.764ms (keyed= 0.000ms group_by=  3.490ms per_group= 2.766ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 15.393ms frontier=  3.168ms semisort=  8.249ms (keyed= 0.000ms group_by=  2.315ms per_group= 1.621ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  6.944ms frontier=  1.745ms semisort=  4.271ms (keyed= 0.000ms group_by=  1.137ms per_group= 0.916ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.442ms frontier=  0.951ms semisort=  2.443ms (keyed= 0.000ms group_by=  0.719ms per_group= 0.530ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.710ms frontier=  0.536ms semisort=  4.335ms (keyed= 0.000ms group_by=  3.396ms per_group= 0.307ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.975ms frontier=  0.335ms semisort=  2.116ms (keyed= 0.000ms group_by=  1.524ms per_group= 0.186ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.192ms frontier=  0.236ms semisort=  1.168ms (keyed= 0.000ms group_by=  0.798ms per_group= 0.123ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.228ms frontier=  0.314ms semisort=  0.752ms (keyed= 0.000ms group_by=  0.388ms per_group= 0.081ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.672ms frontier=  0.175ms semisort=  0.766ms (keyed= 0.000ms group_by=  0.474ms per_group= 0.119ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.343ms frontier=  0.323ms semisort=  0.291ms (keyed= 0.000ms group_by=  0.128ms per_group= 0.044ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.204ms frontier=  0.070ms semisort=  0.183ms (keyed= 0.000ms group_by=  0.065ms per_group= 0.039ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.104ms frontier=  0.049ms semisort=  0.116ms (keyed= 0.000ms group_by=  0.041ms per_group= 0.030ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.068ms frontier=  0.037ms semisort=  0.088ms (keyed= 0.000ms group_by=  0.026ms per_group= 0.025ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.041ms frontier=  0.037ms semisort=  0.054ms (keyed= 0.000ms group_by=  0.014ms per_group= 0.017ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.031ms frontier=  0.016ms semisort=  0.035ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.008ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.020ms frontier=  0.007ms semisort=  0.022ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.005ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.013ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.008ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  1.808ms frontier=  4.933ms semisort=122.952ms (keyed= 0.000ms group_by= 45.835ms per_group=21.233ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate= 69.184ms frontier= 18.747ms semisort= 52.020ms (keyed= 0.000ms group_by= 12.096ms per_group= 8.707ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate= 34.454ms frontier=  9.115ms semisort= 23.113ms (keyed= 0.000ms group_by=  5.306ms per_group= 5.538ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 26.182ms frontier=  6.594ms semisort= 13.841ms (keyed= 0.000ms group_by=  3.512ms per_group= 2.738ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 15.374ms frontier=  3.217ms semisort=  8.374ms (keyed= 0.000ms group_by=  2.487ms per_group= 1.633ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  6.934ms frontier=  1.638ms semisort=  4.295ms (keyed= 0.000ms group_by=  1.125ms per_group= 0.925ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.334ms frontier=  0.888ms semisort=  2.342ms (keyed= 0.000ms group_by=  0.660ms per_group= 0.525ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.668ms frontier=  0.532ms semisort=  4.342ms (keyed= 0.000ms group_by=  3.393ms per_group= 0.296ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.948ms frontier=  0.350ms semisort=  2.481ms (keyed= 0.000ms group_by=  1.618ms per_group= 0.458ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.195ms frontier=  0.262ms semisort=  1.220ms (keyed= 0.000ms group_by=  0.834ms per_group= 0.126ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.271ms frontier=  0.314ms semisort=  0.796ms (keyed= 0.000ms group_by=  0.410ms per_group= 0.096ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.675ms frontier=  0.176ms semisort=  0.583ms (keyed= 0.000ms group_by=  0.349ms per_group= 0.063ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.348ms frontier=  0.300ms semisort=  0.295ms (keyed= 0.000ms group_by=  0.130ms per_group= 0.044ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.195ms frontier=  0.066ms semisort=  0.192ms (keyed= 0.000ms group_by=  0.070ms per_group= 0.035ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.138ms frontier=  0.050ms semisort=  0.118ms (keyed= 0.000ms group_by=  0.039ms per_group= 0.029ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.070ms frontier=  0.032ms semisort=  0.089ms (keyed= 0.000ms group_by=  0.024ms per_group= 0.026ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.038ms frontier=  0.028ms semisort=  0.062ms (keyed= 0.000ms group_by=  0.017ms per_group= 0.015ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.030ms frontier=  0.019ms semisort=  0.040ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.012ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.020ms frontier=  0.007ms semisort=  0.018ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.004ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.014ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.011ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  1.874ms frontier=  4.987ms semisort=126.563ms (keyed= 0.000ms group_by= 46.227ms per_group=21.830ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate= 75.220ms frontier= 19.189ms semisort= 55.420ms (keyed= 0.000ms group_by= 15.685ms per_group= 8.617ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate= 35.510ms frontier=  8.940ms semisort= 23.145ms (keyed= 0.000ms group_by=  5.354ms per_group= 5.392ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 26.250ms frontier=  6.583ms semisort= 13.952ms (keyed= 0.000ms group_by=  3.508ms per_group= 2.812ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 15.367ms frontier=  3.263ms semisort=  8.421ms (keyed= 0.000ms group_by=  2.425ms per_group= 1.686ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.243ms frontier=  1.674ms semisort=  4.425ms (keyed= 0.000ms group_by=  1.149ms per_group= 0.904ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.309ms frontier=  0.882ms semisort=  2.453ms (keyed= 0.000ms group_by=  0.595ms per_group= 0.506ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.681ms frontier=  0.531ms semisort=  4.027ms (keyed= 0.000ms group_by=  3.090ms per_group= 0.304ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.977ms frontier=  0.324ms semisort=  2.163ms (keyed= 0.000ms group_by=  1.539ms per_group= 0.195ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.262ms frontier=  0.232ms semisort=  1.111ms (keyed= 0.000ms group_by=  0.737ms per_group= 0.123ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.268ms frontier=  0.315ms semisort=  0.781ms (keyed= 0.000ms group_by=  0.427ms per_group= 0.075ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.676ms frontier=  0.173ms semisort=  0.469ms (keyed= 0.000ms group_by=  0.239ms per_group= 0.057ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.337ms frontier=  0.312ms semisort=  0.286ms (keyed= 0.000ms group_by=  0.127ms per_group= 0.046ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.204ms frontier=  0.069ms semisort=  0.184ms (keyed= 0.000ms group_by=  0.072ms per_group= 0.037ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.130ms frontier=  0.048ms semisort=  0.125ms (keyed= 0.000ms group_by=  0.040ms per_group= 0.030ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.073ms frontier=  0.037ms semisort=  0.078ms (keyed= 0.000ms group_by=  0.023ms per_group= 0.019ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.044ms frontier=  0.029ms semisort=  0.055ms (keyed= 0.000ms group_by=  0.016ms per_group= 0.016ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.031ms frontier=  0.018ms semisort=  0.035ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.008ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.020ms frontier=  0.007ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.005ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.013ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.012ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  1.891ms frontier=  4.806ms semisort=136.189ms (keyed= 0.000ms group_by= 49.444ms per_group=21.718ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate= 74.771ms frontier= 19.516ms semisort= 53.230ms (keyed= 0.000ms group_by= 12.396ms per_group= 8.638ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate= 36.524ms frontier=  9.525ms semisort= 23.694ms (keyed= 0.000ms group_by=  5.433ms per_group= 5.281ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 26.464ms frontier=  6.500ms semisort= 14.649ms (keyed= 0.000ms group_by=  3.563ms per_group= 2.797ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 15.551ms frontier=  3.276ms semisort=  8.312ms (keyed= 0.000ms group_by=  2.327ms per_group= 1.609ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.189ms frontier=  1.607ms semisort=  4.321ms (keyed= 0.000ms group_by=  1.106ms per_group= 0.957ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.473ms frontier=  0.903ms semisort=  2.258ms (keyed= 0.000ms group_by=  0.641ms per_group= 0.518ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.716ms frontier=  0.533ms semisort=  4.250ms (keyed= 0.000ms group_by=  3.302ms per_group= 0.316ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.938ms frontier=  0.352ms semisort=  2.281ms (keyed= 0.000ms group_by=  1.677ms per_group= 0.196ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.176ms frontier=  0.261ms semisort=  1.170ms (keyed= 0.000ms group_by=  0.791ms per_group= 0.128ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.289ms frontier=  0.318ms semisort=  0.779ms (keyed= 0.000ms group_by=  0.420ms per_group= 0.079ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.689ms frontier=  0.162ms semisort=  0.463ms (keyed= 0.000ms group_by=  0.242ms per_group= 0.050ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.346ms frontier=  0.103ms semisort=  0.497ms (keyed= 0.000ms group_by=  0.342ms per_group= 0.041ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.198ms frontier=  0.069ms semisort=  0.188ms (keyed= 0.000ms group_by=  0.070ms per_group= 0.038ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.114ms frontier=  0.045ms semisort=  0.116ms (keyed= 0.000ms group_by=  0.040ms per_group= 0.028ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.067ms frontier=  0.037ms semisort=  0.091ms (keyed= 0.000ms group_by=  0.028ms per_group= 0.031ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.044ms frontier=  0.025ms semisort=  0.053ms (keyed= 0.000ms group_by=  0.014ms per_group= 0.015ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.031ms frontier=  0.018ms semisort=  0.043ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.015ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.020ms frontier=  0.007ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.005ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.016ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.007ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  1.911ms frontier=  5.105ms semisort=141.406ms (keyed= 0.000ms group_by= 50.876ms per_group=22.211ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate= 74.680ms frontier= 19.636ms semisort= 56.165ms (keyed= 0.000ms group_by= 13.149ms per_group= 8.871ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate= 36.826ms frontier=  9.293ms semisort= 25.284ms (keyed= 0.000ms group_by=  5.601ms per_group= 5.275ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 27.046ms frontier=  6.724ms semisort= 15.786ms (keyed= 0.000ms group_by=  3.929ms per_group= 2.830ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 15.816ms frontier=  3.242ms semisort=  8.667ms (keyed= 0.000ms group_by=  2.360ms per_group= 1.740ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.151ms frontier=  1.603ms semisort=  4.311ms (keyed= 0.000ms group_by=  1.078ms per_group= 0.946ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.413ms frontier=  0.905ms semisort=  2.273ms (keyed= 0.000ms group_by=  0.647ms per_group= 0.529ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.693ms frontier=  0.548ms semisort=  4.349ms (keyed= 0.000ms group_by=  3.406ms per_group= 0.307ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.965ms frontier=  0.356ms semisort=  2.243ms (keyed= 0.000ms group_by=  1.663ms per_group= 0.185ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.181ms frontier=  0.254ms semisort=  1.229ms (keyed= 0.000ms group_by=  0.831ms per_group= 0.127ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.302ms frontier=  0.309ms semisort=  0.765ms (keyed= 0.000ms group_by=  0.398ms per_group= 0.082ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.687ms frontier=  0.176ms semisort=  0.481ms (keyed= 0.000ms group_by=  0.243ms per_group= 0.058ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.333ms frontier=  0.101ms semisort=  0.289ms (keyed= 0.000ms group_by=  0.124ms per_group= 0.041ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.188ms frontier=  0.066ms semisort=  0.188ms (keyed= 0.000ms group_by=  0.067ms per_group= 0.036ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.107ms frontier=  0.046ms semisort=  0.114ms (keyed= 0.000ms group_by=  0.039ms per_group= 0.028ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.065ms frontier=  0.040ms semisort=  0.081ms (keyed= 0.000ms group_by=  0.022ms per_group= 0.023ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.042ms frontier=  0.026ms semisort=  0.054ms (keyed= 0.000ms group_by=  0.015ms per_group= 0.016ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.028ms frontier=  0.019ms semisort=  0.044ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.016ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.025ms frontier=  0.006ms semisort=  0.029ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.008ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.011ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.012ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  1.831ms frontier=  5.122ms semisort=142.755ms (keyed= 0.000ms group_by= 54.733ms per_group=22.108ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate= 75.688ms frontier= 19.823ms semisort= 56.234ms (keyed= 0.000ms group_by= 13.398ms per_group= 8.916ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate= 35.331ms frontier=  9.156ms semisort= 25.075ms (keyed= 0.000ms group_by=  5.618ms per_group= 5.245ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 26.919ms frontier=  6.627ms semisort= 15.536ms (keyed= 0.000ms group_by=  3.736ms per_group= 2.845ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 14.536ms frontier=  3.251ms semisort=  8.582ms (keyed= 0.000ms group_by=  2.116ms per_group= 1.647ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  7.035ms frontier=  1.639ms semisort=  4.588ms (keyed= 0.000ms group_by=  1.198ms per_group= 0.924ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.387ms frontier=  0.899ms semisort=  2.303ms (keyed= 0.000ms group_by=  0.650ms per_group= 0.529ms)
