[synthetic_bench] cube n=130 d=2 classes=8788258 merges=130 ...
[pe] round=  0 work=      260 frontier= 13182000 next=  4394000 consolidate=  2.036ms frontier=  1.969ms semisort= 70.572ms (keyed= 0.000ms group_by= 31.786ms per_group=17.063ms)
[pe] round=  1 work=  4394000 frontier=  4394000 next=  2097152 consolidate= 40.501ms frontier=  8.452ms semisort= 38.250ms (keyed= 0.000ms group_by= 11.423ms per_group= 8.403ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate= 25.357ms frontier=  6.272ms semisort= 20.414ms (keyed= 0.000ms group_by=  5.470ms per_group= 4.824ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 15.574ms frontier=  4.502ms semisort= 11.756ms (keyed= 0.000ms group_by=  3.127ms per_group= 2.788ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=  7.591ms frontier=  2.019ms semisort=  5.983ms (keyed= 0.000ms group_by=  1.681ms per_group= 1.456ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   199696 consolidate=  3.555ms frontier=  1.206ms semisort=  3.120ms (keyed= 0.000ms group_by=  0.750ms per_group= 0.879ms)
[pe] round=  6 work=   199696 frontier=   199696 next=   131072 consolidate=  2.618ms frontier=  0.955ms semisort=  2.257ms (keyed= 0.000ms group_by=  0.559ms per_group= 0.581ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  1.827ms frontier=  0.669ms semisort=  1.362ms (keyed= 0.000ms group_by=  0.438ms per_group= 0.322ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  1.033ms frontier=  0.380ms semisort=  2.649ms (keyed= 0.000ms group_by=  2.120ms per_group= 0.207ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.546ms frontier=  0.244ms semisort=  1.245ms (keyed= 0.000ms group_by=  0.905ms per_group= 0.139ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  0.988ms frontier=  0.169ms semisort=  0.679ms (keyed= 0.000ms group_by=  0.460ms per_group= 0.087ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.553ms frontier=  0.208ms semisort=  0.457ms (keyed= 0.000ms group_by=  0.251ms per_group= 0.059ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.249ms frontier=  0.104ms semisort=  0.267ms (keyed= 0.000ms group_by=  0.147ms per_group= 0.036ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.231ms frontier=  0.066ms semisort=  0.165ms (keyed= 0.000ms group_by=  0.084ms per_group= 0.029ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.111ms frontier=  0.045ms semisort=  0.102ms (keyed= 0.000ms group_by=  0.045ms per_group= 0.020ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.051ms frontier=  0.037ms semisort=  0.065ms (keyed= 0.000ms group_by=  0.023ms per_group= 0.016ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.029ms frontier=  0.022ms semisort=  0.048ms (keyed= 0.000ms group_by=  0.016ms per_group= 0.013ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.023ms frontier=  0.012ms semisort=  0.029ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.012ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.016ms frontier=  0.006ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.004ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.011ms frontier=  0.004ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.008ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      260 frontier= 13182000 next=  4394000 consolidate=  0.481ms frontier=  1.142ms semisort= 61.434ms (keyed= 0.000ms group_by= 24.501ms per_group=15.901ms)
[pe] round=  1 work=  4394000 frontier=  4394000 next=  2097152 consolidate= 45.017ms frontier= 10.407ms semisort= 35.802ms (keyed= 0.000ms group_by=  9.899ms per_group= 8.481ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate= 25.298ms frontier=  6.598ms semisort= 20.489ms (keyed= 0.000ms group_by=  5.714ms per_group= 5.179ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 16.672ms frontier=  3.757ms semisort= 11.786ms (keyed= 0.000ms group_by=  3.237ms per_group= 2.699ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=  7.589ms frontier=  1.999ms semisort=  6.411ms (keyed= 0.000ms group_by=  1.682ms per_group= 1.581ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   199696 consolidate=  3.565ms frontier=  1.095ms semisort=  3.116ms (keyed= 0.000ms group_by=  0.742ms per_group= 0.925ms)
[pe] round=  6 work=   199696 frontier=   199696 next=   131072 consolidate=  2.823ms frontier=  0.882ms semisort=  2.459ms (keyed= 0.000ms group_by=  0.548ms per_group= 0.606ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  1.816ms frontier=  0.628ms semisort=  1.388ms (keyed= 0.000ms group_by=  0.419ms per_group= 0.326ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  1.071ms frontier=  0.372ms semisort=  2.391ms (keyed= 0.000ms group_by=  1.853ms per_group= 0.206ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.591ms frontier=  0.260ms semisort=  1.220ms (keyed= 0.000ms group_by=  0.902ms per_group= 0.127ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.124ms frontier=  0.161ms semisort=  0.716ms (keyed= 0.000ms group_by=  0.454ms per_group= 0.120ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.641ms frontier=  0.206ms semisort=  0.452ms (keyed= 0.000ms group_by=  0.251ms per_group= 0.055ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.365ms frontier=  0.107ms semisort=  0.270ms (keyed= 0.000ms group_by=  0.143ms per_group= 0.041ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.163ms frontier=  0.068ms semisort=  0.173ms (keyed= 0.000ms group_by=  0.092ms per_group= 0.024ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.117ms frontier=  0.043ms semisort=  0.100ms (keyed= 0.000ms group_by=  0.044ms per_group= 0.020ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.051ms frontier=  0.031ms semisort=  0.068ms (keyed= 0.000ms group_by=  0.025ms per_group= 0.019ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.029ms frontier=  0.021ms semisort=  0.051ms (keyed= 0.000ms group_by=  0.020ms per_group= 0.014ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.025ms frontier=  0.012ms semisort=  0.025ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.008ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.013ms frontier=  0.007ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.013ms frontier=  0.004ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.007ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.004ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      260 frontier= 13182000 next=  4394000 consolidate=  0.475ms frontier=  1.125ms semisort= 62.955ms (keyed= 0.000ms group_by= 25.591ms per_group=15.985ms)
[pe] round=  1 work=  4394000 frontier=  4394000 next=  2097152 consolidate= 48.391ms frontier= 10.963ms semisort= 34.613ms (keyed= 0.000ms group_by=  9.382ms per_group= 8.253ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate= 26.107ms frontier=  7.012ms semisort= 19.723ms (keyed= 0.000ms group_by=  5.498ms per_group= 4.781ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 20.002ms frontier=  3.840ms semisort= 11.245ms (keyed= 0.000ms group_by=  3.046ms per_group= 2.692ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=  7.735ms frontier=  1.997ms semisort=  5.950ms (keyed= 0.000ms group_by=  1.620ms per_group= 1.554ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   199696 consolidate=  3.792ms frontier=  1.197ms semisort=  3.269ms (keyed= 0.000ms group_by=  0.745ms per_group= 0.864ms)
[pe] round=  6 work=   199696 frontier=   199696 next=   131072 consolidate=  2.814ms frontier=  0.927ms semisort=  2.285ms (keyed= 0.000ms group_by=  0.537ms per_group= 0.587ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  1.884ms frontier=  0.695ms semisort=  1.517ms (keyed= 0.000ms group_by=  0.452ms per_group= 0.338ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  1.093ms frontier=  0.377ms semisort=  2.412ms (keyed= 0.000ms group_by=  1.885ms per_group= 0.202ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.605ms frontier=  0.263ms semisort=  1.210ms (keyed= 0.000ms group_by=  0.883ms per_group= 0.129ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.315ms frontier=  0.168ms semisort=  0.683ms (keyed= 0.000ms group_by=  0.443ms per_group= 0.103ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.712ms frontier=  0.212ms semisort=  0.457ms (keyed= 0.000ms group_by=  0.264ms per_group= 0.050ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.375ms frontier=  0.102ms semisort=  0.284ms (keyed= 0.000ms group_by=  0.158ms per_group= 0.033ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.206ms frontier=  0.064ms semisort=  0.172ms (keyed= 0.000ms group_by=  0.083ms per_group= 0.030ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.121ms frontier=  0.047ms semisort=  0.098ms (keyed= 0.000ms group_by=  0.044ms per_group= 0.019ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.062ms frontier=  0.036ms semisort=  0.069ms (keyed= 0.000ms group_by=  0.026ms per_group= 0.016ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.030ms frontier=  0.020ms semisort=  0.046ms (keyed= 0.000ms group_by=  0.015ms per_group= 0.015ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.023ms frontier=  0.012ms semisort=  0.027ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.009ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.007ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.004ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.012ms frontier=  0.004ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.008ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.004ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      260 frontier= 13182000 next=  4394000 consolidate=  0.481ms frontier=  1.080ms semisort= 63.701ms (keyed= 0.000ms group_by= 24.375ms per_group=15.774ms)
[pe] round=  1 work=  4394000 frontier=  4394000 next=  2097152 consolidate= 48.125ms frontier= 10.747ms semisort= 34.618ms (keyed= 0.000ms group_by=  9.676ms per_group= 8.147ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate= 30.428ms frontier=  6.556ms semisort= 20.289ms (keyed= 0.000ms group_by=  5.777ms per_group= 4.745ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 20.255ms frontier=  4.173ms semisort= 12.461ms (keyed= 0.000ms group_by=  3.042ms per_group= 3.349ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=  7.957ms frontier=  2.167ms semisort=  6.122ms (keyed= 0.000ms group_by=  1.573ms per_group= 1.634ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   199696 consolidate=  4.705ms frontier=  1.122ms semisort=  3.268ms (keyed= 0.000ms group_by=  0.745ms per_group= 0.912ms)
[pe] round=  6 work=   199696 frontier=   199696 next=   131072 consolidate=  2.876ms frontier=  1.038ms semisort=  2.493ms (keyed= 0.000ms group_by=  0.702ms per_group= 0.611ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  2.071ms frontier=  0.697ms semisort=  1.416ms (keyed= 0.000ms group_by=  0.455ms per_group= 0.333ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  1.103ms frontier=  0.393ms semisort=  2.412ms (keyed= 0.000ms group_by=  1.864ms per_group= 0.218ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.719ms frontier=  0.247ms semisort=  1.374ms (keyed= 0.000ms group_by=  1.008ms per_group= 0.135ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.642ms frontier=  0.169ms semisort=  0.938ms (keyed= 0.000ms group_by=  0.468ms per_group= 0.100ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  1.242ms frontier=  0.222ms semisort=  0.512ms (keyed= 0.000ms group_by=  0.313ms per_group= 0.049ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.535ms frontier=  0.104ms semisort=  0.266ms (keyed= 0.000ms group_by=  0.144ms per_group= 0.034ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.268ms frontier=  0.067ms semisort=  0.174ms (keyed= 0.000ms group_by=  0.084ms per_group= 0.035ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.136ms frontier=  0.051ms semisort=  0.109ms (keyed= 0.000ms group_by=  0.049ms per_group= 0.021ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.075ms frontier=  0.034ms semisort=  0.069ms (keyed= 0.000ms group_by=  0.025ms per_group= 0.017ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.032ms frontier=  0.022ms semisort=  0.052ms (keyed= 0.000ms group_by=  0.015ms per_group= 0.019ms)
