[synthetic_bench] cube n=145 d=2 classes=12194788 merges=145 ...
[pe] round=  0 work=      290 frontier= 18291750 next=  6097250 consolidate=  9.782ms frontier=  8.799ms semisort=244.133ms (keyed= 0.000ms group_by=193.028ms per_group=27.140ms)
[pe] round=  1 work=  6097250 frontier=  6097250 next=  2097152 consolidate= 46.430ms frontier= 13.808ms semisort= 55.710ms (keyed= 0.000ms group_by= 17.435ms per_group=14.653ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1902946 consolidate= 21.819ms frontier= 10.281ms semisort= 29.595ms (keyed= 0.000ms group_by=  8.685ms per_group= 7.759ms)
[pe] round=  3 work=  1902946 frontier=  1902946 next=  1048576 consolidate= 18.777ms frontier=  4.867ms semisort= 16.710ms (keyed= 0.000ms group_by=  3.093ms per_group= 6.761ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 10.754ms frontier=  3.107ms semisort= 10.179ms (keyed= 0.000ms group_by=  1.437ms per_group= 4.040ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=  5.471ms frontier=  2.084ms semisort=  6.057ms (keyed= 0.000ms group_by=  1.577ms per_group= 2.660ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  2.859ms frontier=  0.985ms semisort=  3.572ms (keyed= 0.000ms group_by=  0.627ms per_group= 1.324ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  1.530ms frontier=  0.636ms semisort=  1.853ms (keyed= 0.000ms group_by=  0.492ms per_group= 0.509ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  0.917ms frontier=  0.472ms semisort=  3.128ms (keyed= 0.000ms group_by=  2.476ms per_group= 0.291ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.659ms frontier=  0.312ms semisort=  1.613ms (keyed= 0.000ms group_by=  1.114ms per_group= 0.211ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.597ms frontier=  0.234ms semisort=  1.163ms (keyed= 0.000ms group_by=  0.629ms per_group= 0.338ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.759ms frontier=  0.226ms semisort=  0.588ms (keyed= 0.000ms group_by=  0.334ms per_group= 0.078ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.395ms frontier=  0.135ms semisort=  0.453ms (keyed= 0.000ms group_by=  0.231ms per_group= 0.071ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.263ms frontier=  0.116ms semisort=  0.289ms (keyed= 0.000ms group_by=  0.122ms per_group= 0.058ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.150ms frontier=  0.076ms semisort=  0.205ms (keyed= 0.000ms group_by=  0.065ms per_group= 0.060ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.121ms frontier=  0.060ms semisort=  0.117ms (keyed= 0.000ms group_by=  0.039ms per_group= 0.030ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.073ms frontier=  0.055ms semisort=  0.105ms (keyed= 0.000ms group_by=  0.032ms per_group= 0.026ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.045ms frontier=  0.215ms semisort=  0.053ms (keyed= 0.000ms group_by=  0.014ms per_group= 0.019ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.032ms frontier=  0.019ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.004ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.027ms frontier=  0.005ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.010ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.005ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.003ms semisort=  0.000ms (break)
[pe] round=  0 work=      290 frontier= 18291750 next=  6097250 consolidate=  0.845ms frontier=  3.010ms semisort= 62.686ms (keyed= 0.000ms group_by= 31.653ms per_group=15.505ms)
[pe] round=  1 work=  6097250 frontier=  6097250 next=  2097152 consolidate= 34.326ms frontier=  8.234ms semisort= 39.160ms (keyed= 0.000ms group_by= 12.250ms per_group= 8.793ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1902946 consolidate= 21.344ms frontier=  4.781ms semisort= 17.402ms (keyed= 0.000ms group_by=  3.936ms per_group= 5.054ms)
[pe] round=  3 work=  1902946 frontier=  1902946 next=  1048576 consolidate= 13.809ms frontier=  3.816ms semisort= 14.218ms (keyed= 0.000ms group_by=  3.244ms per_group= 5.245ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 10.838ms frontier=  3.011ms semisort=  9.960ms (keyed= 0.000ms group_by=  1.471ms per_group= 3.707ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=  5.684ms frontier=  1.606ms semisort=  5.432ms (keyed= 0.000ms group_by=  0.854ms per_group= 2.348ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  3.059ms frontier=  0.991ms semisort=  3.198ms (keyed= 0.000ms group_by=  0.613ms per_group= 0.960ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  1.665ms frontier=  0.632ms semisort=  1.802ms (keyed= 0.000ms group_by=  0.501ms per_group= 0.522ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  0.906ms frontier=  0.451ms semisort=  3.062ms (keyed= 0.000ms group_by=  2.419ms per_group= 0.281ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.586ms frontier=  0.385ms semisort=  1.527ms (keyed= 0.000ms group_by=  1.053ms per_group= 0.217ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.597ms frontier=  0.210ms semisort=  1.013ms (keyed= 0.000ms group_by=  0.675ms per_group= 0.153ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.782ms frontier=  0.241ms semisort=  0.630ms (keyed= 0.000ms group_by=  0.333ms per_group= 0.092ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.479ms frontier=  0.123ms semisort=  0.447ms (keyed= 0.000ms group_by=  0.232ms per_group= 0.072ms)
