[synthetic_bench] quartic n=41 d=2 classes=11303124 merges=41 ...
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate=  8.536ms frontier=  8.353ms semisort= 93.118ms (keyed= 0.000ms group_by= 55.513ms per_group=21.106ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate= 31.746ms frontier=  8.225ms semisort= 32.620ms (keyed= 0.000ms group_by=  8.581ms per_group= 9.010ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate= 16.402ms frontier=  4.506ms semisort= 17.764ms (keyed= 0.000ms group_by=  3.847ms per_group= 4.863ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate= 17.103ms frontier=  3.478ms semisort= 12.237ms (keyed= 0.000ms group_by=  1.833ms per_group= 4.836ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 10.849ms frontier=  2.723ms semisort=  8.810ms (keyed= 0.000ms group_by=  1.477ms per_group= 3.915ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=  5.560ms frontier=  1.938ms semisort=  5.476ms (keyed= 0.000ms group_by=  1.033ms per_group= 2.215ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  2.964ms frontier=  0.966ms semisort=  2.616ms (keyed= 0.000ms group_by=  0.585ms per_group= 0.983ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  1.435ms frontier=  0.578ms semisort=  1.470ms (keyed= 0.000ms group_by=  0.402ms per_group= 0.449ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  0.796ms frontier=  0.398ms semisort=  2.625ms (keyed= 0.000ms group_by=  2.070ms per_group= 0.220ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.513ms frontier=  0.244ms semisort=  1.452ms (keyed= 0.000ms group_by=  1.026ms per_group= 0.204ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.250ms frontier=  0.200ms semisort=  0.819ms (keyed= 0.000ms group_by=  0.549ms per_group= 0.104ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.737ms frontier=  0.189ms semisort=  0.506ms (keyed= 0.000ms group_by=  0.274ms per_group= 0.065ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.378ms frontier=  0.114ms semisort=  0.505ms (keyed= 0.000ms group_by=  0.172ms per_group= 0.228ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.214ms frontier=  0.083ms semisort=  0.242ms (keyed= 0.000ms group_by=  0.108ms per_group= 0.047ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.132ms frontier=  0.065ms semisort=  0.157ms (keyed= 0.000ms group_by=  0.059ms per_group= 0.041ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.076ms frontier=  0.047ms semisort=  0.090ms (keyed= 0.000ms group_by=  0.028ms per_group= 0.026ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.041ms frontier=  0.031ms semisort=  0.064ms (keyed= 0.000ms group_by=  0.019ms per_group= 0.024ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.032ms frontier=  0.023ms semisort=  0.029ms (keyed= 0.000ms group_by=  0.010ms per_group= 0.009ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.026ms frontier=  0.009ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.016ms frontier=  0.004ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.007ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.004ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate=  0.433ms frontier=  1.406ms semisort= 63.696ms (keyed= 0.000ms group_by= 30.029ms per_group=17.489ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate= 35.336ms frontier=  7.676ms semisort= 32.321ms (keyed= 0.000ms group_by=  8.973ms per_group= 8.932ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate= 16.783ms frontier=  4.034ms semisort= 16.153ms (keyed= 0.000ms group_by=  3.724ms per_group= 4.820ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate= 14.311ms frontier=  3.749ms semisort= 11.347ms (keyed= 0.000ms group_by=  1.979ms per_group= 4.482ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 10.723ms frontier=  2.760ms semisort=  8.529ms (keyed= 0.000ms group_by=  1.519ms per_group= 3.456ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=  6.475ms frontier=  1.531ms semisort=  5.129ms (keyed= 0.000ms group_by=  1.003ms per_group= 2.221ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  3.001ms frontier=  0.922ms semisort=  2.453ms (keyed= 0.000ms group_by=  0.616ms per_group= 0.914ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  1.536ms frontier=  0.535ms semisort=  1.451ms (keyed= 0.000ms group_by=  0.482ms per_group= 0.490ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  0.837ms frontier=  0.401ms semisort=  2.587ms (keyed= 0.000ms group_by=  1.995ms per_group= 0.269ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  0.550ms frontier=  0.262ms semisort=  1.323ms (keyed= 0.000ms group_by=  0.913ms per_group= 0.194ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.373ms frontier=  0.199ms semisort=  0.793ms (keyed= 0.000ms group_by=  0.491ms per_group= 0.133ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.730ms frontier=  0.179ms semisort=  0.543ms (keyed= 0.000ms group_by=  0.314ms per_group= 0.068ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.416ms frontier=  0.121ms semisort=  0.317ms (keyed= 0.000ms group_by=  0.163ms per_group= 0.050ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.220ms frontier=  0.089ms semisort=  0.218ms (keyed= 0.000ms group_by=  0.108ms per_group= 0.032ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.110ms frontier=  0.054ms semisort=  0.143ms (keyed= 0.000ms group_by=  0.055ms per_group= 0.034ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.084ms frontier=  0.052ms semisort=  0.095ms (keyed= 0.000ms group_by=  0.027ms per_group= 0.032ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.035ms frontier=  0.029ms semisort=  0.057ms (keyed= 0.000ms group_by=  0.019ms per_group= 0.019ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.035ms frontier=  0.036ms semisort=  0.024ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.009ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.026ms frontier=  0.011ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.004ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.012ms frontier=  0.004ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.008ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate=  0.404ms frontier=  1.605ms semisort= 64.505ms (keyed= 0.000ms group_by= 30.046ms per_group=19.580ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate= 37.832ms frontier=  7.468ms semisort= 34.048ms (keyed= 0.000ms group_by=  8.857ms per_group= 8.623ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate= 17.269ms frontier=  4.463ms semisort= 16.575ms (keyed= 0.000ms group_by=  3.674ms per_group= 4.816ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate= 14.127ms frontier=  4.457ms semisort= 11.415ms (keyed= 0.000ms group_by=  1.941ms per_group= 4.345ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 10.509ms frontier=  2.809ms semisort=  8.049ms (keyed= 0.000ms group_by=  1.230ms per_group= 3.330ms)
