file,expected,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
arrays-ops.0.ground.smt2,,1,0,unsat,0.008357,0.000390,0.001420,0.002420,0.000580,0.000000,0.000010,
arrays-ops.0.ground.smt2,,1,1,unsat,0.008249,0.000230,0.001370,0.002430,0.000580,0.000000,0.000010,
arrays-ops.0.ground.smt2,,1,2,unsat,0.007550,0.000210,0.001360,0.002350,0.000580,0.000000,0.000010,
arrays-ops.0.ground.smt2,,1,3,unsat,0.007494,0.000200,0.001350,0.002380,0.000590,0.000000,0.000010,
arrays-ops.0.ground.smt2,,1,4,unsat,0.007835,0.000210,0.001350,0.002530,0.000600,0.000000,0.000010,
arrays-ops.0.ground.smt2,,2,0,unsat,0.009504,0.000210,0.001360,0.002700,0.001090,0.000000,0.000060,
arrays-ops.0.ground.smt2,,2,1,unsat,0.009392,0.000230,0.001370,0.002640,0.001080,0.000000,0.000020,
arrays-ops.0.ground.smt2,,2,2,unsat,0.008986,0.000220,0.001350,0.002460,0.001210,0.000000,0.000060,
arrays-ops.0.ground.smt2,,2,3,unsat,0.008870,0.000190,0.001350,0.002560,0.001300,0.000000,0.000100,
arrays-ops.0.ground.smt2,,2,4,unsat,0.008340,0.000200,0.001360,0.002680,0.000920,0.000000,0.000010,
arrays-ops.0.ground.smt2,,4,0,unsat,0.009324,0.000200,0.001290,0.002480,0.001750,0.000000,0.000070,
arrays-ops.0.ground.smt2,,4,1,unsat,0.010307,0.000220,0.001360,0.003200,0.001720,0.000000,0.000060,
arrays-ops.0.ground.smt2,,4,2,unsat,0.009886,0.000210,0.001400,0.003030,0.001450,0.000000,0.000060,
arrays-ops.0.ground.smt2,,4,3,unsat,0.010905,0.000210,0.001350,0.003200,0.001760,0.000000,0.000060,
arrays-ops.0.ground.smt2,,4,4,unsat,0.010271,0.000200,0.001350,0.003150,0.001800,0.000000,0.000060,
arrays-ops.0.ground.smt2,,8,0,unsat,0.011760,0.000210,0.001370,0.003520,0.002370,0.000000,0.000070,
arrays-ops.0.ground.smt2,,8,1,unsat,0.012509,0.000230,0.001360,0.003570,0.002410,0.000000,0.000070,
arrays-ops.0.ground.smt2,,8,2,unsat,0.011773,0.000200,0.001390,0.003490,0.002350,0.000000,0.000070,
arrays-ops.0.ground.smt2,,8,3,unsat,0.012780,0.000190,0.001430,0.003850,0.002780,0.000000,0.000060,
arrays-ops.0.ground.smt2,,8,4,unsat,0.012429,0.000220,0.001360,0.003490,0.002710,0.000000,0.000070,
arrays-ops.0.ground.smt2,,16,0,unsat,0.016660,0.000210,0.001350,0.005320,0.003840,0.000000,0.000070,
arrays-ops.0.ground.smt2,,16,1,unsat,0.016626,0.000210,0.001430,0.005060,0.004090,0.000000,0.000060,
arrays-ops.0.ground.smt2,,16,2,unsat,0.016836,0.000200,0.001280,0.005920,0.003600,0.000000,0.000060,
arrays-ops.0.ground.smt2,,16,3,unsat,0.016774,0.000220,0.001350,0.005830,0.003360,0.000000,0.000070,
arrays-ops.0.ground.smt2,,16,4,unsat,0.016504,0.000190,0.001350,0.005190,0.004260,0.000000,0.000060,
arrays-ops.0.ground.smt2,,32,0,unsat,0.023495,0.000200,0.001360,0.007660,0.006610,0.000000,0.000060,
arrays-ops.0.ground.smt2,,32,1,unsat,0.024675,0.000230,0.001340,0.007570,0.007120,0.000000,0.000060,
arrays-ops.0.ground.smt2,,32,2,unsat,0.023419,0.000210,0.001370,0.007430,0.006650,0.000000,0.000050,
