workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
2XL,1,0,99964,2665698,1332660,19.534,3.527,811.813,0.000,125.763,44.565
2XL,1,1,1332660,2665302,1331386,321.072,25.777,1066.748,0.000,138.099,73.888
2XL,1,2,1331386,2662670,18,511.799,48.665,1241.255,0.000,385.525,89.674
2XL,1,3,18,0,0,0.020,0.003,0.000,,,
2XL,1,0,99964,2665698,1332660,21.122,3.615,814.039,0.000,125.700,44.428
2XL,1,1,1332660,2665302,1331386,321.161,25.834,1078.496,0.000,143.649,80.606
2XL,1,2,1331386,2662670,18,510.220,48.621,1235.007,0.000,380.347,85.898
2XL,1,3,18,0,0,0.020,0.003,0.000,,,
2XL,1,0,99964,2665698,1332660,22.065,3.542,808.288,0.000,125.332,44.560
2XL,1,1,1332660,2665302,1331386,315.207,25.811,1070.828,0.000,137.786,77.816
2XL,1,2,1331386,2662670,18,515.723,49.038,1322.998,0.000,426.711,111.732
2XL,1,3,18,0,0,0.020,0.003,0.000,,,
2XL,1,0,99964,2665698,1332660,22.437,3.586,809.849,0.000,124.271,44.418
2XL,1,1,1332660,2665302,1331386,315.863,25.805,1086.848,0.000,145.104,83.833
2XL,1,2,1331386,2662670,18,516.270,50.467,1330.621,0.000,425.627,111.850
2XL,1,3,18,0,0,0.021,0.003,0.000,,,
2XL,1,0,99964,2665698,1332660,22.475,3.565,815.237,0.000,125.257,44.513
2XL,1,1,1332660,2665302,1331386,320.228,26.277,1069.787,0.000,138.430,78.701
2XL,1,2,1331386,2662670,18,511.309,50.168,1339.590,0.000,436.810,115.853
2XL,1,3,18,0,0,0.020,0.003,0.000,,,
2XL,1,0,99964,2665698,1332660,22.241,3.517,815.183,0.000,125.835,44.461
2XL,1,1,1332660,2665302,1331386,321.432,26.138,1077.559,0.000,143.178,82.486
2XL,1,2,1331386,2662670,18,512.970,50.150,1338.340,0.000,434.769,117.132
2XL,1,3,18,0,0,0.019,0.003,0.000,,,
2XL,128,0,99964,2665698,1332660,3.071,0.830,37.628,0.000,14.830,6.435
2XL,128,1,1332660,2665302,1331386,18.612,3.766,85.131,0.000,23.598,2.791
2XL,128,2,1331386,2662670,18,16.532,6.111,28.307,0.000,9.463,6.059
2XL,128,3,18,0,0,0.028,0.006,0.000,,,
2XL,128,0,99964,2665698,1332660,2.913,1.850,28.132,0.000,8.495,6.190
2XL,128,1,1332660,2665302,1331386,13.094,3.472,83.056,0.000,19.911,2.608
2XL,128,2,1331386,2662670,18,11.953,4.013,25.701,0.000,9.379,3.401
2XL,128,3,18,0,0,0.029,0.006,0.000,,,
2XL,128,0,99964,2665698,1332660,2.108,0.820,24.809,0.000,8.145,4.060
2XL,128,1,1332660,2665302,1331386,13.013,4.177,68.584,0.000,6.224,2.619
2XL,128,2,1331386,2662670,18,15.015,3.893,26.830,0.000,10.028,3.417
2XL,128,3,18,0,0,0.027,0.006,0.000,,,
2XL,128,0,99964,2665698,1332660,2.067,0.878,25.161,0.000,8.668,4.043
2XL,128,1,1332660,2665302,1331386,11.261,4.048,81.423,0.000,19.234,2.629
2XL,128,2,1331386,2662670,18,11.887,4.065,26.066,0.000,9.622,3.415
2XL,128,3,18,0,0,0.028,0.006,0.000,,,
2XL,128,0,99964,2665698,1332660,1.929,0.875,28.195,0.000,10.275,5.422
2XL,128,1,1332660,2665302,1331386,12.257,3.710,78.180,0.000,15.752,2.614
2XL,128,2,1331386,2662670,18,11.535,4.728,26.106,0.000,9.483,3.455
2XL,128,3,18,0,0,0.032,0.006,0.000,,,
2XL,128,0,99964,2665698,1332660,1.852,0.838,27.103,0.000,8.433,4.728
2XL,128,1,1332660,2665302,1331386,11.553,3.991,69.790,0.000,6.209,2.606
2XL,128,2,1331386,2662670,18,11.676,5.754,26.202,0.000,9.582,3.474
2XL,128,3,18,0,0,0.032,0.006,0.000,,,
2XL,16,0,99964,2665698,1332660,7.758,2.467,74.850,0.000,12.887,17.555
2XL,16,1,1332660,2665302,1331386,33.529,4.240,124.430,0.000,17.038,10.934
2XL,16,2,1331386,2662670,18,48.111,6.648,99.808,0.000,36.102,9.422
2XL,16,3,18,0,0,0.022,0.005,0.000,,,
2XL,16,0,99964,2665698,1332660,2.699,0.838,73.481,0.000,11.122,18.315
2XL,16,1,1332660,2665302,1331386,32.359,3.466,120.555,0.000,11.010,11.462
2XL,16,2,1331386,2662670,18,46.687,5.234,99.448,0.000,36.467,9.129
2XL,16,3,18,0,0,0.020,0.003,0.000,,,
2XL,16,0,99964,2665698,1332660,2.887,0.828,70.672,0.000,10.515,16.235
2XL,16,1,1332660,2665302,1331386,32.766,4.068,121.742,0.000,12.729,11.232
2XL,16,2,1331386,2662670,18,46.984,4.158,100.679,0.000,36.890,9.422
