workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_seq,0,1,16,3.2999
small,1000,4,10000,2000,1,nelson_seq,1,1,16,3.2035
small,1000,4,10000,2000,1,nelson_seq,2,1,16,3.1113
small,1000,4,10000,2000,1,nelson_seq,3,1,16,3.0556
small,1000,4,10000,2000,1,nelson_seq,4,1,16,3.1733
small,1000,4,10000,2000,1,par_close,0,1,16,6.0892
small,1000,4,10000,2000,1,par_close,1,1,16,6.0114
small,1000,4,10000,2000,1,par_close,2,1,16,5.9666
small,1000,4,10000,2000,1,par_close,3,1,16,5.9689
small,1000,4,10000,2000,1,par_close,4,1,16,5.9580
medium,10000,8,200000,20000,1,nelson_seq,0,1,16,72.9102
medium,10000,8,200000,20000,1,nelson_seq,1,1,16,75.3559
medium,10000,8,200000,20000,1,nelson_seq,2,1,16,70.1320
medium,10000,8,200000,20000,1,nelson_seq,3,1,16,63.1306
medium,10000,8,200000,20000,1,nelson_seq,4,1,16,63.7808
medium,10000,8,200000,20000,1,par_close,0,1,16,145.1727
medium,10000,8,200000,20000,1,par_close,1,1,16,151.4635
medium,10000,8,200000,20000,1,par_close,2,1,16,150.3075
medium,10000,8,200000,20000,1,par_close,3,1,16,152.7001
medium,10000,8,200000,20000,1,par_close,4,1,16,151.8263
large,50000,16,1000000,100000,1,nelson_seq,0,1,16,936.1474
large,50000,16,1000000,100000,1,nelson_seq,1,1,16,944.8001
large,50000,16,1000000,100000,1,nelson_seq,2,1,16,931.4182
large,50000,16,1000000,100000,1,nelson_seq,3,1,16,942.0324
large,50000,16,1000000,100000,1,nelson_seq,4,1,16,934.2393
large,50000,16,1000000,100000,1,par_close,0,1,16,1146.3957
large,50000,16,1000000,100000,1,par_close,1,1,16,1171.3551
large,50000,16,1000000,100000,1,par_close,2,1,16,1173.6916
large,50000,16,1000000,100000,1,par_close,3,1,16,1181.3093
large,50000,16,1000000,100000,1,par_close,4,1,16,1175.2198
deep-s,1000,4,10000,2000,3,nelson_seq,0,1,16,1.9763
deep-s,1000,4,10000,2000,3,nelson_seq,1,1,16,1.9621
deep-s,1000,4,10000,2000,3,nelson_seq,2,1,16,1.9351
deep-s,1000,4,10000,2000,3,nelson_seq,3,1,16,1.9423
deep-s,1000,4,10000,2000,3,nelson_seq,4,1,16,2.3477
deep-s,1000,4,10000,2000,3,par_close,0,1,16,4.6916
deep-s,1000,4,10000,2000,3,par_close,1,1,16,4.5517
deep-s,1000,4,10000,2000,3,par_close,2,1,16,4.5322
deep-s,1000,4,10000,2000,3,par_close,3,1,16,4.5421
deep-s,1000,4,10000,2000,3,par_close,4,1,16,4.5598
deep-m,10000,8,200000,20000,3,nelson_seq,0,1,16,71.1364
deep-m,10000,8,200000,20000,3,nelson_seq,1,1,16,70.2506
deep-m,10000,8,200000,20000,3,nelson_seq,2,1,16,69.4952
deep-m,10000,8,200000,20000,3,nelson_seq,3,1,16,67.3289
deep-m,10000,8,200000,20000,3,nelson_seq,4,1,16,67.4986
deep-m,10000,8,200000,20000,3,par_close,0,1,16,115.4192
deep-m,10000,8,200000,20000,3,par_close,1,1,16,115.2826
deep-m,10000,8,200000,20000,3,par_close,2,1,16,114.0453
deep-m,10000,8,200000,20000,3,par_close,3,1,16,116.2968
deep-m,10000,8,200000,20000,3,par_close,4,1,16,114.3184
deep-l,50000,16,1000000,100000,3,nelson_seq,0,1,16,859.4357
deep-l,50000,16,1000000,100000,3,nelson_seq,1,1,16,857.6633
deep-l,50000,16,1000000,100000,3,nelson_seq,2,1,16,859.3996
deep-l,50000,16,1000000,100000,3,nelson_seq,3,1,16,858.5502
deep-l,50000,16,1000000,100000,3,nelson_seq,4,1,16,859.6934
deep-l,50000,16,1000000,100000,3,par_close,0,1,16,1097.1211
deep-l,50000,16,1000000,100000,3,par_close,1,1,16,1116.0260
deep-l,50000,16,1000000,100000,3,par_close,2,1,16,1115.0806
deep-l,50000,16,1000000,100000,3,par_close,3,1,16,1122.5421
