family,n,d,classes,merges,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
chain,5600,2,11202,1,nelson_seq,0,1,16,1.0933
chain,5600,2,11202,1,nelson_seq,1,1,16,1.0109
chain,5600,2,11202,1,nelson_seq,2,1,16,1.0053
chain,5600,2,11202,1,nelson_seq,3,1,16,1.0292
chain,5600,2,11202,1,nelson_seq,4,1,16,1.0388
chain,5600,2,11202,1,par_close,0,1,16,39.0975
chain,5600,2,11202,1,par_close,1,1,16,38.8642
chain,5600,2,11202,1,par_close,2,1,16,38.6037
chain,5600,2,11202,1,par_close,3,1,16,38.7412
chain,5600,2,11202,1,par_close,4,1,16,38.7748
chain,5600,2,11202,1,par_close,0,2,16,65.9503
chain,5600,2,11202,1,par_close,1,2,16,67.2639
chain,5600,2,11202,1,par_close,2,2,16,67.2574
chain,5600,2,11202,1,par_close,3,2,16,67.4234
chain,5600,2,11202,1,par_close,4,2,16,67.2945
chain,5600,2,11202,1,par_close,0,4,16,52.4130
chain,5600,2,11202,1,par_close,1,4,16,52.2148
chain,5600,2,11202,1,par_close,2,4,16,52.1733
chain,5600,2,11202,1,par_close,3,4,16,52.2782
chain,5600,2,11202,1,par_close,4,4,16,51.9431
chain,5600,2,11202,1,par_close,0,8,16,102.3602
chain,5600,2,11202,1,par_close,1,8,16,103.1900
chain,5600,2,11202,1,par_close,2,8,16,102.8464
chain,5600,2,11202,1,par_close,3,8,16,102.8243
chain,5600,2,11202,1,par_close,4,8,16,87.8012
chain,5600,2,11202,1,par_close,0,16,16,45.6302
chain,5600,2,11202,1,par_close,1,16,16,46.1247
chain,5600,2,11202,1,par_close,2,16,16,45.3425
chain,5600,2,11202,1,par_close,3,16,16,45.9242
chain,5600,2,11202,1,par_close,4,16,16,46.1366
chain,5600,2,11202,1,par_close,0,32,16,48.1612
chain,5600,2,11202,1,par_close,1,32,16,48.5673
chain,5600,2,11202,1,par_close,2,32,16,47.8530
chain,5600,2,11202,1,par_close,3,32,16,48.5308
chain,5600,2,11202,1,par_close,4,32,16,48.3702
chain,5600,2,11202,1,par_close,0,64,16,54.2268
chain,5600,2,11202,1,par_close,1,64,16,49.1125
chain,5600,2,11202,1,par_close,2,64,16,45.7149
chain,5600,2,11202,1,par_close,3,64,16,46.0563
chain,5600,2,11202,1,par_close,4,64,16,46.5000
chain,5600,2,11202,1,par_close,0,128,16,61.7897
chain,5600,2,11202,1,par_close,1,128,16,62.3965
chain,5600,2,11202,1,par_close,2,128,16,58.6220
chain,5600,2,11202,1,par_close,3,128,16,62.5118
chain,5600,2,11202,1,par_close,4,128,16,77.6229
chain,5600,2,11202,1,par_close,0,144,16,57.7100
chain,5600,2,11202,1,par_close,1,144,16,76.1890
chain,5600,2,11202,1,par_close,2,144,16,50.4175
chain,5600,2,11202,1,par_close,3,144,16,48.9100
chain,5600,2,11202,1,par_close,4,144,16,48.3439
chain,6100,2,12202,1,nelson_seq,0,1,16,1.6812
chain,6100,2,12202,1,nelson_seq,1,1,16,1.4760
chain,6100,2,12202,1,nelson_seq,2,1,16,1.4908
chain,6100,2,12202,1,nelson_seq,3,1,16,1.5173
chain,6100,2,12202,1,nelson_seq,4,1,16,1.4900
chain,6100,2,12202,1,par_close,0,1,16,57.3741
chain,6100,2,12202,1,par_close,1,1,16,57.3714
chain,6100,2,12202,1,par_close,2,1,16,57.3370
chain,6100,2,12202,1,par_close,3,1,16,42.0537
chain,6100,2,12202,1,par_close,4,1,16,42.4881
chain,6100,2,12202,1,par_close,0,2,16,56.7617
chain,6100,2,12202,1,par_close,1,2,16,56.9558
chain,6100,2,12202,1,par_close,2,2,16,44.3916
chain,6100,2,12202,1,par_close,3,2,16,43.7532
