[synthetic_bench] cube n=115 d=2 classes=6083728 merges=115 ...
[pe] round=  0 work=      230 frontier=  9125250 next=  3041750 consolidate=  6.509ms frontier=  4.621ms semisort=205.669ms (keyed=23.908ms group_by=117.576ms per_group=22.094ms)
[pe] round=  1 work=  3041750 frontier=  3041750 next=  1048576 consolidate= 70.399ms frontier= 17.541ms semisort= 57.468ms (keyed= 1.619ms group_by= 16.457ms per_group=10.066ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   944598 consolidate= 30.728ms frontier=  9.050ms semisort= 32.284ms (keyed= 0.571ms group_by=  9.741ms per_group= 6.207ms)
[pe] round=  3 work=   944598 frontier=   944598 next=   524288 consolidate= 34.967ms frontier=  7.658ms semisort= 22.653ms (keyed= 0.849ms group_by=  6.495ms per_group= 4.433ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 20.317ms frontier=  4.254ms semisort= 12.584ms (keyed= 0.343ms group_by=  4.193ms per_group= 2.203ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  8.488ms frontier=  2.087ms semisort=  8.226ms (keyed= 0.193ms group_by=  3.791ms per_group= 1.192ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  4.141ms frontier=  1.218ms semisort=  4.742ms (keyed= 0.112ms group_by=  2.426ms per_group= 0.615ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.995ms frontier=  0.571ms semisort=  2.653ms (keyed= 0.056ms group_by=  1.410ms per_group= 0.356ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  1.030ms frontier=  0.381ms semisort=  1.412ms (keyed= 0.033ms group_by=  0.721ms per_group= 0.239ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.627ms frontier=  0.264ms semisort=  0.895ms (keyed= 0.023ms group_by=  0.382ms per_group= 0.225ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.307ms frontier=  0.330ms semisort=  1.570ms (keyed= 0.017ms group_by=  1.193ms per_group= 0.079ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.644ms frontier=  0.168ms semisort=  0.773ms (keyed= 0.012ms group_by=  0.544ms per_group= 0.052ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.353ms frontier=  0.090ms semisort=  0.483ms (keyed= 0.011ms group_by=  0.305ms per_group= 0.043ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.228ms frontier=  0.073ms semisort=  0.244ms (keyed= 0.011ms group_by=  0.129ms per_group= 0.033ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.117ms frontier=  0.046ms semisort=  0.139ms (keyed= 0.003ms group_by=  0.064ms per_group= 0.027ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.081ms frontier=  0.041ms semisort=  0.085ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.023ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.054ms frontier=  0.020ms semisort=  0.050ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.015ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.033ms frontier=  0.014ms semisort=  0.039ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.011ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.019ms frontier=  0.006ms semisort=  0.013ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.004ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.025ms frontier=  0.004ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.007ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      230 frontier=  9125250 next=  3041750 consolidate=  1.041ms frontier=  1.941ms semisort=109.306ms (keyed= 5.254ms group_by= 43.900ms per_group=20.704ms)
[pe] round=  1 work=  3041750 frontier=  3041750 next=  1048576 consolidate= 68.294ms frontier= 18.503ms semisort= 54.217ms (keyed= 1.580ms group_by= 15.696ms per_group= 8.477ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   944598 consolidate= 31.907ms frontier=  8.682ms semisort= 28.346ms (keyed= 0.580ms group_by=  7.081ms per_group= 6.292ms)
[pe] round=  3 work=   944598 frontier=   944598 next=   524288 consolidate= 28.597ms frontier=  7.657ms semisort= 21.367ms (keyed= 0.523ms group_by=  5.961ms per_group= 4.194ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 17.051ms frontier=  4.321ms semisort= 13.525ms (keyed= 0.329ms group_by=  4.308ms per_group= 2.238ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 10.844ms frontier=  2.029ms semisort=  7.319ms (keyed= 0.173ms group_by=  2.802ms per_group= 1.208ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  4.276ms frontier=  1.060ms semisort=  5.821ms (keyed= 0.096ms group_by=  2.398ms per_group= 0.639ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  2.068ms frontier=  0.604ms semisort=  2.678ms (keyed= 0.053ms group_by=  1.429ms per_group= 0.323ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  1.082ms frontier=  0.418ms semisort=  1.432ms (keyed= 0.034ms group_by=  0.749ms per_group= 0.210ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.684ms frontier=  0.301ms semisort=  0.795ms (keyed= 0.022ms group_by=  0.378ms per_group= 0.134ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.425ms frontier=  0.344ms semisort=  1.536ms (keyed= 0.017ms group_by=  1.150ms per_group= 0.077ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.690ms frontier=  0.172ms semisort=  0.792ms (keyed= 0.019ms group_by=  0.555ms per_group= 0.054ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.390ms frontier=  0.096ms semisort=  0.474ms (keyed= 0.011ms group_by=  0.305ms per_group= 0.043ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.230ms frontier=  0.067ms semisort=  0.264ms (keyed= 0.008ms group_by=  0.147ms per_group= 0.033ms)
