[synthetic_bench] cube n=125 d=2 classes=7812748 merges=125 ...
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  7.825ms frontier=  5.492ms semisort=313.033ms (keyed=27.733ms group_by=227.936ms per_group=18.501ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 55.240ms frontier= 15.152ms semisort=106.664ms (keyed= 9.742ms group_by= 64.764ms per_group= 7.727ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 30.227ms frontier=  8.797ms semisort= 27.478ms (keyed= 0.817ms group_by=  7.831ms per_group= 5.213ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 23.732ms frontier=  7.584ms semisort= 18.415ms (keyed= 0.523ms group_by=  6.337ms per_group= 2.381ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 12.720ms frontier=  4.268ms semisort= 10.578ms (keyed= 0.287ms group_by=  3.498ms per_group= 2.537ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  6.251ms frontier=  1.754ms semisort=  6.057ms (keyed= 0.161ms group_by=  2.887ms per_group= 0.734ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.053ms frontier=  0.910ms semisort=  5.349ms (keyed= 0.079ms group_by=  3.603ms per_group= 0.389ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.515ms frontier=  0.556ms semisort=  2.842ms (keyed= 0.048ms group_by=  1.901ms per_group= 0.248ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.853ms frontier=  0.363ms semisort=  1.286ms (keyed= 0.029ms group_by=  0.681ms per_group= 0.196ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  3.081ms frontier=  0.260ms semisort=  0.832ms (keyed= 0.025ms group_by=  0.450ms per_group= 0.114ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.580ms frontier=  0.345ms semisort=  1.974ms (keyed= 0.018ms group_by=  1.551ms per_group= 0.076ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.841ms frontier=  0.192ms semisort=  1.073ms (keyed= 0.019ms group_by=  0.805ms per_group= 0.061ms)
