[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  4.848ms frontier= 10.177ms semisort=1346.795ms (keyed=24.632ms group_by=506.872ms per_group=357.368ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate=619.708ms frontier=128.244ms semisort=477.007ms (keyed=15.356ms group_by= 75.116ms per_group=86.443ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate=268.206ms frontier= 58.390ms semisort=207.241ms (keyed= 2.093ms group_by= 35.645ms per_group=51.076ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate=134.098ms frontier= 28.397ms semisort= 99.963ms (keyed= 1.090ms group_by= 24.592ms per_group=18.911ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate= 67.827ms frontier= 14.520ms semisort= 49.740ms (keyed= 0.548ms group_by=  8.967ms per_group=13.449ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate= 56.331ms frontier= 11.795ms semisort= 37.983ms (keyed= 0.550ms group_by=  6.601ms per_group= 9.845ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 34.226ms frontier=  7.986ms semisort= 19.940ms (keyed= 0.290ms group_by=  3.793ms per_group= 5.324ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate= 17.499ms frontier=  3.115ms semisort= 10.527ms (keyed= 0.143ms group_by=  2.161ms per_group= 2.668ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  9.161ms frontier=  1.222ms semisort=  4.733ms (keyed= 0.078ms group_by=  1.098ms per_group= 1.035ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  4.246ms frontier=  0.496ms semisort=  1.864ms (keyed= 0.035ms group_by=  0.441ms per_group= 0.472ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  2.030ms frontier=  0.211ms semisort=  0.811ms (keyed= 0.017ms group_by=  0.251ms per_group= 0.214ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.997ms frontier=  0.101ms semisort=  0.381ms (keyed= 0.008ms group_by=  0.112ms per_group= 0.121ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.500ms frontier=  0.048ms semisort=  0.179ms (keyed= 0.004ms group_by=  0.053ms per_group= 0.061ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.243ms frontier=  0.022ms semisort=  0.087ms (keyed= 0.002ms group_by=  0.023ms per_group= 0.030ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.121ms frontier=  0.012ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.015ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.060ms frontier=  0.006ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.030ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.014ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
