[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  1.853ms frontier=  3.096ms semisort=460.230ms (keyed=13.372ms group_by=157.911ms per_group=115.746ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate=102098.974ms frontier= 73.663ms semisort=223.282ms (keyed= 4.785ms group_by= 37.238ms per_group=43.693ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate=148.919ms frontier= 32.545ms semisort= 99.373ms (keyed= 1.089ms group_by= 18.918ms per_group=19.784ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 70.608ms frontier= 16.131ms semisort= 51.624ms (keyed= 0.565ms group_by= 12.107ms per_group=10.777ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate= 35.947ms frontier=  8.926ms semisort= 26.815ms (keyed= 0.313ms group_by=  4.695ms per_group= 7.712ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate= 29.833ms frontier=  6.935ms semisort= 19.495ms (keyed= 0.304ms group_by=  3.647ms per_group= 5.706ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 18.226ms frontier=  4.119ms semisort=  9.919ms (keyed= 0.132ms group_by=  1.976ms per_group= 2.758ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  9.271ms frontier=  1.814ms semisort=  5.766ms (keyed= 0.066ms group_by=  1.294ms per_group= 1.360ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  4.764ms frontier=  0.709ms semisort=  2.548ms (keyed= 0.048ms group_by=  0.592ms per_group= 0.528ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.443ms frontier=  0.314ms semisort=  1.105ms (keyed= 0.020ms group_by=  0.279ms per_group= 0.260ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.055ms frontier=  0.149ms semisort=  0.677ms (keyed= 0.011ms group_by=  0.286ms per_group= 0.152ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.540ms frontier=  0.086ms semisort=  0.288ms (keyed= 0.006ms group_by=  0.110ms per_group= 0.075ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.261ms frontier=  0.041ms semisort=  0.142ms (keyed= 0.004ms group_by=  0.052ms per_group= 0.042ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.130ms frontier=  0.031ms semisort=  0.082ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.021ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.073ms frontier=  0.011ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.012ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.041ms frontier=  0.006ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.028ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.021ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.015ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
