[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  1.185ms frontier=  1.752ms semisort=227.259ms (keyed= 8.008ms group_by= 70.629ms per_group=56.885ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate=153.725ms frontier= 30.638ms semisort=103.788ms (keyed= 1.243ms group_by= 20.122ms per_group=20.819ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 75.846ms frontier= 16.586ms semisort= 56.937ms (keyed= 0.852ms group_by= 10.985ms per_group=10.107ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 37.020ms frontier=  8.803ms semisort= 27.259ms (keyed= 0.385ms group_by=  6.076ms per_group= 6.558ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate= 21.379ms frontier=  4.974ms semisort= 14.869ms (keyed= 0.159ms group_by=  2.827ms per_group= 4.254ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate= 16.387ms frontier=  3.934ms semisort= 11.164ms (keyed= 0.172ms group_by=  2.058ms per_group= 2.850ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  9.874ms frontier=  2.307ms semisort=  5.917ms (keyed= 0.091ms group_by=  1.242ms per_group= 1.437ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  5.238ms frontier=  1.136ms semisort=  3.465ms (keyed= 0.057ms group_by=  0.754ms per_group= 0.896ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  2.530ms frontier=  0.531ms semisort=  1.388ms (keyed= 0.029ms group_by=  0.338ms per_group= 0.357ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.569ms frontier=  0.179ms semisort=  0.634ms (keyed= 0.014ms group_by=  0.161ms per_group= 0.150ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.684ms frontier=  0.125ms semisort=  0.569ms (keyed= 0.009ms group_by=  0.309ms per_group= 0.085ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.325ms frontier=  0.077ms semisort=  0.295ms (keyed= 0.006ms group_by=  0.138ms per_group= 0.049ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.157ms frontier=  0.038ms semisort=  0.155ms (keyed= 0.004ms group_by=  0.060ms per_group= 0.034ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.108ms frontier=  0.026ms semisort=  0.073ms (keyed= 0.002ms group_by=  0.029ms per_group= 0.016ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.050ms frontier=  0.013ms semisort=  0.050ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.010ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.030ms frontier=  0.009ms semisort=  0.027ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.009ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.019ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.017ms frontier=  0.004ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.008ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
