[synthetic_bench] cube n=105 d=2 classes=4630708 merges=105 ...
[pe] round=  0 work=      210 frontier=  6945750 next=  2315250 consolidate=  1.500ms frontier=  2.300ms semisort=157.986ms (keyed=10.398ms group_by= 52.213ms per_group=31.931ms)
[pe] round=  1 work=  2315250 frontier=  2315250 next=  1048576 consolidate= 92.594ms frontier= 20.634ms semisort= 70.177ms (keyed= 0.938ms group_by= 14.643ms per_group=14.184ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 47.289ms frontier= 12.550ms semisort= 34.216ms (keyed= 0.489ms group_by=  7.175ms per_group= 7.429ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 24.609ms frontier=  6.371ms semisort= 17.840ms (keyed= 0.255ms group_by=  4.022ms per_group= 4.105ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   218098 consolidate= 14.325ms frontier=  3.669ms semisort= 11.019ms (keyed= 0.140ms group_by=  2.352ms per_group= 3.184ms)
[pe] round=  5 work=   218098 frontier=   218098 next=   131072 consolidate= 11.723ms frontier=  3.114ms semisort=  8.135ms (keyed= 0.179ms group_by=  1.719ms per_group= 2.175ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  9.339ms frontier=  2.424ms semisort=  5.319ms (keyed= 0.075ms group_by=  1.554ms per_group= 1.242ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  3.773ms frontier=  0.717ms semisort=  2.391ms (keyed= 0.072ms group_by=  0.605ms per_group= 0.560ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  1.796ms frontier=  0.383ms semisort=  1.346ms (keyed= 0.029ms group_by=  0.381ms per_group= 0.262ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.590ms frontier=  0.213ms semisort=  0.716ms (keyed= 0.078ms group_by=  0.171ms per_group= 0.168ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.599ms frontier=  0.137ms semisort=  0.533ms (keyed= 0.011ms group_by=  0.342ms per_group= 0.058ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.244ms frontier=  0.076ms semisort=  0.274ms (keyed= 0.006ms group_by=  0.126ms per_group= 0.045ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.134ms frontier=  0.036ms semisort=  0.140ms (keyed= 0.004ms group_by=  0.055ms per_group= 0.018ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.067ms frontier=  0.021ms semisort=  0.060ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.011ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.037ms frontier=  0.013ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.009ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.021ms frontier=  0.007ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.006ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.005ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.006ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
