[synthetic_bench] cube n=155 d=2 classes=14895808 merges=155 ...
[pe] round=  0 work=      310 frontier= 22343250 next=  7447750 consolidate=  2.876ms frontier= 25.611ms semisort=1384.779ms (keyed=141.560ms group_by=650.249ms per_group=249.716ms)
[pe] round=  1 work=  7447750 frontier=  7447750 next=  3253446 consolidate=548.774ms frontier= 97.216ms semisort=630.188ms (keyed=52.284ms group_by=195.938ms per_group=82.231ms)
[pe] round=  2 work=  3253446 frontier=  3253446 next=  2097152 consolidate=305.158ms frontier= 57.989ms semisort=222.043ms (keyed= 2.408ms group_by= 33.129ms per_group=47.530ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=159.353ms frontier= 45.287ms semisort=102.666ms (keyed= 1.102ms group_by= 20.162ms per_group=23.797ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 81.773ms frontier= 21.422ms semisort= 51.861ms (keyed= 0.610ms group_by=  9.080ms per_group=13.134ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 42.582ms frontier= 10.651ms semisort= 27.162ms (keyed= 0.287ms group_by=  4.740ms per_group= 6.818ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 21.203ms frontier=  5.076ms semisort= 13.945ms (keyed= 0.177ms group_by=  2.446ms per_group= 3.425ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 10.483ms frontier=  2.601ms semisort=  7.616ms (keyed= 0.088ms group_by=  1.486ms per_group= 1.768ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  5.559ms frontier=  0.879ms semisort=  3.945ms (keyed= 0.053ms group_by=  0.793ms per_group= 0.918ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.422ms frontier=  0.395ms semisort=  1.338ms (keyed= 0.022ms group_by=  0.384ms per_group= 0.295ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.556ms frontier=  0.184ms semisort=  0.605ms (keyed= 0.014ms group_by=  0.136ms per_group= 0.158ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.659ms frontier=  0.130ms semisort=  0.454ms (keyed= 0.009ms group_by=  0.214ms per_group= 0.074ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.325ms frontier=  0.072ms semisort=  0.265ms (keyed= 0.008ms group_by=  0.122ms per_group= 0.039ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.167ms frontier=  0.057ms semisort=  0.141ms (keyed= 0.004ms group_by=  0.064ms per_group= 0.025ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.094ms frontier=  0.026ms semisort=  0.065ms (keyed= 0.002ms group_by=  0.023ms per_group= 0.015ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.046ms frontier=  0.014ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.008ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.027ms frontier=  0.007ms semisort=  0.022ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.019ms frontier=  0.005ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.003ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.013ms frontier=  0.002ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.004ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
