[synthetic_bench] cube n=110 d=2 classes=5324218 merges=110 ...
[pe] round=  0 work=      220 frontier=  7986000 next=  2662000 consolidate=  1.818ms frontier=  3.217ms semisort=609.372ms (keyed=36.196ms group_by=228.641ms per_group=134.813ms)
[pe] round=  1 work=  2662000 frontier=  2662000 next=  1048576 consolidate=369.082ms frontier= 64.541ms semisort=352.952ms (keyed=12.731ms group_by= 81.365ms per_group=48.490ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   564848 consolidate=155.753ms frontier= 30.299ms semisort=109.760ms (keyed= 1.549ms group_by= 28.708ms per_group=18.983ms)
[pe] round=  3 work=   564848 frontier=   564848 next=   524288 consolidate= 75.231ms frontier= 18.086ms semisort= 58.622ms (keyed= 1.028ms group_by=  9.921ms per_group=16.743ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 73.598ms frontier= 16.613ms semisort= 45.677ms (keyed= 0.564ms group_by=  8.463ms per_group=11.111ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 36.822ms frontier=  8.574ms semisort= 25.228ms (keyed= 0.309ms group_by=  4.685ms per_group= 6.841ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 20.379ms frontier=  4.660ms semisort= 12.266ms (keyed= 0.180ms group_by=  2.187ms per_group= 2.975ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  9.597ms frontier=  2.022ms semisort=  6.026ms (keyed= 0.075ms group_by=  1.160ms per_group= 1.710ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  5.043ms frontier=  0.927ms semisort=  2.830ms (keyed= 0.046ms group_by=  0.610ms per_group= 0.700ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.529ms frontier=  0.360ms semisort=  1.277ms (keyed= 0.026ms group_by=  0.317ms per_group= 0.266ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.126ms frontier=  0.172ms semisort=  0.701ms (keyed= 0.012ms group_by=  0.260ms per_group= 0.138ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.572ms frontier=  0.101ms semisort=  0.359ms (keyed= 0.008ms group_by=  0.148ms per_group= 0.080ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.300ms frontier=  0.044ms semisort=  0.163ms (keyed= 0.004ms group_by=  0.057ms per_group= 0.036ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.138ms frontier=  0.027ms semisort=  0.088ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.024ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.070ms frontier=  0.011ms semisort=  0.052ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.016ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.041ms frontier=  0.007ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.008ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.019ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.015ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
