[synthetic_bench] cube n=115 d=2 classes=6083728 merges=115 ...
[pe] round=  0 work=      230 frontier=  9125250 next=  3041750 consolidate=  3.159ms frontier=  6.657ms semisort=1265.864ms (keyed=56.099ms group_by=377.029ms per_group=339.852ms)
[pe] round=  1 work=  3041750 frontier=  3041750 next=  1048576 consolidate=816.961ms frontier=183.198ms semisort=732.899ms (keyed=32.630ms group_by=150.674ms per_group=105.543ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   944598 consolidate=317.428ms frontier= 68.446ms semisort=300.759ms (keyed= 2.203ms group_by= 43.362ms per_group=63.289ms)
[pe] round=  3 work=   944598 frontier=   944598 next=   524288 consolidate=265.060ms frontier= 57.633ms semisort=165.938ms (keyed= 3.164ms group_by= 32.120ms per_group=41.404ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=143.786ms frontier= 29.551ms semisort= 89.376ms (keyed= 0.998ms group_by= 16.305ms per_group=23.285ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 72.363ms frontier= 15.037ms semisort= 45.314ms (keyed= 0.529ms group_by=  7.898ms per_group=11.870ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 37.772ms frontier=  8.385ms semisort= 28.975ms (keyed= 0.274ms group_by=  3.916ms per_group= 6.207ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate= 19.056ms frontier=  3.626ms semisort= 13.187ms (keyed= 0.138ms group_by=  2.040ms per_group= 3.046ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  9.351ms frontier=  1.402ms semisort=  5.062ms (keyed= 0.062ms group_by=  1.063ms per_group= 1.153ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  4.490ms frontier=  0.563ms semisort=  2.181ms (keyed= 0.033ms group_by=  0.529ms per_group= 0.465ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  2.126ms frontier=  0.181ms semisort=  0.811ms (keyed= 0.016ms group_by=  0.207ms per_group= 0.229ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  1.066ms frontier=  0.097ms semisort=  0.393ms (keyed= 0.008ms group_by=  0.122ms per_group= 0.112ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.484ms frontier=  0.043ms semisort=  0.174ms (keyed= 0.004ms group_by=  0.053ms per_group= 0.056ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.246ms frontier=  0.021ms semisort=  0.085ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.029ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.123ms frontier=  0.011ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.015ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.065ms frontier=  0.006ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.033ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.019ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.010ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
