[synthetic_bench] cube n=115 d=2 classes=6083728 merges=115 ...
[pe] round=  0 work=      230 frontier=  9125250 next=  3041750 consolidate=  1.453ms frontier=  2.272ms semisort=392.567ms (keyed=10.684ms group_by=163.352ms per_group=83.144ms)
[pe] round=  1 work=  3041750 frontier=  3041750 next=  1048576 consolidate=293.754ms frontier= 48.886ms semisort=296.777ms (keyed=32.468ms group_by= 80.754ms per_group=28.342ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   944598 consolidate=117.936ms frontier= 19.502ms semisort= 78.029ms (keyed= 0.692ms group_by= 17.049ms per_group=20.552ms)
[pe] round=  3 work=   944598 frontier=   944598 next=   524288 consolidate= 78.507ms frontier= 17.480ms semisort= 48.328ms (keyed= 0.847ms group_by= 10.800ms per_group=12.124ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 45.327ms frontier= 10.211ms semisort= 25.103ms (keyed= 0.635ms group_by=  4.703ms per_group= 6.455ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 23.402ms frontier=  5.433ms semisort= 14.632ms (keyed= 0.166ms group_by=  2.830ms per_group= 4.176ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 12.195ms frontier=  2.649ms semisort=  7.174ms (keyed= 0.093ms group_by=  1.444ms per_group= 1.692ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  6.211ms frontier=  1.158ms semisort=  3.722ms (keyed= 0.054ms group_by=  0.967ms per_group= 1.025ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  3.268ms frontier=  0.608ms semisort=  2.239ms (keyed= 0.077ms group_by=  0.545ms per_group= 0.651ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.308ms frontier=  0.228ms semisort=  2.787ms (keyed= 0.016ms group_by=  0.209ms per_group= 0.195ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.992ms frontier=  0.178ms semisort=  0.888ms (keyed= 0.012ms group_by=  0.477ms per_group= 0.117ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.410ms frontier=  0.072ms semisort=  0.294ms (keyed= 0.007ms group_by=  0.144ms per_group= 0.047ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.179ms frontier=  0.049ms semisort=  0.143ms (keyed= 0.004ms group_by=  0.059ms per_group= 0.033ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.094ms frontier=  0.027ms semisort=  0.098ms (keyed= 0.002ms group_by=  0.033ms per_group= 0.018ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.060ms frontier=  0.013ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.010ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.041ms frontier=  0.007ms semisort=  0.029ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.031ms frontier=  0.005ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.023ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.011ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.006ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
