[synthetic_bench] cube n=115 d=2 classes=6083728 merges=115 ...
[pe] round=  0 work=      230 frontier=  9125250 next=  3041750 consolidate=  1.987ms frontier=  2.848ms semisort=360.757ms (keyed=13.103ms group_by=182.343ms per_group=69.783ms)
[pe] round=  1 work=  3041750 frontier=  3041750 next=  1048576 consolidate=201.608ms frontier= 32.739ms semisort=283.796ms (keyed= 9.873ms group_by= 67.046ms per_group=17.483ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   944598 consolidate= 82.311ms frontier= 13.850ms semisort= 51.617ms (keyed= 0.455ms group_by= 12.894ms per_group=14.812ms)
[pe] round=  3 work=   944598 frontier=   944598 next=   524288 consolidate= 52.809ms frontier= 13.507ms semisort= 34.292ms (keyed= 0.805ms group_by=  6.792ms per_group= 8.212ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 42.147ms frontier= 10.983ms semisort= 20.326ms (keyed= 0.301ms group_by=  4.054ms per_group= 5.748ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 20.187ms frontier=  4.246ms semisort= 10.394ms (keyed= 0.108ms group_by=  2.293ms per_group= 2.450ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  8.501ms frontier=  2.515ms semisort=  5.867ms (keyed= 0.123ms group_by=  1.300ms per_group= 1.249ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  4.178ms frontier=  0.821ms semisort=  2.711ms (keyed= 0.065ms group_by=  0.754ms per_group= 0.573ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  2.124ms frontier=  0.464ms semisort=  1.727ms (keyed= 0.090ms group_by=  0.462ms per_group= 0.376ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.656ms frontier=  0.240ms semisort=  0.676ms (keyed= 0.021ms group_by=  0.147ms per_group= 0.155ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.680ms frontier=  0.173ms semisort=  0.635ms (keyed= 0.010ms group_by=  0.304ms per_group= 0.115ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.369ms frontier=  0.117ms semisort=  0.256ms (keyed= 0.007ms group_by=  0.130ms per_group= 0.038ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.138ms frontier=  0.040ms semisort=  0.119ms (keyed= 0.004ms group_by=  0.057ms per_group= 0.020ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.088ms frontier=  0.025ms semisort=  0.073ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.018ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.055ms frontier=  0.015ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.009ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.050ms frontier=  0.008ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.023ms frontier=  0.005ms semisort=  0.015ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.006ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
