[synthetic_bench] cube n=120 d=2 classes=6912238 merges=120 ...
[pe] round=  0 work=      240 frontier= 10368000 next=  3456000 consolidate=  3.705ms frontier= 12.851ms semisort=1623.005ms (keyed=72.171ms group_by=478.271ms per_group=439.737ms)
[pe] round=  1 work=  3456000 frontier=  3456000 next=  1358848 consolidate=970.145ms frontier=190.205ms semisort=788.572ms (keyed=15.442ms group_by=148.095ms per_group=154.389ms)
[pe] round=  2 work=  1358848 frontier=  1358848 next=  1048576 consolidate=375.823ms frontier= 76.121ms semisort=286.650ms (keyed= 4.700ms group_by= 44.151ms per_group=73.448ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate=276.738ms frontier= 58.698ms semisort=175.921ms (keyed= 2.062ms group_by= 35.087ms per_group=41.831ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=134.392ms frontier= 29.922ms semisort= 86.525ms (keyed= 0.989ms group_by= 16.033ms per_group=21.392ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 68.680ms frontier= 15.193ms semisort= 43.435ms (keyed= 0.504ms group_by=  8.057ms per_group=11.364ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 34.887ms frontier=  7.301ms semisort= 22.191ms (keyed= 0.245ms group_by=  4.117ms per_group= 6.411ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate= 18.230ms frontier=  3.810ms semisort= 11.585ms (keyed= 0.125ms group_by=  2.166ms per_group= 2.756ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  9.427ms frontier=  1.870ms semisort=  5.881ms (keyed= 0.079ms group_by=  1.177ms per_group= 1.217ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  4.311ms frontier=  0.687ms semisort=  2.192ms (keyed= 0.033ms group_by=  0.502ms per_group= 0.502ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  2.249ms frontier=  0.228ms semisort=  0.836ms (keyed= 0.020ms group_by=  0.213ms per_group= 0.238ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  1.077ms frontier=  0.092ms semisort=  0.385ms (keyed= 0.008ms group_by=  0.112ms per_group= 0.112ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.490ms frontier=  0.041ms semisort=  0.161ms (keyed= 0.004ms group_by=  0.049ms per_group= 0.052ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.232ms frontier=  0.022ms semisort=  0.100ms (keyed= 0.003ms group_by=  0.031ms per_group= 0.032ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.112ms frontier=  0.009ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.014ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.059ms frontier=  0.006ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.029ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.016ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.021ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
