[synthetic_bench] cube n=120 d=2 classes=6912238 merges=120 ...
[pe] round=  0 work=      240 frontier= 10368000 next=  3456000 consolidate=  2.211ms frontier=  4.562ms semisort=1234.426ms (keyed=66.542ms group_by=418.748ms per_group=409.891ms)
[pe] round=  1 work=  3456000 frontier=  3456000 next=  1358848 consolidate=520.501ms frontier= 92.400ms semisort=435.517ms (keyed=15.026ms group_by= 76.567ms per_group=63.724ms)
[pe] round=  2 work=  1358848 frontier=  1358848 next=  1048576 consolidate=209.182ms frontier= 41.583ms semisort=149.787ms (keyed= 1.410ms group_by= 27.123ms per_group=33.696ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate=141.009ms frontier= 34.894ms semisort= 93.327ms (keyed= 1.096ms group_by= 18.611ms per_group=21.672ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 72.959ms frontier= 16.558ms semisort= 45.840ms (keyed= 0.625ms group_by=  8.058ms per_group=11.057ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 35.633ms frontier=  8.240ms semisort= 23.166ms (keyed= 0.283ms group_by=  4.326ms per_group= 5.769ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 18.349ms frontier=  4.042ms semisort= 11.735ms (keyed= 0.151ms group_by=  2.277ms per_group= 3.085ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  9.416ms frontier=  1.865ms semisort=  6.358ms (keyed= 0.099ms group_by=  1.160ms per_group= 1.549ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  4.864ms frontier=  0.782ms semisort=  2.632ms (keyed= 0.042ms group_by=  0.621ms per_group= 0.554ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.337ms frontier=  0.350ms semisort=  1.150ms (keyed= 0.021ms group_by=  0.279ms per_group= 0.252ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.204ms frontier=  0.161ms semisort=  0.619ms (keyed= 0.022ms group_by=  0.246ms per_group= 0.129ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.570ms frontier=  0.088ms semisort=  0.302ms (keyed= 0.013ms group_by=  0.108ms per_group= 0.072ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.268ms frontier=  0.047ms semisort=  0.146ms (keyed= 0.004ms group_by=  0.063ms per_group= 0.033ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.149ms frontier=  0.022ms semisort=  0.072ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.020ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.086ms frontier=  0.010ms semisort=  0.052ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.014ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.042ms frontier=  0.007ms semisort=  0.027ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.012ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.024ms frontier=  0.006ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.012ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.023ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.011ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
