[synthetic_bench] cube n=120 d=2 classes=6912238 merges=120 ...
[pe] round=  0 work=      240 frontier= 10368000 next=  3456000 consolidate=  1.695ms frontier=  3.358ms semisort=675.676ms (keyed=26.362ms group_by=276.864ms per_group=186.861ms)
[pe] round=  1 work=  3456000 frontier=  3456000 next=  1358848 consolidate=305.859ms frontier= 57.440ms semisort=273.108ms (keyed=21.102ms group_by= 79.187ms per_group=41.949ms)
[pe] round=  2 work=  1358848 frontier=  1358848 next=  1048576 consolidate=128.838ms frontier= 23.033ms semisort= 96.521ms (keyed=11.170ms group_by= 13.821ms per_group=21.994ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 82.269ms frontier= 18.951ms semisort= 48.955ms (keyed= 0.597ms group_by=  9.694ms per_group=11.666ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 42.340ms frontier= 10.201ms semisort= 24.941ms (keyed= 0.335ms group_by=  4.654ms per_group= 5.942ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 22.590ms frontier=  7.158ms semisort= 16.715ms (keyed= 0.175ms group_by=  3.914ms per_group= 4.363ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 12.274ms frontier=  2.583ms semisort=  7.579ms (keyed= 0.084ms group_by=  1.645ms per_group= 2.034ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  6.059ms frontier=  1.279ms semisort=  3.647ms (keyed= 0.053ms group_by=  0.872ms per_group= 0.895ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  3.161ms frontier=  0.565ms semisort=  1.597ms (keyed= 0.037ms group_by=  0.414ms per_group= 0.362ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.783ms frontier=  0.258ms semisort=  0.871ms (keyed= 0.018ms group_by=  0.228ms per_group= 0.170ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.890ms frontier=  0.167ms semisort=  0.743ms (keyed= 0.011ms group_by=  0.336ms per_group= 0.136ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.451ms frontier=  0.068ms semisort=  0.296ms (keyed= 0.008ms group_by=  0.133ms per_group= 0.056ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.185ms frontier=  0.059ms semisort=  0.136ms (keyed= 0.004ms group_by=  0.059ms per_group= 0.024ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.088ms frontier=  0.021ms semisort=  0.074ms (keyed= 0.002ms group_by=  0.031ms per_group= 0.016ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.062ms frontier=  0.013ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.012ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.026ms frontier=  0.007ms semisort=  0.029ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.006ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.016ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
