[synthetic_bench] cube n=125 d=2 classes=7812748 merges=125 ...
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  3.995ms frontier=  7.327ms semisort=1951.156ms (keyed=92.757ms group_by=570.807ms per_group=601.185ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate=1282.499ms frontier=233.852ms semisort=952.486ms (keyed=26.481ms group_by=148.512ms per_group=187.225ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate=521.034ms frontier= 98.279ms semisort=337.607ms (keyed= 3.453ms group_by= 66.374ms per_group=77.032ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate=281.608ms frontier= 61.029ms semisort=172.044ms (keyed= 2.044ms group_by= 33.215ms per_group=43.163ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=137.098ms frontier= 30.145ms semisort= 90.058ms (keyed= 1.160ms group_by= 16.496ms per_group=23.202ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 68.852ms frontier= 15.773ms semisort= 46.450ms (keyed= 0.532ms group_by=  7.924ms per_group=12.309ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 35.547ms frontier=  7.572ms semisort= 23.960ms (keyed= 0.287ms group_by=  3.973ms per_group= 6.275ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate= 17.648ms frontier=  3.381ms semisort= 11.442ms (keyed= 0.126ms group_by=  2.041ms per_group= 2.915ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  8.987ms frontier=  1.373ms semisort=  4.941ms (keyed= 0.064ms group_by=  1.095ms per_group= 1.035ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  4.252ms frontier=  0.601ms semisort=  2.048ms (keyed= 0.038ms group_by=  0.475ms per_group= 0.463ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  2.025ms frontier=  0.199ms semisort=  0.918ms (keyed= 0.016ms group_by=  0.230ms per_group= 0.229ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  1.018ms frontier=  0.093ms semisort=  0.379ms (keyed= 0.008ms group_by=  0.111ms per_group= 0.113ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.496ms frontier=  0.046ms semisort=  0.183ms (keyed= 0.004ms group_by=  0.060ms per_group= 0.056ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.256ms frontier=  0.023ms semisort=  0.085ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.029ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.139ms frontier=  0.015ms semisort=  0.044ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.015ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.064ms frontier=  0.006ms semisort=  0.020ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.034ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.013ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
