[synthetic_bench] cube n=125 d=2 classes=7812748 merges=125 ...
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  5.724ms frontier= 15.334ms semisort=1129.825ms (keyed=94.179ms group_by=334.410ms per_group=333.889ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate=552.517ms frontier=117.616ms semisort=581.187ms (keyed=41.681ms group_by=131.800ms per_group=94.827ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate=265.034ms frontier= 61.908ms semisort=179.757ms (keyed= 1.840ms group_by= 29.521ms per_group=42.399ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate=141.676ms frontier= 32.448ms semisort= 91.825ms (keyed= 1.909ms group_by= 16.741ms per_group=22.201ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 74.489ms frontier= 17.296ms semisort= 47.131ms (keyed= 0.576ms group_by=  8.210ms per_group=12.609ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 37.352ms frontier=  8.935ms semisort= 23.850ms (keyed= 0.276ms group_by=  4.497ms per_group= 6.078ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 18.668ms frontier=  4.074ms semisort= 12.434ms (keyed= 0.138ms group_by=  2.171ms per_group= 3.272ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  9.440ms frontier=  2.008ms semisort=  6.261ms (keyed= 0.081ms group_by=  1.178ms per_group= 1.508ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  5.009ms frontier=  1.011ms semisort=  2.725ms (keyed= 0.045ms group_by=  0.601ms per_group= 0.592ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.448ms frontier=  0.361ms semisort=  1.184ms (keyed= 0.022ms group_by=  0.309ms per_group= 0.295ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.138ms frontier=  0.147ms semisort=  0.599ms (keyed= 0.011ms group_by=  0.219ms per_group= 0.132ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.511ms frontier=  0.074ms semisort=  0.281ms (keyed= 0.006ms group_by=  0.107ms per_group= 0.062ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.255ms frontier=  0.052ms semisort=  0.148ms (keyed= 0.004ms group_by=  0.053ms per_group= 0.034ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.133ms frontier=  0.031ms semisort=  0.076ms (keyed= 0.002ms group_by=  0.023ms per_group= 0.026ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.072ms frontier=  0.013ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.012ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.039ms frontier=  0.007ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.008ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.027ms frontier=  0.005ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.015ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.008ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
