[synthetic_bench] cube n=125 d=2 classes=7812748 merges=125 ...
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  1.782ms frontier=  2.818ms semisort=799.349ms (keyed=75.397ms group_by=363.002ms per_group=173.998ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate=292.657ms frontier= 71.728ms semisort=308.444ms (keyed=22.374ms group_by= 92.635ms per_group=49.916ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate=194.199ms frontier= 30.610ms semisort= 89.789ms (keyed= 0.969ms group_by= 16.274ms per_group=21.768ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 74.172ms frontier= 18.223ms semisort= 47.764ms (keyed= 0.599ms group_by=  9.665ms per_group=11.071ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 40.930ms frontier=  9.655ms semisort= 24.179ms (keyed= 0.312ms group_by=  4.817ms per_group= 6.072ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 20.510ms frontier=  4.859ms semisort= 13.073ms (keyed= 0.159ms group_by=  2.671ms per_group= 3.333ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 10.157ms frontier=  2.503ms semisort=  7.229ms (keyed= 0.091ms group_by=  1.573ms per_group= 1.799ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  6.429ms frontier=  1.292ms semisort=  4.117ms (keyed= 0.093ms group_by=  0.812ms per_group= 1.009ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  3.009ms frontier=  0.507ms semisort=  1.887ms (keyed= 0.034ms group_by=  0.482ms per_group= 0.392ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.984ms frontier=  0.288ms semisort=  0.848ms (keyed= 0.017ms group_by=  0.214ms per_group= 0.152ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.793ms frontier=  0.128ms semisort=  0.603ms (keyed= 0.025ms group_by=  0.298ms per_group= 0.084ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.368ms frontier=  0.083ms semisort=  0.277ms (keyed= 0.008ms group_by=  0.136ms per_group= 0.047ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.163ms frontier=  0.040ms semisort=  0.127ms (keyed= 0.004ms group_by=  0.057ms per_group= 0.025ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.088ms frontier=  0.030ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.028ms per_group= 0.019ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.047ms frontier=  0.014ms semisort=  0.047ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.010ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.037ms frontier=  0.010ms semisort=  0.029ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.015ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
