[synthetic_bench] cube n=130 d=2 classes=8788258 merges=130 ...
[pe] round=  0 work=      260 frontier= 13182000 next=  4394000 consolidate=  2.285ms frontier=  3.489ms semisort=887.352ms (keyed=121.446ms group_by=370.024ms per_group=199.996ms)
[pe] round=  1 work=  4394000 frontier=  4394000 next=  2097152 consolidate=365.024ms frontier= 73.995ms semisort=383.840ms (keyed=13.463ms group_by= 75.446ms per_group=57.070ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate=210.132ms frontier= 37.665ms semisort=106.284ms (keyed= 1.161ms group_by= 25.371ms per_group=22.034ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 88.266ms frontier= 22.086ms semisort= 56.314ms (keyed= 0.650ms group_by= 11.056ms per_group=13.399ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 47.094ms frontier= 10.811ms semisort= 29.444ms (keyed= 0.362ms group_by=  5.763ms per_group= 7.306ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   199696 consolidate= 23.237ms frontier=  5.456ms semisort= 16.396ms (keyed= 0.171ms group_by=  2.694ms per_group= 4.884ms)
[pe] round=  6 work=   199696 frontier=   199696 next=   131072 consolidate= 17.906ms frontier=  4.095ms semisort= 12.212ms (keyed= 0.182ms group_by=  2.099ms per_group= 3.895ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 12.102ms frontier=  2.846ms semisort=  7.643ms (keyed= 0.086ms group_by=  1.559ms per_group= 2.470ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  6.088ms frontier=  1.491ms semisort=  3.924ms (keyed= 0.046ms group_by=  1.108ms per_group= 0.857ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.984ms frontier=  0.361ms semisort=  1.661ms (keyed= 0.044ms group_by=  0.409ms per_group= 0.373ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.908ms frontier=  0.218ms semisort=  0.686ms (keyed= 0.026ms group_by=  0.159ms per_group= 0.150ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.687ms frontier=  0.165ms semisort=  0.605ms (keyed= 0.014ms group_by=  0.309ms per_group= 0.101ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.327ms frontier=  0.102ms semisort=  0.261ms (keyed= 0.007ms group_by=  0.127ms per_group= 0.045ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.180ms frontier=  0.054ms semisort=  0.132ms (keyed= 0.004ms group_by=  0.062ms per_group= 0.023ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.101ms frontier=  0.024ms semisort=  0.089ms (keyed= 0.002ms group_by=  0.030ms per_group= 0.029ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.058ms frontier=  0.013ms semisort=  0.056ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.012ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.041ms frontier=  0.009ms semisort=  0.025ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.006ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.019ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.004ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.016ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.006ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
