[synthetic_bench] cube n=130 d=2 classes=8788258 merges=130 ...
[pe] round=  0 work=      260 frontier= 13182000 next=  4394000 consolidate=  2.663ms frontier=  4.508ms semisort=981.159ms (keyed=84.308ms group_by=462.211ms per_group=221.676ms)
[pe] round=  1 work=  4394000 frontier=  4394000 next=  2097152 consolidate=383.037ms frontier= 64.105ms semisort=346.705ms (keyed=23.287ms group_by= 77.620ms per_group=46.894ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate=165.980ms frontier= 37.277ms semisort=103.155ms (keyed= 2.020ms group_by= 22.077ms per_group=25.868ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 99.550ms frontier= 18.584ms semisort= 40.026ms (keyed= 0.631ms group_by=  8.164ms per_group=10.486ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 29.135ms frontier=  8.280ms semisort= 29.279ms (keyed= 0.253ms group_by=  7.377ms per_group= 8.628ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   199696 consolidate= 19.636ms frontier=  4.753ms semisort= 16.017ms (keyed= 0.172ms group_by=  4.262ms per_group= 4.708ms)
[pe] round=  6 work=   199696 frontier=   199696 next=   131072 consolidate= 12.122ms frontier=  3.435ms semisort=  9.637ms (keyed= 0.162ms group_by=  2.011ms per_group= 2.761ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.964ms frontier=  2.673ms semisort=  7.789ms (keyed= 0.088ms group_by=  1.881ms per_group= 1.752ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  4.982ms frontier=  0.992ms semisort=  3.998ms (keyed= 0.091ms group_by=  0.829ms per_group= 0.645ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.955ms frontier=  0.649ms semisort=  1.763ms (keyed= 0.066ms group_by=  0.395ms per_group= 0.453ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.808ms frontier=  0.241ms semisort=  0.838ms (keyed= 0.012ms group_by=  0.224ms per_group= 0.210ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.753ms frontier=  0.145ms semisort=  0.664ms (keyed= 0.021ms group_by=  0.405ms per_group= 0.086ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.266ms frontier=  0.089ms semisort=  0.240ms (keyed= 0.007ms group_by=  0.112ms per_group= 0.033ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.171ms frontier=  0.097ms semisort=  0.175ms (keyed= 0.004ms group_by=  0.057ms per_group= 0.033ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.110ms frontier=  0.033ms semisort=  0.095ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.015ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.073ms frontier=  0.014ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.009ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.038ms frontier=  0.008ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.006ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.019ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.007ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
