[synthetic_bench] cube n=135 d=2 classes=9841768 merges=135 ...
[pe] round=  0 work=      270 frontier= 14762250 next=  4920750 consolidate=  5.032ms frontier= 14.418ms semisort=2320.523ms (keyed=106.792ms group_by=648.783ms per_group=735.466ms)
[pe] round=  1 work=  4920750 frontier=  4920750 next=  2097152 consolidate=1473.078ms frontier=257.728ms semisort=1170.490ms (keyed=41.214ms group_by=196.154ms per_group=215.586ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate=585.780ms frontier=118.802ms semisort=503.384ms (keyed= 3.976ms group_by=113.141ms per_group=143.795ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   726446 consolidate=295.120ms frontier= 59.253ms semisort=250.397ms (keyed= 2.045ms group_by= 45.802ms per_group=58.229ms)
[pe] round=  4 work=   726446 frontier=   726446 next=   524288 consolidate=196.308ms frontier= 41.917ms semisort=143.257ms (keyed= 1.438ms group_by= 23.449ms per_group=41.955ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=143.379ms frontier= 30.438ms semisort= 92.620ms (keyed= 1.021ms group_by= 16.267ms per_group=24.939ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 72.184ms frontier= 16.367ms semisort= 49.438ms (keyed= 0.528ms group_by=  8.156ms per_group=12.887ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 35.849ms frontier=  7.330ms semisort= 24.246ms (keyed= 0.264ms group_by=  3.844ms per_group= 6.707ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate= 18.170ms frontier=  3.794ms semisort= 12.493ms (keyed= 0.128ms group_by=  2.027ms per_group= 3.197ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  8.888ms frontier=  1.412ms semisort=  5.250ms (keyed= 0.066ms group_by=  1.188ms per_group= 1.310ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  4.259ms frontier=  0.549ms semisort=  2.013ms (keyed= 0.033ms group_by=  0.460ms per_group= 0.492ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  2.106ms frontier=  0.216ms semisort=  0.816ms (keyed= 0.016ms group_by=  0.214ms per_group= 0.229ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  1.019ms frontier=  0.106ms semisort=  0.376ms (keyed= 0.008ms group_by=  0.108ms per_group= 0.112ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.491ms frontier=  0.046ms semisort=  0.176ms (keyed= 0.004ms group_by=  0.051ms per_group= 0.057ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.241ms frontier=  0.021ms semisort=  0.088ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.029ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.122ms frontier=  0.013ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.014ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.064ms frontier=  0.009ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.032ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.014ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.016ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.006ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
