[synthetic_bench] cube n=135 d=2 classes=9841768 merges=135 ...
[pe] round=  0 work=      270 frontier= 14762250 next=  4920750 consolidate=  2.198ms frontier=  3.876ms semisort=1039.495ms (keyed=55.756ms group_by=524.253ms per_group=239.359ms)
[pe] round=  1 work=  4920750 frontier=  4920750 next=  2097152 consolidate=392.237ms frontier= 71.485ms semisort=433.704ms (keyed=31.660ms group_by=104.832ms per_group=63.691ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate=219.899ms frontier= 38.085ms semisort=128.970ms (keyed= 1.136ms group_by= 25.431ms per_group=29.676ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   726446 consolidate= 91.840ms frontier= 19.286ms semisort= 72.247ms (keyed= 0.630ms group_by= 19.101ms per_group=20.210ms)
[pe] round=  4 work=   726446 frontier=   726446 next=   524288 consolidate= 70.162ms frontier= 13.574ms semisort= 40.754ms (keyed= 0.834ms group_by=  7.179ms per_group=11.941ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 48.336ms frontier=  9.691ms semisort= 25.649ms (keyed= 0.305ms group_by=  4.996ms per_group= 6.694ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 24.087ms frontier=  5.183ms semisort= 13.919ms (keyed= 0.158ms group_by=  2.914ms per_group= 3.558ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 11.983ms frontier=  2.461ms semisort=  7.226ms (keyed= 0.096ms group_by=  1.386ms per_group= 1.926ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  6.163ms frontier=  1.035ms semisort=  3.484ms (keyed= 0.054ms group_by=  0.805ms per_group= 0.897ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.942ms frontier=  0.321ms semisort=  1.476ms (keyed= 0.026ms group_by=  0.403ms per_group= 0.332ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.689ms frontier=  0.230ms semisort=  0.633ms (keyed= 0.014ms group_by=  0.162ms per_group= 0.164ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.640ms frontier=  0.156ms semisort=  0.535ms (keyed= 0.009ms group_by=  0.260ms per_group= 0.092ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.323ms frontier=  0.072ms semisort=  0.269ms (keyed= 0.008ms group_by=  0.116ms per_group= 0.050ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.175ms frontier=  0.051ms semisort=  0.138ms (keyed= 0.004ms group_by=  0.064ms per_group= 0.024ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.106ms frontier=  0.027ms semisort=  0.081ms (keyed= 0.003ms group_by=  0.030ms per_group= 0.017ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.051ms frontier=  0.014ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.011ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.030ms frontier=  0.010ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.008ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.020ms frontier=  0.006ms semisort=  0.015ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.010ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.006ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
