[synthetic_bench] cube n=135 d=2 classes=9841768 merges=135 ...
[pe] round=  0 work=      270 frontier= 14762250 next=  4920750 consolidate=  3.841ms frontier=  6.071ms semisort=891.828ms (keyed=166.978ms group_by=435.563ms per_group=127.891ms)
[pe] round=  1 work=  4920750 frontier=  4920750 next=  2097152 consolidate=270.492ms frontier= 54.584ms semisort=319.738ms (keyed=23.108ms group_by= 92.591ms per_group=46.514ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate=200.458ms frontier= 34.631ms semisort=149.882ms (keyed= 2.782ms group_by= 52.026ms per_group=20.224ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   726446 consolidate= 61.028ms frontier= 14.501ms semisort= 46.250ms (keyed= 0.499ms group_by=  9.940ms per_group=13.090ms)
[pe] round=  4 work=   726446 frontier=   726446 next=   524288 consolidate= 41.003ms frontier= 10.589ms semisort= 31.555ms (keyed= 0.477ms group_by=  5.436ms per_group= 9.385ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 37.697ms frontier=  8.706ms semisort= 19.779ms (keyed= 0.375ms group_by=  4.397ms per_group= 5.090ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 16.555ms frontier=  4.011ms semisort= 10.374ms (keyed= 0.105ms group_by=  2.179ms per_group= 2.697ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  8.061ms frontier=  1.750ms semisort=  5.093ms (keyed= 0.061ms group_by=  1.186ms per_group= 1.263ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  3.927ms frontier=  0.740ms semisort=  2.727ms (keyed= 0.035ms group_by=  0.826ms per_group= 0.684ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  1.953ms frontier=  0.385ms semisort=  1.326ms (keyed= 0.019ms group_by=  0.401ms per_group= 0.283ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.549ms frontier=  0.333ms semisort=  0.714ms (keyed= 0.025ms group_by=  0.153ms per_group= 0.176ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.677ms frontier=  0.214ms semisort=  0.560ms (keyed= 0.010ms group_by=  0.270ms per_group= 0.079ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.354ms frontier=  0.181ms semisort=  0.306ms (keyed= 0.017ms group_by=  0.117ms per_group= 0.043ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.166ms frontier=  0.047ms semisort=  0.148ms (keyed= 0.004ms group_by=  0.055ms per_group= 0.022ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.077ms frontier=  0.024ms semisort=  0.105ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.013ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.041ms frontier=  0.016ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.009ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.039ms frontier=  0.008ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.008ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.013ms frontier=  0.004ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
