[synthetic_bench] cube n=140 d=2 classes=10976278 merges=140 ...
[pe] round=  0 work=      280 frontier= 16464000 next=  5488000 consolidate=  2.336ms frontier=  4.283ms semisort=771.005ms (keyed=17.023ms group_by=368.534ms per_group=158.044ms)
[pe] round=  1 work=  5488000 frontier=  5488000 next=  2097152 consolidate=511.016ms frontier= 78.221ms semisort=419.674ms (keyed=37.513ms group_by= 80.739ms per_group=59.861ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1293696 consolidate=205.298ms frontier= 36.517ms semisort=233.565ms (keyed= 2.796ms group_by=104.082ms per_group=36.740ms)
[pe] round=  3 work=  1293696 frontier=  1293696 next=  1048576 consolidate=110.405ms frontier= 24.343ms semisort= 88.267ms (keyed=10.812ms group_by= 12.208ms per_group=23.997ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 87.136ms frontier= 18.941ms semisort= 47.964ms (keyed= 0.636ms group_by=  9.311ms per_group=12.229ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 44.993ms frontier= 10.185ms semisort= 26.157ms (keyed= 0.311ms group_by=  5.349ms per_group= 6.852ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 23.634ms frontier=  5.338ms semisort= 14.205ms (keyed= 0.163ms group_by=  2.761ms per_group= 3.724ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 11.932ms frontier=  2.363ms semisort=  7.035ms (keyed= 0.087ms group_by=  1.353ms per_group= 1.775ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  5.880ms frontier=  1.030ms semisort=  3.611ms (keyed= 0.049ms group_by=  0.806ms per_group= 0.881ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.904ms frontier=  0.433ms semisort=  1.488ms (keyed= 0.024ms group_by=  0.358ms per_group= 0.387ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.572ms frontier=  0.239ms semisort=  0.660ms (keyed= 0.017ms group_by=  0.158ms per_group= 0.166ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.645ms frontier=  0.148ms semisort=  0.495ms (keyed= 0.016ms group_by=  0.230ms per_group= 0.082ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.311ms frontier=  0.081ms semisort=  0.259ms (keyed= 0.006ms group_by=  0.125ms per_group= 0.042ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.152ms frontier=  0.044ms semisort=  0.136ms (keyed= 0.004ms group_by=  0.053ms per_group= 0.029ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.108ms frontier=  0.025ms semisort=  0.076ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.017ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.055ms frontier=  0.015ms semisort=  0.049ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.010ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.031ms frontier=  0.008ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.005ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.019ms frontier=  0.005ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.004ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
