[synthetic_bench] cube n=140 d=2 classes=10976278 merges=140 ...
[pe] round=  0 work=      280 frontier= 16464000 next=  5488000 consolidate=  2.854ms frontier=  4.942ms semisort=530.979ms (keyed=27.593ms group_by=241.856ms per_group=113.848ms)
[pe] round=  1 work=  5488000 frontier=  5488000 next=  2097152 consolidate=274.670ms frontier= 51.368ms semisort=281.431ms (keyed= 4.159ms group_by= 76.693ms per_group=38.127ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1293696 consolidate=158.675ms frontier= 26.916ms semisort= 94.788ms (keyed= 0.838ms group_by= 24.768ms per_group=23.109ms)
[pe] round=  3 work=  1293696 frontier=  1293696 next=  1048576 consolidate= 69.423ms frontier= 19.087ms semisort= 57.453ms (keyed= 0.641ms group_by=  9.317ms per_group=18.409ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 60.043ms frontier= 15.073ms semisort= 35.622ms (keyed= 0.441ms group_by=  6.875ms per_group= 8.987ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 30.921ms frontier=  8.171ms semisort= 18.224ms (keyed= 0.201ms group_by=  3.790ms per_group= 4.634ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 15.895ms frontier=  4.582ms semisort= 10.328ms (keyed= 0.150ms group_by=  2.157ms per_group= 2.492ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  8.042ms frontier=  1.793ms semisort=  5.346ms (keyed= 0.061ms group_by=  1.330ms per_group= 1.285ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  4.089ms frontier=  0.674ms semisort=  2.595ms (keyed= 0.030ms group_by=  0.703ms per_group= 0.574ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.013ms frontier=  0.379ms semisort=  1.412ms (keyed= 0.040ms group_by=  0.368ms per_group= 0.354ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.680ms frontier=  0.202ms semisort=  0.592ms (keyed= 0.012ms group_by=  0.158ms per_group= 0.148ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.582ms frontier=  0.178ms semisort=  0.506ms (keyed= 0.008ms group_by=  0.233ms per_group= 0.093ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.325ms frontier=  0.100ms semisort=  0.302ms (keyed= 0.006ms group_by=  0.121ms per_group= 0.069ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.146ms frontier=  0.047ms semisort=  0.169ms (keyed= 0.004ms group_by=  0.052ms per_group= 0.049ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.098ms frontier=  0.023ms semisort=  0.070ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.017ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.039ms frontier=  0.015ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.010ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.089ms frontier=  0.009ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.005ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.006ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
