[synthetic_bench] cube n=145 d=2 classes=12194788 merges=145 ...
[pe] round=  0 work=      290 frontier= 18291750 next=  6097250 consolidate=  6.264ms frontier= 11.202ms semisort=2423.181ms (keyed=82.736ms group_by=758.684ms per_group=635.370ms)
[pe] round=  1 work=  6097250 frontier=  6097250 next=  2097152 consolidate=1550.624ms frontier=305.321ms semisort=1280.460ms (keyed=15.277ms group_by=229.698ms per_group=235.391ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1902946 consolidate=587.316ms frontier=117.907ms semisort=492.504ms (keyed= 3.782ms group_by=100.844ms per_group=125.105ms)
[pe] round=  3 work=  1902946 frontier=  1902946 next=  1048576 consolidate=490.297ms frontier=109.023ms semisort=332.801ms (keyed= 4.588ms group_by= 66.477ms per_group=82.375ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate=272.665ms frontier= 61.243ms semisort=177.908ms (keyed= 2.411ms group_by= 31.920ms per_group=44.958ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=138.271ms frontier= 29.954ms semisort= 92.138ms (keyed= 0.952ms group_by= 15.858ms per_group=24.466ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 68.978ms frontier= 15.363ms semisort= 46.716ms (keyed= 0.539ms group_by=  7.496ms per_group=12.767ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 35.197ms frontier=  8.228ms semisort= 34.139ms (keyed= 0.244ms group_by=  3.963ms per_group= 6.548ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate= 17.749ms frontier=  3.593ms semisort= 11.875ms (keyed= 0.123ms group_by=  2.004ms per_group= 3.048ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  9.020ms frontier=  1.549ms semisort=  4.516ms (keyed= 0.061ms group_by=  1.018ms per_group= 1.027ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  4.040ms frontier=  0.614ms semisort=  2.041ms (keyed= 0.032ms group_by=  0.529ms per_group= 0.524ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  2.085ms frontier=  0.193ms semisort=  0.912ms (keyed= 0.016ms group_by=  0.268ms per_group= 0.238ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  1.022ms frontier=  0.097ms semisort=  0.404ms (keyed= 0.008ms group_by=  0.108ms per_group= 0.114ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.494ms frontier=  0.050ms semisort=  0.183ms (keyed= 0.004ms group_by=  0.053ms per_group= 0.057ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.254ms frontier=  0.023ms semisort=  0.088ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.028ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.130ms frontier=  0.012ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.014ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.063ms frontier=  0.006ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.036ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
