[synthetic_bench] cube n=145 d=2 classes=12194788 merges=145 ...
[pe] round=  0 work=      290 frontier= 18291750 next=  6097250 consolidate=  2.605ms frontier=  4.438ms semisort=988.717ms (keyed=71.900ms group_by=489.344ms per_group=154.808ms)
[pe] round=  1 work=  6097250 frontier=  6097250 next=  2097152 consolidate=471.166ms frontier= 87.164ms semisort=374.603ms (keyed= 9.986ms group_by= 65.181ms per_group=57.218ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1902946 consolidate=187.664ms frontier= 38.559ms semisort=152.772ms (keyed= 1.670ms group_by= 37.981ms per_group=39.857ms)
[pe] round=  3 work=  1902946 frontier=  1902946 next=  1048576 consolidate=173.337ms frontier= 37.469ms semisort= 92.563ms (keyed= 1.305ms group_by= 18.395ms per_group=24.131ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 90.281ms frontier= 22.066ms semisort= 50.807ms (keyed= 0.592ms group_by=  9.962ms per_group=12.383ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 46.357ms frontier= 11.158ms semisort= 26.770ms (keyed= 0.314ms group_by=  5.016ms per_group= 6.919ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 23.718ms frontier=  6.598ms semisort= 14.331ms (keyed= 0.157ms group_by=  2.557ms per_group= 3.538ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 12.129ms frontier=  2.394ms semisort=  7.498ms (keyed= 0.088ms group_by=  1.464ms per_group= 1.799ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  5.865ms frontier=  1.111ms semisort=  3.493ms (keyed= 0.050ms group_by=  0.788ms per_group= 0.902ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  3.029ms frontier=  0.518ms semisort=  1.645ms (keyed= 0.030ms group_by=  0.409ms per_group= 0.372ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.108ms frontier=  0.208ms semisort=  0.713ms (keyed= 0.015ms group_by=  0.183ms per_group= 0.165ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.748ms frontier=  0.129ms semisort=  0.578ms (keyed= 0.009ms group_by=  0.334ms per_group= 0.080ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.345ms frontier=  0.066ms semisort=  0.264ms (keyed= 0.007ms group_by=  0.125ms per_group= 0.049ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.185ms frontier=  0.050ms semisort=  0.156ms (keyed= 0.005ms group_by=  0.073ms per_group= 0.027ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.108ms frontier=  0.030ms semisort=  0.075ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.014ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.051ms frontier=  0.014ms semisort=  0.047ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.012ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.030ms frontier=  0.008ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.013ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.020ms frontier=  0.006ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.012ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
