[synthetic_bench] quartic n=38 d=2 classes=8340618 merges=38 ...
[pe] round=  0 work=       76 frontier= 16681088 next=  4170272 consolidate=  5.235ms frontier= 10.291ms semisort=1956.955ms (keyed=94.703ms group_by=642.776ms per_group=489.584ms)
[pe] round=  1 work=  4170272 frontier=  4170272 next=  2073120 consolidate=1036.042ms frontier=207.791ms semisort=847.088ms (keyed=38.731ms group_by=145.609ms per_group=204.560ms)
[pe] round=  2 work=  2073120 frontier=  2073120 next=  1048576 consolidate=554.085ms frontier=109.191ms semisort=342.341ms (keyed= 3.980ms group_by= 62.358ms per_group=77.031ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate=267.148ms frontier= 57.495ms semisort=167.275ms (keyed= 1.912ms group_by= 32.245ms per_group=39.244ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=133.856ms frontier= 30.206ms semisort= 82.443ms (keyed= 0.960ms group_by= 15.650ms per_group=21.648ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 67.270ms frontier= 14.398ms semisort= 44.454ms (keyed= 0.494ms group_by=  7.983ms per_group=12.226ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 34.111ms frontier=  7.407ms semisort= 22.948ms (keyed= 0.243ms group_by=  3.985ms per_group= 6.348ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate= 17.414ms frontier=  3.133ms semisort= 11.136ms (keyed= 0.124ms group_by=  2.042ms per_group= 2.983ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  8.832ms frontier=  1.234ms semisort=  4.444ms (keyed= 0.065ms group_by=  1.005ms per_group= 0.958ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  3.999ms frontier=  0.576ms semisort=  1.841ms (keyed= 0.032ms group_by=  0.420ms per_group= 0.448ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  2.118ms frontier=  0.211ms semisort=  0.818ms (keyed= 0.016ms group_by=  0.223ms per_group= 0.223ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  1.013ms frontier=  0.103ms semisort=  0.374ms (keyed= 0.008ms group_by=  0.107ms per_group= 0.111ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.487ms frontier=  0.050ms semisort=  0.176ms (keyed= 0.004ms group_by=  0.051ms per_group= 0.056ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.241ms frontier=  0.022ms semisort=  0.084ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.028ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.123ms frontier=  0.011ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.014ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.063ms frontier=  0.007ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.032ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
