[synthetic_bench] quartic n=38 d=2 classes=8340618 merges=38 ...
[pe] round=  0 work=       76 frontier= 16681088 next=  4170272 consolidate=  3.416ms frontier=  6.583ms semisort=1143.567ms (keyed=32.895ms group_by=401.140ms per_group=331.315ms)
[pe] round=  1 work=  4170272 frontier=  4170272 next=  2073120 consolidate=563.780ms frontier=104.923ms semisort=465.662ms (keyed=32.568ms group_by= 87.636ms per_group=101.921ms)
[pe] round=  2 work=  2073120 frontier=  2073120 next=  1048576 consolidate=282.994ms frontier= 57.901ms semisort=172.241ms (keyed= 2.069ms group_by= 31.047ms per_group=36.580ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate=136.113ms frontier= 30.782ms semisort= 86.350ms (keyed= 1.061ms group_by= 16.478ms per_group=19.841ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 69.278ms frontier= 16.657ms semisort= 44.740ms (keyed= 0.561ms group_by=  7.931ms per_group=11.519ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 35.120ms frontier=  7.968ms semisort= 22.630ms (keyed= 0.273ms group_by=  4.077ms per_group= 6.125ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 18.512ms frontier=  4.161ms semisort= 11.877ms (keyed= 0.143ms group_by=  2.162ms per_group= 3.307ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  9.205ms frontier=  1.939ms semisort=  6.143ms (keyed= 0.073ms group_by=  1.159ms per_group= 1.523ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  4.644ms frontier=  0.887ms semisort=  2.430ms (keyed= 0.040ms group_by=  0.554ms per_group= 0.543ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.174ms frontier=  0.345ms semisort=  1.077ms (keyed= 0.021ms group_by=  0.287ms per_group= 0.243ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.096ms frontier=  0.157ms semisort=  0.583ms (keyed= 0.019ms group_by=  0.212ms per_group= 0.128ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.509ms frontier=  0.080ms semisort=  0.287ms (keyed= 0.006ms group_by=  0.115ms per_group= 0.062ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.250ms frontier=  0.041ms semisort=  0.148ms (keyed= 0.004ms group_by=  0.055ms per_group= 0.034ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.127ms frontier=  0.030ms semisort=  0.072ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.020ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.075ms frontier=  0.012ms semisort=  0.048ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.017ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.043ms frontier=  0.008ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.021ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.015ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.008ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
